Indicator,S.No.,Parameters,Type,SubDistrict - _South - Total [(A+B) or (C+D)],SubDistrict - _South - Public [A],SubDistrict - _South - Private [B],SubDistrict - _South - Urban [C],SubDistrict - _South - Rural [D],SubDistrict - Autonomous - Total [(A+B) or (C+D)],SubDistrict - Autonomous - Public [A],SubDistrict - Autonomous - Private [B],SubDistrict - Autonomous - Urban [C],SubDistrict - Autonomous - Rural [D],SubDistrict - CGHS - Total [(A+B) or (C+D)],SubDistrict - CGHS - Public [A],SubDistrict - CGHS - Private [B],SubDistrict - CGHS - Urban [C],SubDistrict - CGHS - Rural [D],SubDistrict - Delhi Govt - Total [(A+B) or (C+D)],SubDistrict - Delhi Govt - Public [A],SubDistrict - Delhi Govt - Private [B],SubDistrict - Delhi Govt - Urban [C],SubDistrict - Delhi Govt - Rural [D],SubDistrict - ESI - Total [(A+B) or (C+D)],SubDistrict - ESI - Public [A],SubDistrict - ESI - Private [B],SubDistrict - ESI - Urban [C],SubDistrict - ESI - Rural [D],SubDistrict - IPP VIII-MCD - Total [(A+B) or (C+D)],SubDistrict - IPP VIII-MCD - Public [A],SubDistrict - IPP VIII-MCD - Private [B],SubDistrict - IPP VIII-MCD - Urban [C],SubDistrict - IPP VIII-MCD - Rural [D],SubDistrict - MCW Centres MCD - Total [(A+B) or (C+D)],SubDistrict - MCW Centres MCD - Public [A],SubDistrict - MCW Centres MCD - Private [B],SubDistrict - MCW Centres MCD - Urban [C],SubDistrict - MCW Centres MCD - Rural [D],SubDistrict - NGO - Total [(A+B) or (C+D)],SubDistrict - NGO - Public [A],SubDistrict - NGO - Private [B],SubDistrict - NGO - Urban [C],SubDistrict - NGO - Rural [D],SubDistrict - Private - Total [(A+B) or (C+D)],SubDistrict - Private - Public [A],SubDistrict - Private - Private [B],SubDistrict - Private - Urban [C],SubDistrict - Private - Rural [D]
M1 [Ante Natal Care (ANC)],1.3.1,New cases of PW with hypertension detected,TOTAL,98,77,21,12,86,15,15,NA,NA,15,0,0,NA,0,NA,59,59,NA,0,59,NA,NA,NA,NA,NA,0,0,NA,0,NA,3,3,NA,1,2,0,NA,0,0,NA,21,NA,21,11,10
M1 [Ante Natal Care (ANC)],1.3.1.a,"Out of the new cases of PW with hypertension detected, cases managed at institution",TOTAL,86,76,10,10,76,15,15,NA,NA,15,0,0,NA,0,NA,59,59,NA,0,59,NA,NA,NA,NA,NA,0,0,NA,0,NA,2,2,NA,NA,2,0,NA,0,0,NA,10,NA,10,10,0
M1 [Ante Natal Care (ANC)],1.3.2,Number of Eclampsia cases managed during delivery,TOTAL,6,6,0,0,6,6,6,NA,NA,6,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M1 [Ante Natal Care (ANC)],1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,TOTAL,949,737,212,236,713,161,161,NA,NA,161,0,0,NA,0,NA,565,565,NA,19,546,5,5,NA,5,NA,NA,NA,NA,NA,NA,6,6,NA,0,6,0,NA,0,0,NA,212,NA,212,212,0
M1 [Ante Natal Care (ANC)],1.4.2,Number of PW having Hb level<11 (tested cases)(7.1 to 10.9),TOTAL,475,291,184,304,171,39,39,NA,NA,39,0,0,NA,0,NA,120,120,NA,89,31,18,18,NA,18,NA,NA,NA,NA,NA,NA,114,114,NA,14,100,27,NA,27,27,NA,157,NA,157,156,1
M1 [Ante Natal Care (ANC)],1.4.3,Number of PW having Hb level<7 (tested cases),TOTAL,63,49,14,15,48,1,1,NA,NA,1,0,0,NA,0,NA,47,47,NA,1,46,0,0,NA,0,NA,NA,NA,NA,NA,NA,1,1,NA,0,1,0,NA,0,0,NA,14,NA,14,14,0
M1 [Ante Natal Care (ANC)],1.4.4,Number of PW having severe anaemia (Hb<7) treated,TOTAL,50,48,2,2,48,1,1,NA,NA,1,0,0,NA,0,NA,46,46,NA,0,46,0,0,NA,0,NA,NA,NA,NA,NA,NA,1,1,NA,0,1,0,NA,0,0,NA,2,NA,2,2,0
M1 [Ante Natal Care (ANC)],1.5.1,Number of PW tested for blood sugar using OGTT (Oral Glucose Tolerance Test),TOTAL,770,649,121,121,649,161,161,NA,NA,161,0,0,NA,0,NA,488,488,NA,0,488,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,NA,0,24,NA,24,24,NA,97,NA,97,97,0
M1 [Ante Natal Care (ANC)],1.5.2,Number of PW tested positive for GDM,TOTAL,55,30,25,13,42,30,30,NA,NA,30,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,NA,0,0,NA,0,0,NA,25,NA,25,13,12
M1 [Ante Natal Care (ANC)],1.5.3,Number of PW given insulin out of total tested positive for GDM,TOTAL,17,3,14,9,8,3,3,NA,NA,3,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,14,NA,14,9,5
M1 [Ante Natal Care (ANC)],1.6.1.a,Number of PW tested using POC test for Syphilis,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.1.b,"Out of above, number of PW found sero positive for syphilis",TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.2.a,Number of pregnant women tested for Syphilis,TOTAL,759,700,59,74,685,161,161,NA,NA,161,NA,NA,NA,NA,NA,509,509,NA,21,488,0,0,NA,0,NA,NA,NA,NA,NA,NA,30,30,NA,0,30,24,NA,24,24,NA,35,NA,35,29,6
M1 [Ante Natal Care (ANC)],1.6.2.b,Number of pregnant women tested found sero positive for Syphilis,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,NA,0,NA,0,0,0
M1 [Ante Natal Care (ANC)],1.6.2.c,Number of syphilis positive pregnant women treated for Syphilis,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,NA,0,NA,0,0,0
M1 [Ante Natal Care (ANC)],1.6.2.d,Number of babies diagnosed with Congenital Syphilis,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,0,0
M1 [Ante Natal Care (ANC)],1.6.2.e,Number of babies treated for congenital Syphilis,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M2 [Deliveries],2.1.1.a,Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM),TOTAL,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.1.1.b,Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),TOTAL,49,49,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,NA,13,NA,NA,NA,NA,NA,NA,14,14,NA,14,NA,22,22,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.1.2,Number of PW given Tablet Misoprostol during home delivery,TOTAL,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.1.3,Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,TOTAL,23,23,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,4,NA,NA,NA,NA,NA,NA,8,8,NA,8,NA,11,11,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.2,Number of Institutional Deliveries conducted (Including C-Sections),TOTAL,1029,709,320,204,825,161,161,NA,NA,161,NA,NA,NA,NA,NA,548,548,NA,NA,548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,18,18,NA,302,NA,302,186,116
M2 [Deliveries],2.2.1,Out of total institutional deliveries number of women discharged within 48 hours of delivery,TOTAL,453,361,92,58,395,79,79,NA,NA,79,NA,NA,NA,NA,NA,282,282,NA,NA,282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,18,18,NA,74,NA,74,40,34
M2 [Deliveries],2.2.2,Number of newborns received 6 HBNC  visits after Institutional Delivery,TOTAL,518,496,22,518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,261,261,NA,261,NA,NA,NA,NA,NA,NA,17,17,NA,17,NA,218,218,NA,218,NA,NA,NA,NA,NA,NA,22,NA,22,22,NA
M3 [Number of Caesarean (C-Section) deliveries],3.1,Total C -Section deliveries performed,TOTAL,369,191,178,96,273,82,82,NA,NA,82,NA,NA,NA,NA,NA,109,109,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,13,13,NA,165,NA,165,83,82
M3 [Number of Caesarean (C-Section) deliveries],3.1.1,"C-sections, performed at night (8 PM- 8 AM)",TOTAL,129,85,44,28,101,23,23,NA,NA,23,NA,NA,NA,NA,NA,62,62,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,4,NA,40,NA,40,24,16
M4 [Pregnancy outcome & details of new-born],4.1.1.a,Live Birth - Male,TOTAL,558,390,168,133,425,89,89,NA,NA,89,NA,NA,NA,NA,NA,287,287,NA,6,281,NA,NA,NA,NA,NA,5,5,NA,5,NA,9,9,NA,9,NA,9,NA,9,9,NA,159,NA,159,104,55
M4 [Pregnancy outcome & details of new-born],4.1.1.b,Live Birth - Female,TOTAL,525,368,157,120,405,73,73,NA,NA,73,NA,NA,NA,NA,NA,275,275,NA,7,268,NA,NA,NA,NA,NA,7,7,NA,7,NA,13,13,NA,13,NA,9,NA,9,9,NA,148,NA,148,84,64
M4 [Pregnancy outcome & details of new-born],4.1.2,Number of Pre term newborns ( < 37 weeks of pregnancy),TOTAL,105,63,42,24,81,31,31,NA,NA,31,NA,NA,NA,NA,NA,32,32,NA,0,32,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,18,NA,18,18,NA,24,NA,24,6,18
M4 [Pregnancy outcome & details of new-born],4.1.3,Still Birth,TOTAL,12,12,0,2,10,5,5,NA,NA,5,NA,NA,NA,NA,NA,5,5,NA,0,5,NA,NA,NA,NA,NA,2,2,NA,2,NA,0,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,0,0
M4 [Pregnancy outcome & details of new-born],4.2,Abortion (spontaneous),TOTAL,53,36,17,15,38,3,3,NA,NA,3,NA,NA,NA,NA,NA,28,28,NA,0,28,NA,NA,NA,NA,NA,5,5,NA,5,NA,0,0,NA,0,NA,0,NA,0,0,NA,17,NA,17,10,7
M4 [Pregnancy outcome & details of new-born],4.3.1.a,MTP up to 12 weeks of pregnancy,TOTAL,110,25,85,67,43,17,17,NA,NA,17,NA,NA,NA,NA,NA,8,8,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,85,NA,85,67,18
M4 [Pregnancy outcome & details of new-born],4.3.1.b,MTP more than 12 weeks of pregnancy,TOTAL,31,22,9,7,24,22,22,NA,NA,22,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,9,NA,9,7,2
M4 [Pregnancy outcome & details of new-born],4.3.2.a,Post Abortion/ MTP Complications Identified,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,NA
M4 [Pregnancy outcome & details of new-born],4.3.2.b,Post Abortion/ MTP Complications Treated,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M4 [Pregnancy outcome & details of new-born],4.3.3,Number of women provided with post abortion/ MTP contraception,TOTAL,36,33,3,3,33,33,33,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,3,NA,3,3,0
M4 [Pregnancy outcome & details of new-born],4.4.1,Number of newborns weighed at birth,TOTAL,1044,752,292,220,824,161,161,NA,NA,161,NA,NA,NA,NA,NA,557,557,NA,13,544,NA,NA,NA,NA,NA,12,12,NA,12,NA,22,22,NA,22,NA,18,NA,18,18,NA,274,NA,274,155,119
M4 [Pregnancy outcome & details of new-born],4.4.2,Number of newborns having weight less than 2.5 kg,TOTAL,185,143,42,25,160,58,58,NA,NA,58,NA,NA,NA,NA,NA,82,82,NA,0,82,NA,NA,NA,NA,NA,0,0,NA,0,NA,3,3,NA,3,NA,1,NA,1,1,NA,41,NA,41,21,20
M4 [Pregnancy outcome & details of new-born],4.4.3,Number of Newborns breast fed within 1 hour of birth ,TOTAL,759,616,143,156,603,143,143,NA,NA,143,NA,NA,NA,NA,NA,439,439,NA,13,426,NA,NA,NA,NA,NA,12,12,NA,12,NA,22,22,NA,22,NA,18,NA,18,18,NA,125,NA,125,91,34
M5 [Complicated Pregnancies],5.1,"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",TOTAL,333,329,4,4,329,140,140,NA,NA,140,NA,NA,NA,NA,NA,176,176,NA,NA,176,NA,NA,NA,NA,NA,0,0,NA,0,NA,13,13,NA,NA,13,0,NA,0,0,NA,4,NA,4,4,0
M5 [Complicated Pregnancies],5.2,Number of Complicated pregnancies treated with Blood Transfusion,TOTAL,47,47,0,0,47,3,3,NA,NA,3,NA,NA,NA,NA,NA,44,44,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M6 [Post Natal Care (PNC)],6.1,Women receiving 1st post partum checkup within 48 hours of home delivery,TOTAL,196,175,21,35,161,161,161,NA,NA,161,NA,NA,NA,NA,NA,4,4,NA,4,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,10,10,NA,10,NA,18,NA,18,18,NA,3,NA,3,3,0
M6 [Post Natal Care (PNC)],6.2,Women receiving 1st post partum checkup between 48 hours and 14 days,TOTAL,426,275,151,156,270,156,156,NA,NA,156,NA,NA,NA,NA,NA,115,115,NA,1,114,NA,NA,NA,NA,NA,0,0,NA,0,NA,4,4,NA,4,NA,18,NA,18,18,NA,133,NA,133,133,0
M6 [Post Natal Care (PNC)],6.3,Number of mothers provided full course of 180 IFA tablets after delivery,TOTAL,261,130,131,261,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,8,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,122,122,NA,122,NA,18,NA,18,18,NA,113,NA,113,113,0
M6 [Post Natal Care (PNC)],6.4,Number of mothers provided 360 Calcium tablets after delivery,TOTAL,238,107,131,238,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,8,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,99,99,NA,99,NA,18,NA,18,18,NA,113,NA,113,113,0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.1,New RTI/STI cases identified - Male,TOTAL,138,138,0,35,103,1,1,NA,NA,1,0,0,NA,0,NA,12,12,NA,12,NA,0,0,NA,0,NA,5,5,NA,5,NA,120,120,NA,18,102,0,NA,0,0,NA,0,NA,0,0,0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.2,New RTI/STI cases identified - Female,TOTAL,305,303,2,149,156,10,10,NA,NA,10,1,1,NA,1,NA,49,49,NA,49,NA,0,0,NA,0,NA,17,17,NA,17,NA,226,226,NA,80,146,0,NA,0,0,NA,2,NA,2,2,0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.1,RTI/STI for which treatment initiated - Male,TOTAL,136,136,0,33,103,1,1,NA,NA,1,0,0,NA,0,NA,12,12,NA,12,NA,0,0,NA,0,NA,5,5,NA,5,NA,118,118,NA,16,102,0,NA,0,0,NA,0,NA,0,0,0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.2,RTI/STI for which treatment initiated -Female,TOTAL,304,302,2,148,156,10,10,NA,NA,10,1,1,NA,1,NA,49,49,NA,49,NA,0,0,NA,0,NA,17,17,NA,17,NA,225,225,NA,79,146,0,NA,0,0,NA,2,NA,2,2,0
M8 [Family Planning],8.1.1,Number of Non Scalpel Vasectomy (NSV) / Conventional Vasectomy conducted,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M8 [Family Planning],8.2.1,Number of Laparoscopic sterilizations (excluding post abortion) conducted,TOTAL,11,11,0,0,11,11,11,NA,NA,11,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M8 [Family Planning],8.2.2,Number of Interval Mini-lap (other than post-partum and post abortion) sterilizations conducted,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M8 [Family Planning],8.2.3,Number of Postpartum sterilizations (within 7 days of delivery by minilap or concurrent with caesarean section) conducted,TOTAL,8,8,0,0,8,8,8,NA,NA,8,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M8 [Family Planning],8.2.4,Number of Post Abortion sterilizations (within 7 days of spontaneous or surgical abortion) conducted,TOTAL,9,9,0,0,9,9,9,NA,NA,9,0,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M8 [Family Planning],8.3,Number of Interval IUCD Insertions (excluding PPIUCD and PAIUCD),TOTAL,111,98,13,62,49,9,9,NA,NA,9,0,0,NA,0,NA,39,39,NA,32,7,0,0,NA,0,NA,3,3,NA,3,NA,47,47,NA,18,29,0,NA,0,0,NA,13,NA,13,9,4
M8 [Family Planning],8.4,Number of Postpartum (within 48 hours of delivery) IUCD insertions,TOTAL,49,48,1,1,48,39,39,NA,NA,39,0,0,NA,0,NA,9,9,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,1,NA,1,1,0
M8 [Family Planning],8.5,Number of Post Abortion (within 12 days of spontaneous or surgical abortion) IUCD insertions,TOTAL,19,19,0,0,19,12,12,NA,NA,12,0,0,NA,0,NA,7,7,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M8 [Family Planning],8.6,Number of IUCD Removals,TOTAL,53,42,11,19,34,9,9,NA,NA,9,0,0,NA,0,NA,21,21,NA,5,16,0,0,NA,0,NA,1,1,NA,1,NA,11,11,NA,3,8,0,NA,0,0,NA,11,NA,11,10,1
M8 [Family Planning],8.7,Number of complications following IUCD Insertion,TOTAL,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,0,NA,0,0,NA,0,NA,0,0,0
M8 [Family Planning],8.8,Injectable Contraceptive-Antara Program- First Dose,TOTAL,48,48,0,20,28,5,5,NA,NA,5,0,0,NA,0,NA,16,16,NA,8,8,1,1,NA,1,NA,3,3,NA,3,NA,23,23,NA,8,15,NA,NA,NA,NA,NA,0,NA,0,0,0
M8 [Family Planning],8.9,Injectable Contraceptive-Antara Program- Second Dose,TOTAL,28,28,0,10,18,2,2,NA,NA,2,0,0,NA,0,NA,13,13,NA,9,4,0,0,NA,0,NA,0,0,NA,0,NA,13,13,NA,1,12,NA,NA,NA,NA,NA,0,NA,0,0,0
M8 [Family Planning],8.1,Injectable Contraceptive-Antara Program- Third Dose,TOTAL,12,12,0,4,8,0,0,NA,NA,0,0,0,NA,0,NA,4,4,NA,4,0,0,0,NA,0,NA,0,0,NA,0,NA,8,8,NA,0,8,NA,NA,NA,NA,NA,0,NA,0,0,0
M8 [Family Planning],8.11,Injectable Contraceptive-Antara Program- Fourth or more than fourth,TOTAL,27,27,0,12,15,0,0,NA,NA,0,0,0,NA,0,NA,12,12,NA,12,0,0,0,NA,0,NA,0,0,NA,0,NA,15,15,NA,0,15,NA,NA,NA,NA,NA,0,NA,0,0,0
M8 [Family Planning],8.12,Number of Combined Oral Pill cycles distributed,TOTAL,665,665,0,579,86,33,33,NA,NA,33,6,6,NA,6,NA,285,285,NA,261,24,13,13,NA,13,NA,74,74,NA,74,NA,254,254,NA,225,29,NA,NA,NA,NA,NA,0,NA,0,0,0
