Indicator,S.No.,Parameters,Type,SubDistrict - _South - Total [(A+B) or (C+D)],SubDistrict - _South - Public [A],SubDistrict - _South - Private [B],SubDistrict - _South - Urban [C],SubDistrict - _South - Rural [D],SubDistrict - Autonomous - Total [(A+B) or (C+D)],SubDistrict - Autonomous - Public [A],SubDistrict - Autonomous - Private [B],SubDistrict - Autonomous - Urban [C],SubDistrict - Autonomous - Rural [D],SubDistrict - CGHS - Total [(A+B) or (C+D)],SubDistrict - CGHS - Public [A],SubDistrict - CGHS - Private [B],SubDistrict - CGHS - Urban [C],SubDistrict - CGHS - Rural [D],SubDistrict - Delhi Govt - Total [(A+B) or (C+D)],SubDistrict - Delhi Govt - Public [A],SubDistrict - Delhi Govt - Private [B],SubDistrict - Delhi Govt - Urban [C],SubDistrict - Delhi Govt - Rural [D],SubDistrict - ESI - Total [(A+B) or (C+D)],SubDistrict - ESI - Public [A],SubDistrict - ESI - Private [B],SubDistrict - ESI - Urban [C],SubDistrict - ESI - Rural [D],SubDistrict - IPP VIII-MCD - Total [(A+B) or (C+D)],SubDistrict - IPP VIII-MCD - Public [A],SubDistrict - IPP VIII-MCD - Private [B],SubDistrict - IPP VIII-MCD - Urban [C],SubDistrict - IPP VIII-MCD - Rural [D],SubDistrict - MCW Centres MCD - Total [(A+B) or (C+D)],SubDistrict - MCW Centres MCD - Public [A],SubDistrict - MCW Centres MCD - Private [B],SubDistrict - MCW Centres MCD - Urban [C],SubDistrict - MCW Centres MCD - Rural [D],SubDistrict - Private - Total [(A+B) or (C+D)],SubDistrict - Private - Public [A],SubDistrict - Private - Private [B],SubDistrict - Private - Urban [C],SubDistrict - Private - Rural [D]
M1 [Ante Natal Care (ANC)],1.3.1,New cases of PW with hypertension detected,TOTAL,161,130,31,31,130,22,22,NA,NA,22,NA,NA,NA,NA,NA,104,104,NA,0,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,4,NA,31,NA,31,27,4
M1 [Ante Natal Care (ANC)],1.3.1.a,"Out of the new cases of PW with hypertension detected, cases managed at institution",TOTAL,119,96,23,23,96,22,22,NA,NA,22,NA,NA,NA,NA,NA,72,72,NA,0,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,0,2,23,NA,23,23,0
M1 [Ante Natal Care (ANC)],1.3.2,Number of Eclampsia cases managed during delivery,TOTAL,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,1,NA,1,1,0
M1 [Ante Natal Care (ANC)],1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,TOTAL,1252,1003,249,281,971,187,187,NA,NA,187,NA,NA,NA,NA,NA,771,771,NA,10,761,4,4,NA,4,NA,14,14,NA,14,NA,27,27,NA,4,23,249,NA,249,249,0
M1 [Ante Natal Care (ANC)],1.4.2,Number of PW having Hb level<11 (tested cases)(7.1 to 10.9),TOTAL,824,644,180,466,358,50,50,NA,NA,50,NA,NA,NA,NA,NA,238,238,NA,174,64,19,19,NA,19,NA,59,59,NA,59,NA,278,278,NA,35,243,180,NA,180,179,1
M1 [Ante Natal Care (ANC)],1.4.3,Number of PW having Hb level<7 (tested cases),TOTAL,40,26,14,16,24,1,1,NA,NA,1,NA,NA,NA,NA,NA,24,24,NA,1,23,1,1,NA,1,NA,0,0,NA,0,NA,0,0,NA,0,0,14,NA,14,14,0
M1 [Ante Natal Care (ANC)],1.4.4,Number of PW having severe anaemia (Hb<7) treated,TOTAL,22,17,5,6,16,0,0,NA,NA,0,NA,NA,NA,NA,NA,17,17,NA,1,16,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,0,5,NA,5,5,0
M1 [Ante Natal Care (ANC)],1.5.1,Number of PW tested for blood sugar using OGTT (Oral Glucose Tolerance Test),TOTAL,1326,1021,305,364,962,187,187,NA,NA,187,NA,NA,NA,NA,NA,820,820,NA,59,761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,NA,NA,14,305,NA,305,305,0
M1 [Ante Natal Care (ANC)],1.5.2,Number of PW tested positive for GDM,TOTAL,49,34,15,8,41,34,34,NA,NA,34,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,15,NA,15,8,7
M1 [Ante Natal Care (ANC)],1.5.3,Number of PW given insulin out of total tested positive for GDM,TOTAL,11,9,2,2,9,9,9,NA,NA,9,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2,0
M1 [Ante Natal Care (ANC)],1.6.1.a,Number of PW tested using POC test for Syphilis,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.1.b,"Out of above, number of PW found sero positive for syphilis",TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.2.a,Number of pregnant women tested for Syphilis,TOTAL,1270,1211,59,197,1073,187,187,NA,NA,187,NA,NA,NA,NA,NA,903,903,NA,142,761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,121,NA,0,121,59,NA,59,55,4
M1 [Ante Natal Care (ANC)],1.6.2.b,Number of pregnant women tested found sero positive for Syphilis,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,0
M1 [Ante Natal Care (ANC)],1.6.2.c,Number of syphilis positive pregnant women treated for Syphilis,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,0
M1 [Ante Natal Care (ANC)],1.6.2.d,Number of babies diagnosed with Congenital Syphilis,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,0,0,0
M1 [Ante Natal Care (ANC)],1.6.2.e,Number of babies treated for congenital Syphilis,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,0,0,0
M2 [Deliveries],2.1.1.a,Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM),TOTAL,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.1.1.b,Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),TOTAL,60,60,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,27,NA,27,NA,NA,NA,NA,NA,NA,15,15,NA,15,NA,18,18,NA,18,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.1.2,Number of PW given Tablet Misoprostol during home delivery,TOTAL,3,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,3,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.1.3,Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,TOTAL,33,33,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,21,NA,21,NA,NA,NA,NA,NA,NA,6,6,NA,6,NA,6,6,NA,6,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.2,Number of Institutional Deliveries conducted (Including C-Sections),TOTAL,827,458,369,278,549,187,187,NA,NA,187,NA,NA,NA,NA,NA,271,271,NA,0,271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,369,NA,369,278,91
M2 [Deliveries],2.2.1,Out of total institutional deliveries number of women discharged within 48 hours of delivery,TOTAL,308,149,159,121,187,79,79,NA,NA,79,NA,NA,NA,NA,NA,70,70,NA,0,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159,NA,159,121,38
M2 [Deliveries],2.2.2,Number of newborns received 6 HBNC  visits after Institutional Delivery,TOTAL,492,480,12,492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274,274,NA,274,NA,NA,NA,NA,NA,NA,20,20,NA,20,NA,186,186,NA,186,NA,12,NA,12,12,NA
M3 [Number of Caesarean (C-Section) deliveries],3.1,Total C -Section deliveries performed,TOTAL,303,154,149,96,207,108,108,NA,NA,108,NA,NA,NA,NA,NA,46,46,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149,NA,149,96,53
M3 [Number of Caesarean (C-Section) deliveries],3.1.1,"C-sections, performed at night (8 PM- 8 AM)",TOTAL,92,56,36,25,67,40,40,NA,NA,40,NA,NA,NA,NA,NA,16,16,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,36,25,11
M4 [Pregnancy outcome & details of new-born],4.1.1.a,Live Birth - Male,TOTAL,469,271,198,183,286,102,102,NA,NA,102,NA,NA,NA,NA,NA,150,150,NA,13,137,NA,NA,NA,NA,NA,8,8,NA,8,NA,11,11,NA,11,NA,198,NA,198,151,47
M4 [Pregnancy outcome & details of new-born],4.1.1.b,Live Birth - Female,TOTAL,419,246,173,157,262,82,82,NA,NA,82,NA,NA,NA,NA,NA,151,151,NA,16,135,NA,NA,NA,NA,NA,6,6,NA,6,NA,7,7,NA,7,NA,173,NA,173,128,45
M4 [Pregnancy outcome & details of new-born],4.1.2,Number of Pre term newborns ( < 37 weeks of pregnancy),TOTAL,89,62,27,18,71,40,40,NA,NA,40,NA,NA,NA,NA,NA,21,21,NA,0,21,NA,NA,NA,NA,NA,1,1,NA,1,NA,0,0,NA,0,NA,27,NA,27,17,10
M4 [Pregnancy outcome & details of new-born],4.1.3,Still Birth,TOTAL,16,14,2,2,14,13,13,NA,NA,13,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,1,1,NA,1,NA,0,0,NA,0,NA,2,NA,2,1,1
M4 [Pregnancy outcome & details of new-born],4.2,Abortion (spontaneous),TOTAL,123,44,79,70,53,4,4,NA,NA,4,NA,NA,NA,NA,NA,37,37,NA,0,37,NA,NA,NA,NA,NA,3,3,NA,3,NA,NA,NA,NA,NA,NA,79,NA,79,67,12
M4 [Pregnancy outcome & details of new-born],4.3.1.a,MTP up to 12 weeks of pregnancy,TOTAL,163,40,123,110,53,38,38,NA,NA,38,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123,NA,123,110,13
M4 [Pregnancy outcome & details of new-born],4.3.1.b,MTP more than 12 weeks of pregnancy,TOTAL,38,19,19,19,19,19,19,NA,NA,19,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,19,19,0
M4 [Pregnancy outcome & details of new-born],4.3.2.a,Post Abortion/ MTP Complications Identified,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M4 [Pregnancy outcome & details of new-born],4.3.2.b,Post Abortion/ MTP Complications Treated,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M4 [Pregnancy outcome & details of new-born],4.3.3,Number of women provided with post abortion/ MTP contraception,TOTAL,82,72,10,10,72,33,33,NA,NA,33,NA,NA,NA,NA,NA,39,39,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,10,10,0
M4 [Pregnancy outcome & details of new-born],4.4.1,Number of newborns weighed at birth,TOTAL,859,517,342,311,548,184,184,NA,NA,184,NA,NA,NA,NA,NA,301,301,NA,29,272,NA,NA,NA,NA,NA,14,14,NA,14,NA,18,18,NA,18,NA,342,NA,342,250,92
M4 [Pregnancy outcome & details of new-born],4.4.2,Number of newborns having weight less than 2.5 kg,TOTAL,202,153,49,42,160,85,85,NA,NA,85,NA,NA,NA,NA,NA,65,65,NA,1,64,NA,NA,NA,NA,NA,3,3,NA,3,NA,0,0,NA,0,NA,49,NA,49,38,11
M4 [Pregnancy outcome & details of new-born],4.4.3,Number of Newborns breast fed within 1 hour of birth ,TOTAL,649,446,203,220,429,173,173,NA,NA,173,NA,NA,NA,NA,NA,241,241,NA,29,212,NA,NA,NA,NA,NA,14,14,NA,14,NA,18,18,NA,18,NA,203,NA,203,159,44
M5 [Complicated Pregnancies],5.1,"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",TOTAL,299,290,9,9,290,128,128,NA,NA,128,NA,NA,NA,NA,NA,162,162,NA,NA,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,9,9,0
M5 [Complicated Pregnancies],5.2,Number of Complicated pregnancies treated with Blood Transfusion,TOTAL,23,19,4,4,19,3,3,NA,NA,3,NA,NA,NA,NA,NA,16,16,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,4,0
M6 [Post Natal Care (PNC)],6.1,Women receiving 1st post partum checkup within 48 hours of home delivery,TOTAL,53,53,0,53,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,26,NA,26,0,NA,NA,NA,NA,NA,14,14,NA,14,NA,13,13,NA,13,NA,0,NA,0,0,0
M6 [Post Natal Care (PNC)],6.2,Women receiving 1st post partum checkup between 48 hours and 14 days,TOTAL,432,224,208,210,222,170,170,NA,NA,170,NA,NA,NA,NA,NA,52,52,NA,0,52,NA,NA,NA,NA,NA,0,0,NA,0,NA,2,2,NA,2,NA,208,NA,208,208,0
M6 [Post Natal Care (PNC)],6.3,Number of mothers provided full course of 180 IFA tablets after delivery,TOTAL,617,434,183,346,271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284,284,NA,13,271,0,0,NA,0,NA,31,31,NA,31,NA,119,119,NA,119,NA,183,NA,183,183,0
M6 [Post Natal Care (PNC)],6.4,Number of mothers provided 360 Calcium tablets after delivery,TOTAL,616,426,190,345,271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,276,276,NA,5,271,0,0,NA,0,NA,31,31,NA,31,NA,119,119,NA,119,NA,190,NA,190,190,0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.1,New RTI/STI cases identified - Male,TOTAL,87,85,2,46,41,0,0,NA,NA,0,0,0,NA,0,NA,17,17,NA,17,NA,0,0,NA,0,NA,6,6,NA,6,NA,62,62,NA,21,41,2,NA,2,2,0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.2,New RTI/STI cases identified - Female,TOTAL,282,278,4,206,76,14,14,NA,NA,14,1,1,NA,1,NA,89,89,NA,89,NA,0,0,NA,0,NA,19,19,NA,19,NA,155,155,NA,93,62,4,NA,4,4,0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.1,RTI/STI for which treatment initiated - Male,TOTAL,85,83,2,44,41,0,0,NA,NA,0,NA,NA,NA,NA,NA,17,17,NA,17,NA,0,0,NA,0,NA,6,6,NA,6,NA,60,60,NA,19,41,2,NA,2,2,0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.2,RTI/STI for which treatment initiated -Female,TOTAL,280,276,4,204,76,14,14,NA,NA,14,1,1,NA,1,NA,89,89,NA,89,NA,0,0,NA,0,NA,19,19,NA,19,NA,153,153,NA,91,62,4,NA,4,4,0
M8 [Family Planning],8.1.1,Number of Non Scalpel Vasectomy (NSV) / Conventional Vasectomy conducted,TOTAL,2,2,0,0,2,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M8 [Family Planning],8.2.1,Number of Laparoscopic sterilizations (excluding post abortion) conducted,TOTAL,23,19,4,4,19,19,19,NA,NA,19,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,4,0
M8 [Family Planning],8.2.2,Number of Interval Mini-lap (other than post-partum and post abortion) sterilizations conducted,TOTAL,6,6,0,0,6,3,3,NA,NA,3,NA,NA,NA,NA,NA,3,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M8 [Family Planning],8.2.3,Number of Postpartum sterilizations (within 7 days of delivery by minilap or concurrent with caesarean section) conducted,TOTAL,13,9,4,0,13,9,9,NA,NA,9,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,0,4
M8 [Family Planning],8.2.4,Number of Post Abortion sterilizations (within 7 days of spontaneous or surgical abortion) conducted,TOTAL,22,21,1,0,22,21,21,NA,NA,21,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1
M8 [Family Planning],8.3,Number of Interval IUCD Insertions (excluding PPIUCD and PAIUCD),TOTAL,198,165,33,97,101,15,15,NA,NA,15,NA,NA,NA,NA,NA,64,64,NA,46,18,0,0,NA,0,NA,12,12,NA,12,NA,74,74,NA,23,51,33,NA,33,16,17
M8 [Family Planning],8.4,Number of Postpartum (within 48 hours of delivery) IUCD insertions,TOTAL,76,75,1,1,75,45,45,NA,NA,45,NA,NA,NA,NA,NA,30,30,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,1,NA,1,1,0
M8 [Family Planning],8.5,Number of Post Abortion (within 12 days of spontaneous or surgical abortion) IUCD insertions,TOTAL,26,26,0,0,26,22,22,NA,NA,22,NA,NA,NA,NA,NA,4,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0
M8 [Family Planning],8.6,Number of IUCD Removals,TOTAL,106,90,16,52,54,18,18,NA,NA,18,NA,NA,NA,NA,NA,40,40,NA,30,10,0,0,NA,0,NA,1,1,NA,1,NA,31,31,NA,7,24,16,NA,16,14,2
M8 [Family Planning],8.7,Number of complications following IUCD Insertion,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,0
M8 [Family Planning],8.8,Injectable Contraceptive-Antara Program- First Dose,TOTAL,83,83,0,42,41,20,20,NA,NA,20,NA,NA,NA,NA,NA,42,42,NA,37,5,0,0,NA,0,NA,3,3,NA,3,NA,18,18,NA,2,16,0,NA,0,0,0
M8 [Family Planning],8.9,Injectable Contraceptive-Antara Program- Second Dose,TOTAL,35,35,0,26,9,0,0,NA,NA,0,NA,NA,NA,NA,NA,21,21,NA,17,4,0,0,NA,0,NA,5,5,NA,5,NA,9,9,NA,4,5,0,NA,0,0,0
M8 [Family Planning],8.1,Injectable Contraceptive-Antara Program- Third Dose,TOTAL,19,19,0,9,10,0,0,NA,NA,0,NA,NA,NA,NA,NA,9,9,NA,8,1,0,0,NA,0,NA,0,0,NA,0,NA,10,10,NA,1,9,0,NA,0,0,0
M8 [Family Planning],8.11,Injectable Contraceptive-Antara Program- Fourth or more than fourth,TOTAL,12,12,0,3,9,0,0,NA,NA,0,NA,NA,NA,NA,NA,4,4,NA,3,1,0,0,NA,0,NA,0,0,NA,0,NA,8,8,NA,0,8,0,NA,0,0,0
M8 [Family Planning],8.12,Number of Combined Oral Pill cycles distributed,TOTAL,855,830,25,667,188,58,58,NA,NA,58,3,3,NA,3,NA,394,394,NA,298,96,8,8,NA,8,NA,103,103,NA,103,NA,264,264,NA,230,34,25,NA,25,25,0
M8 [Family Planning],8.13,Number of Condom pieces distributed,TOTAL,58182,58178,4,42742,15440,6600,6600,NA,NA,6600,895,895,NA,895,NA,28382,28382,NA,22382,6000,900,900,NA,900,NA,3096,3096,NA,3096,NA,18305,18305,NA,15465,2840,4,NA,4,4,0
M8 [Family Planning],8.14,Number of Centchroman (weekly) pill strips distributed,TOTAL,329,329,0,283,46,0,0,NA,NA,0,1,1,NA,1,NA,236,236,NA,208,28,1,1,NA,1,NA,6,6,NA,6,NA,85,85,NA,67,18,0,NA,0,0,0
M8 [Family Planning],8.15,Number of Emergency Contraceptive Pills (ECP) given,TOTAL,192,188,4,183,9,2,2,NA,NA,2,NA,NA,NA,NA,NA,100,100,NA,100,0,0,0,NA,0,NA,19,19,NA,19,NA,67,67,NA,60,7,4,NA,4,4,0
M8 [Family Planning],8.16,Number of Pregnancy Test Kits (PTK) used,TOTAL,1362,1289,73,1254,108,0,0,NA,NA,0,NA,NA,NA,NA,NA,685,685,NA,685,NA,7,7,NA,7,NA,59,59,NA,59,NA,538,538,NA,430,108,73,NA,73,73,0
M8 [Family Planning],8.17.1,Complications following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M8 [Family Planning],8.17.2,Complications following female sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M8 [Family Planning],8.17.3,Failures following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
