Indicator,S.No.,Parameters,Type,District - _Delhi,District - Central,District - East,District - New Delhi,District - North,District - North East,District - North West,District - Shahdara,District - South,District - South East,District - South West,District - West
M3 [Number of Caesarean C-Section deliveries performed at],3.2,No. of C-section deliveries performed at Private facilities,TOTAL,7669,1616,661,35,81,40,1491,602,650,799,395,1299
M4 [Pregnancy outcome & weight of new-born],4.1.1.a,Number of male live births,TOTAL,42882,6931,2089,6999,1802,1379,6657,6125,1952,1717,2079,5152
M4 [Pregnancy outcome & weight of new-born],4.1.1.b,Number of female live births,TOTAL,38109,6096,1770,6354,1683,1364,5979,5234,1709,1584,1784,4552
M4 [Pregnancy outcome & weight of new-born],4.1.1.c,Total number of male and female live births (4.1.1.a and 4.1.1.b),TOTAL,80991,13027,3859,13353,3485,2743,12636,11359,3661,3301,3863,9704
M4 [Pregnancy outcome & weight of new-born],4.1.2,Number of still births,TOTAL,1481,293,65,340,49,17,273,190,49,20,28,157
M4 [Pregnancy outcome & weight of new-born],4.1.3,Number of Abortions (spontaneous or induced),TOTAL,13171,2173,1302,1105,753,187,1817,1210,989,875,667,2093
M4 [Pregnancy outcome & weight of new-born],4.2.1,Number of Newborns weighed at birth,TOTAL,77372,12770,3754,12744,3220,2344,12309,11299,3483,2941,3801,8707
M4 [Pregnancy outcome & weight of new-born],4.2.2,Number of Newborns having weight less than 2.5 kg,TOTAL,17030,3048,764,1866,546,460,2871,3540,562,328,598,2447
M4 [Pregnancy outcome & weight of new-born],4.3,Number of Newborns breast fed within 1 hour of birth,TOTAL,59629,8962,2254,10753,2973,2179,9114,9252,2660,2147,2912,6423
M5 [Complicated pregnanices],5.1.1,Number of cases of pregnant women with Obstetric Complications and attended at PHCs,TOTAL,6,0,0,0,0,NA,0,0,6,0,0,0
M5 [Complicated pregnanices],5.1.2,Number of cases of pregnant women with Obstetric Complications and attended at CHCs,TOTAL,219,0,6,0,8,67,11,74,NA,53,NA,0
M5 [Complicated pregnanices],5.1.3,Number of cases of pregnant women with Obstetric Complications and attended at SDHs or DHs,TOTAL,21918,5338,1061,3156,1800,104,2428,3387,1531,228,630,2255
M5 [Complicated pregnanices],5.1.4,Number of cases of pregnant women with Obstetric Complications and attended at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M5 [Complicated pregnanices],5.1.5,"Number of cases of pregnant women with Obstetric Complications and attended at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 5.1.1 to 5.1.4)",TOTAL,22143,5338,1067,3156,1808,171,2439,3461,1537,281,630,2255
M5 [Complicated pregnanices],5.2,Number of cases of pregnant women with Obstetric Complications and attended at Private facilities,TOTAL,2711,461,74,0,109,41,321,376,537,534,118,140
M5 [Complicated pregnanices],5.3.1,Number of cases of complicated pregnancies treated with IV antibiotics,TOTAL,16997,4003,1133,1811,362,157,2291,2784,1053,772,617,2014
M5 [Complicated pregnanices],5.3.2,Number of cases of complicated pregnancies treated with IV Antihypertensive/Magsulph injection,TOTAL,1884,180,5,320,89,95,114,351,60,64,59,547
M5 [Complicated pregnanices],5.3.3,Number of cases of complicated pregnancies treated with IV Oxytocis,TOTAL,15665,5086,879,1476,457,172,2212,1785,1233,762,372,1231
M5 [Complicated pregnanices],5.3.4,Number of cases of complicated pregnancies treated with Blood Transfusion,TOTAL,5612,479,595,868,173,19,1135,868,118,57,134,1166
M6 [Post - Natal Care],6.1,Women getting post partum check-up within 48 hours after delivery,TOTAL,70670,10807,3059,12855,3200,2369,11666,8830,3267,2861,3671,8085
M6 [Post - Natal Care],6.2,Women getting a post partum check up between 48 hours and 14 days after delivery,TOTAL,50458,6595,2258,4753,2890,1858,7791,5489,1375,2575,4928,9946
M6 [Post - Natal Care],6.3,PNC maternal complications attended,TOTAL,2281,119,483,206,89,0,579,209,26,169,117,284
M7 [Medical Termination of Pregnancy (MTP)],7.1.1,Number of MTPs conducted at Public Institutions up to 12 weeks of pregnancy,TOTAL,2384,447,32,309,94,19,432,219,233,110,113,376
M7 [Medical Termination of Pregnancy (MTP)],7.1.2,Number of MTPs conducted at Public Institutions for more than 12 weeks of pregnancy,TOTAL,346,36,5,103,4,0,27,55,89,0,5,22
M7 [Medical Termination of Pregnancy (MTP)],7.1.3,Total number of MTPs conducted at Public Institutions (sum of items 7.1.1 and 7.1.2),TOTAL,2730,483,37,412,98,19,459,274,322,110,118,398
M7 [Medical Termination of Pregnancy (MTP)],7.2,Number of MTPs conducted at Private Facilities,TOTAL,4581,707,839,43,111,9,670,377,301,570,251,703
M8 [RTI/STI Cases],8.1.a,Number of new cases of RTI/STI in males for which treatment was initiated,TOTAL,11325,1760,535,2279,704,423,967,368,846,1090,860,1493
M8 [RTI/STI Cases],8.1.b,Number of new cases of RTI/STI in females for which treatment was initiated,TOTAL,57921,7235,3865,8793,3733,4267,5405,3773,2055,3169,3306,12320
M8 [RTI/STI Cases],8.1.c,Total number of new cases of RTI/STI in males and females for which treatment was initiated (sum of items 8.1.a and 8.1.b),TOTAL,69246,8995,4400,11072,4437,4690,6372,4141,2901,4259,4166,13813
M8 [RTI/STI Cases],8.2,Number of suspected RTI/STI cases for whom wet mount test was conducted,TOTAL,194,0,2,0,0,0,0,0,9,14,6,163
M9 [Family Planning],9.1.1.a,Number of NSV (No Scalpel Vasectomy) or Conventional Vasectomy conducted at PHCs,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M9 [Family Planning],9.1.1.b,Number of NSV or Conventional Vasectomy conducted at CHCs,TOTAL,0,0,NA,NA,NA,0,0,NA,NA,0,NA,0
M9 [Family Planning],9.1.1.c,Number of NSV or Conventional Vasectomy conducted at SDHs or DHs,TOTAL,594,364,8,77,4,6,14,12,5,0,71,33
M9 [Family Planning],9.1.1.d,Number of NSV or Conventional Vasectomy conducted at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M9 [Family Planning],9.1.1.e,"Total Number of NSV or Conventional Vasectomy conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.1.1.a to 9.1.1.d)",TOTAL,594,364,8,77,4,6,14,12,5,0,71,33
M9 [Family Planning],9.1.2,Number of NSV or Conventional Vasectomy conducted at Private facilities,TOTAL,19,18,0,0,0,NA,0,0,1,0,0,0
M9 [Family Planning],9.2.1.a,Number of Laparoscopic sterilizations conducted at PHCs,TOTAL,0,0,0,0,0,NA,0,0,0,0,0,0
M9 [Family Planning],9.2.1.b,Number of Laparoscopic sterilizations conducted at CHCs,TOTAL,0,0,NA,NA,NA,0,0,NA,NA,0,NA,0
M9 [Family Planning],9.2.1.c,Number of Laparoscopic sterilizations conducted at SDHs or DHs,TOTAL,2153,637,7,379,32,11,291,138,229,26,107,296
M9 [Family Planning],9.2.1.d,Number of Laparoscopic sterilizations conducted at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M9 [Family Planning],9.2.1.e,"Total Number of Laparoscopic sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.2.1.a to 9.2.1.d)",TOTAL,2153,637,7,379,32,11,291,138,229,26,107,296
M9 [Family Planning],9.2.2,Number of Laparoscopic sterilizations conducted at Private facilities,TOTAL,733,18,21,53,4,NA,385,142,6,79,2,23
M9 [Family Planning],9.3.1.a,Number of Mini-lap sterilizations conducted at PHCs,TOTAL,0,0,0,0,0,NA,0,0,0,0,0,0
M9 [Family Planning],9.3.1.b,Number of Mini-lap sterilizations conducted at CHCs,TOTAL,0,0,NA,NA,NA,0,0,NA,NA,0,NA,0
M9 [Family Planning],9.3.1.c,Number of Mini-lap sterilizations conducted at SDHs or DHs,TOTAL,678,81,39,295,17,2,77,59,21,1,45,41
M9 [Family Planning],9.3.1.d,Number of Mini-lap sterilizations conducted at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M9 [Family Planning],9.3.1.e,"Total Number of Mini-lap sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.3.1.a to 9.3.1.d)",TOTAL,678,81,39,295,17,2,77,59,21,1,45,41
M9 [Family Planning],9.3.2,Number of Mini-lap sterilizations conducted at Private facilities,TOTAL,49,10,6,0,0,NA,5,0,10,8,0,10
M9 [Family Planning],9.4.1.a,Number of Post-Partum sterilizations conducted at PHCs,TOTAL,0,0,0,0,0,NA,0,0,0,0,0,0
M9 [Family Planning],9.4.1.b,Number of Post-Partum sterilizations conducted at CHCs,TOTAL,5,0,NA,5,NA,0,0,NA,NA,0,NA,0
M9 [Family Planning],9.4.1.c,Number of Post-Partum sterilizations conducted at SDHs or DHs,TOTAL,1485,151,0,204,13,11,462,298,54,13,40,239
M9 [Family Planning],9.4.1.d,Number of Post-Partum sterilizations conducted at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M9 [Family Planning],9.4.1.e,"Total Number of Post-Partum sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.4.1.a to 9.4.1.d)",TOTAL,1490,151,0,209,13,11,462,298,54,13,40,239
M9 [Family Planning],9.4.2,Number of Post-Partum sterilizations conducted at Private facilities,TOTAL,116,26,1,0,1,NA,10,3,5,26,2,42
M9 [Family Planning],9.5.1.a,Number of IUCD Insertions conducted at SCs,TOTAL,5,5,0,0,0,0,0,0,0,NA,0,0
M9 [Family Planning],9.5.1.b,Number of IUCD Insertions conducted at PHCs,TOTAL,9264,1523,640,544,521,847,780,519,761,857,1018,1254
M9 [Family Planning],9.5.1.c,Number of IUCD Insertions conducted at CHCs,TOTAL,2809,311,221,173,269,452,279,273,NA,329,56,446
M9 [Family Planning],9.5.1.d,Number of IUCD Insertions conducted at SDHs or DHs,TOTAL,17239,2617,1070,2486,1249,498,3036,1976,666,330,631,2680
M9 [Family Planning],9.5.1.e,Number of IUCD Insertions conducted at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M9 [Family Planning],9.5.1.f,"Total Number of IUCD Insertions conducted at Public facilities i.e. SC, PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.5.1.a to 9.5.1.e)",TOTAL,29317,4456,1931,3203,2039,1797,4095,2768,1427,1516,1705,4380
M9 [Family Planning],9.5.1A,"Out of above total, Post Partum (within 48 hours of delivery) IUCD insertions",TOTAL,14576,2138,1062,2043,1007,588,2530,1637,364,312,438,2457
M9 [Family Planning],9.5.2,Number of IUCD Insertions conducted at Private facilities,TOTAL,1338,201,90,65,98,11,208,142,84,172,70,197
M9 [Family Planning],9.06,Number of IUCD removals,TOTAL,4738,620,316,426,315,310,573,387,303,373,416,699
M9 [Family Planning],9.07,Number of Oral Pills cycles distributed,TOTAL,66919,7642,4908,5384,6392,5018,7988,6251,4158,7327,4461,7390
M9 [Family Planning],9.08,Number of Condom pieces distributed,TOTAL,2496279,290896,91625,171214,247457,151978,393646,155664,232100,275495,195544,290660
M9 [Family Planning],9.09,Number of Centchroman (weekly) pills given,TOTAL,68,36,0,0,0,0,0,0,21,0,0,11
M9 [Family Planning],9.1,Number of Emergency Contraceptive Pills distributed,TOTAL,5166,414,565,285,633,327,632,424,634,460,168,624
M9 [Family Planning],9.11.1.a,Number of cases of complications following male sterilization,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M9 [Family Planning],9.11.1.b,Number of cases of complications following female sterilization,TOTAL,6,0,0,0,0,0,0,5,0,0,0,1
M9 [Family Planning],9.11.2.a,Number of failures following male sterilization,TOTAL,1,0,0,0,0,0,0,0,0,0,0,1
M9 [Family Planning],9.11.2.b,Number of failures following female sterilization,TOTAL,20,4,0,3,1,0,4,5,0,0,0,3
M9 [Family Planning],9.11.3.a,Number of deaths following male sterilization,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M9 [Family Planning],9.11.3.b,Number of deaths following female sterilization,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M9 [Family Planning],9.12,Number of Institutions having NSV trained doctors,TOTAL,222,22,16,32,14,1,52,31,17,12,9,16
M10 [CHILD IMMUNIZATION],10.1.01,Number of Infants (0 to 11 months old)received BCG immunisation,TOTAL,92068,12582,4915,14385,5349,4265,13379,12112,4176,5092,4553,11260
M10 [CHILD IMMUNIZATION],10.1.02,Number of Infants (0 to 11 months old) received DPT1 immunisation,TOTAL,5558,831,306,66,212,220,910,315,573,985,147,993
M10 [CHILD IMMUNIZATION],10.1.03,Number of Infants (0 to 11 months old) received DPT2 immunisation,TOTAL,4957,755,289,75,179,185,622,252,554,948,151,947
M10 [CHILD IMMUNIZATION],10.1.04,Number of Infants (0 to 11 months old) received DPT3 immunisation,TOTAL,4809,802,269,74,182,203,624,252,462,892,176,873
M10 [CHILD IMMUNIZATION],10.1.04A,Number of Infants (0 to 11 months old) received Pentavalent1 immunisation,TOTAL,88615,8677,5799,4991,8370,9013,11466,8014,5313,8435,6820,11717
M10 [CHILD IMMUNIZATION],10.1.04B,Number of Infants (0 to 11 months old) received Pentavalent2 immunisation,TOTAL,95099,8941,6915,4948,9133,9432,12554,8199,5995,8944,7343,12695
M10 [CHILD IMMUNIZATION],10.1.04C,Number of Infants (0 to 11 months old) received Pentavalent3 immunisation,TOTAL,97639,9296,6753,5008,9560,9528,12857,8451,6104,9000,7729,13353
M10 [CHILD IMMUNIZATION],10.1.05,Number of Infants (0 to 11 months old) received OPV 0 (Birth Dose),TOTAL,72155,11076,3656,12860,2768,2279,10735,10723,3029,2648,3446,8935
M10 [CHILD IMMUNIZATION],10.1.06,Number of Infants (0 to 11 months old) received OPV1 (First Dose),TOTAL,91642,9436,6206,4902,8396,9028,11730,8299,4947,9159,6939,12600
M10 [CHILD IMMUNIZATION],10.1.07,Number of Infants (0 to 11 months old) received OPV2 (Second Dose),TOTAL,97759,9709,7101,4845,9107,9520,12613,8406,5746,9676,7491,13545
M10 [CHILD IMMUNIZATION],10.1.08,Number of Infants (0 to 11 months old) received OPV3 (Third Dose),TOTAL,100612,10049,7114,4971,9506,9591,12894,8586,5967,9860,7909,14165
M10 [CHILD IMMUNIZATION],10.1.09A,Number of Infants (upto 48 hrs of age) received Hepatitis-B0 immunisation,TOTAL,68898,10180,3563,12760,2714,1983,10812,10664,2618,2574,3366,7664
M10 [CHILD IMMUNIZATION],10.1.09,Number of Infants (0 to 11 months old) received Hepatitis-B1 immunisation,TOTAL,6120,1052,506,48,62,671,716,495,374,786,217,1193
M10 [CHILD IMMUNIZATION],10.1.10,Number of Infants (0 to 11 months old) received Hepatitis-B2 immunisation,TOTAL,4197,714,405,68,61,74,631,267,418,716,149,694
M10 [CHILD IMMUNIZATION],10.1.11,Number of Infants (0 to 11 months old) received Hepatitis-B3 immunisation,TOTAL,4055,852,369,78,77,86,509,229,420,653,184,598
M10 [CHILD IMMUNIZATION],10.1.12,Number of Infants (0 to 11 months old) received Measles immunisation (First Dose),TOTAL,107647,10275,7553,5497,10287,10427,13765,8825,6880,10958,8211,14969
M10 [CHILD IMMUNIZATION],10.1.12B,Number of Infants (more than 16 months old) received Measles immunisation (Second Dose),TOTAL,6020,745,417,247,477,1190,891,386,407,542,303,415
M10 [CHILD IMMUNIZATION],10.1A,No. of Children aged 9 to 12 months who received JE 1st dose,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M10 [CHILD IMMUNIZATION],10.1.13.a,Total number of male children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,55670,5237,3938,2916,5407,5312,7148,4436,3501,5426,4416,7933
M10 [CHILD IMMUNIZATION],10.1.13.b,Total number of female children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,48140,4537,3453,2399,4587,4702,6349,3893,3100,4678,3685,6757
M10 [CHILD IMMUNIZATION],10.1.13.c,Total number of children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month (sum of items 10.1.13.a and 10.1.13.b),TOTAL,103810,9774,7391,5315,9994,10014,13497,8329,6601,10104,8101,14690
M10 [CHILD IMMUNIZATION],10.2.1,Number of Infants (more than 16 months old) received DPT Booster dose,TOTAL,113057,10406,8325,5681,10910,11001,14665,9274,7344,9979,9193,16279
M10 [CHILD IMMUNIZATION],10.2.2,Number of Infants (more than 16 months old) received OPV Booster dose,TOTAL,111783,10373,8298,5676,10800,10954,14277,9003,7430,9843,9189,15940
M10 [CHILD IMMUNIZATION],10.2.3,"Number of Infants (more than 16 months old) received Measles, Mumps, Rubella (MMR) Vaccination",TOTAL,119663,11102,9028,6390,11362,9623,15311,11178,7905,12126,9479,16159
M10 [CHILD IMMUNIZATION],10.3.1.a,Total number of male children (12 to 23 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,16586,1693,523,1016,1882,1969,2346,1540,930,488,943,3256
M10 [CHILD IMMUNIZATION],10.3.1.b,Total number of female children (12 to 23 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,14032,1440,455,771,1511,1842,2061,1194,835,484,775,2664
M10 [CHILD IMMUNIZATION],10.3.1.c,Total number of children (12 to 23 months old) fully immunised (BCG+DPT123+OPV123/Pentavalent123+Measles) during the month (sum of items 10.3.1.a and 10.3.1.b),TOTAL,30618,3133,978,1787,3393,3811,4407,2734,1765,972,1718,5920
M10 [CHILD IMMUNIZATION],10.3.2,Number of children (more than 5 years old) given DT5,TOTAL,51498,5581,4126,2825,4445,3778,6204,4167,3629,4830,4477,7436
M10 [CHILD IMMUNIZATION],10.3.3,Number of children (more than 10 years old) given TT10,TOTAL,16267,1884,1330,1339,1087,1328,1789,1218,1392,1685,1300,1915
M10 [CHILD IMMUNIZATION],10.3.4,Number of children (more than 16 years old) given TT16,TOTAL,10276,1552,773,868,924,707,1170,1032,708,915,934,693
M10 [CHILD IMMUNIZATION],10.3.5.a,Number of cases of Abscess reported following immunisation [Adverse Event Following Immunisation (AEFI)],TOTAL,4,0,2,0,0,0,2,0,0,0,0,0
M10 [CHILD IMMUNIZATION],10.3.5.b,Number of cases of Death reported following immunisation [Adverse Event Following Immunisation (AEFI)],TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M10 [CHILD IMMUNIZATION],10.3.5.c,Number of cases of other complications reported following immunisation [Adverse Event Following Immunisation (AEFI)],TOTAL,11,4,0,0,0,0,2,1,1,3,0,0
M10 [CHILD IMMUNIZATION],10.4.1,Number of Immunisation sessions planned to be held during the month,TOTAL,41486,5289,3319,2225,4159,3058,5848,2750,2448,4057,2573,5760
M10 [CHILD IMMUNIZATION],10.4.2,Number of Immunisation sessions held during the month,TOTAL,40349,5159,3238,2079,4019,3024,5696,2686,2407,3950,2484,5607
M10 [CHILD IMMUNIZATION],10.4.3,Number of Immunisation sessions held during the month where ASHAs were present,TOTAL,21739,1088,2114,941,2135,2370,2850,1345,1272,2523,1941,3160
M10 [CHILD IMMUNIZATION],10.5.1,Number of children (more than 16 months old) received Japanese Encephalitis (JE) vaccination,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M11 [Number of Vitamin A doses],11.1.1,Number of children (9 months to 5 years old) administered 1st dose of Vitamin A (Dose-1),TOTAL,58843,3030,7175,1412,3247,7768,4238,4956,4758,5980,7341,8938
M11 [Number of Vitamin A doses],11.1.2,Number of children (9 months to 5 years old) were administered 5th dose of Vitamin A (Dose-5),TOTAL,42426,1535,6787,671,4682,4365,3555,2882,2479,3961,3369,8140
M11 [Number of Vitamin A doses],11.1.3,Number of children (9 months to 5 years old) administered 9th dose of Vitamin A (Dose-9),TOTAL,18434,582,3212,299,1665,2371,1528,1480,1035,2060,1420,2782
M12 [Number of cases of Childhood Diseases reported during the month0-5 years:],12.1,Number of cases of Diptheria reported in children below 5 years of age,TOTAL,1,0,0,1,0,0,0,0,0,0,0,0
M12 [Number of cases of Childhood Diseases reported during the month0-5 years:],12.2,Number of cases of Pertusis reported in children below 5 years of age,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M12 [Number of cases of Childhood Diseases reported during the month0-5 years:],12.3,Number of cases of Tetanus neonatarum reported in children below 5 years of age,TOTAL,2,0,0,2,0,0,0,0,0,0,0,0
M12 [Number of cases of Childhood Diseases reported during the month0-5 years:],12.4,Number of cases of Tetanus other than neonatarum reported in children below 5 years of age,TOTAL,3,0,0,3,0,0,0,0,0,0,0,0
M12 [Number of cases of Childhood Diseases reported during the month0-5 years:],12.5,Number of cases of Polio reported in children below 5 years of age,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M12 [Number of cases of Childhood Diseases reported during the month0-5 years:],12.6,Number of cases of Measles reported in children below 5 years of age,TOTAL,444,34,45,57,38,10,59,97,61,24,4,15
M12 [Number of cases of Childhood Diseases reported during the month0-5 years:],12.7,Number of cases of Diarrhoea and Dehydration reported in children below 5 years of age,TOTAL,44254,3159,3745,4449,13716,712,4509,2312,1480,2519,963,6690
M12 [Number of cases of Childhood Diseases reported during the month0-5 years:],12.8,Number of cases of Malaria reported in children below 5 years of age,TOTAL,377,50,33,87,104,0,54,8,9,14,12,6
M12 [Number of cases of Childhood Diseases reported during the month0-5 years:],12.9,Number of children below 5 years of age admitted with Respiratory Infections,TOTAL,7151,489,677,1762,350,0,600,300,733,224,121,1895
M13 [Blindness Control Programme],13.1,Number of Patients operated for cataract,TOTAL,18956,9287,386,2516,273,174,1823,703,246,983,54,2511
M13 [Blindness Control Programme],13.2,Number of Intraocular Lens(IOL) implantations,TOTAL,17954,9179,176,2495,185,174,1533,508,241,924,30,2509
M13 [Blindness Control Programme],13.3,Number of School children detected with Refractive errors,TOTAL,7816,365,106,0,609,215,1192,1010,943,306,368,2702
M13 [Blindness Control Programme],13.4,Number of children provided free glasses,TOTAL,984,0,0,0,0,0,304,0,0,0,0,680
M13 [Blindness Control Programme],13.5,Number of eyes collected through eye donation,TOTAL,604,517,0,30,0,0,0,0,0,0,0,57
