Indicator,S.No.,Parameters,Type,District - _Delhi,District - Central,District - East,District - New Delhi,District - North,District - North East,District - North West,District - Shahdara,District - South,District - South East,District - South West,District - West
M2 [Deliveries],2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,26,4,0,10,0,1,1,0,2,2,6,0
M2 [Deliveries],2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,44491,7105,1831,9409,1513,1388,7076,7164,1179,847,2010,4969
M2 [Deliveries],2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,20637,3976,1058,6386,607,1080,1039,913,740,503,1392,2943
M2 [Deliveries],2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,3356,571,167,240,360,35,618,290,79,117,456,423
M2 [Deliveries],2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,1004,196,156,107,1,4,19,15,73,74,287,72
M2 [Deliveries],2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M2 [Deliveries],2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,9430,1921,735,47,221,44,1653,697,1030,1182,457,1443
M2 [Deliveries],2.3.1.a,Number of mothers paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,0,0,0,0,NA,NA,0,0,0,0,0,0
M2 [Deliveries],2.3.1.b,Number of ASHAs paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,0,0,0,0,NA,NA,0,0,0,0,0,0
M2 [Deliveries],2.3.1.c,Number of cases of deliveries conducted at accredited Private Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,0,0,0,0,NA,NA,0,0,0,0,0,0
M3 [Number of Caesarean C-Section deliveries performed at],3.1.1,Number of Caesarean (C-Section) deliveries performed at PHCs (Primary Health Centre),TOTAL,0,0,0,0,NA,0,0,0,0,0,0,0
M3 [Number of Caesarean C-Section deliveries performed at],3.1.2,Number of Caesarean (C-Section) deliveries performed at CHCs (Community Health Centre),TOTAL,7,0,NA,7,NA,0,0,NA,NA,0,NA,0
M3 [Number of Caesarean C-Section deliveries performed at],3.1.3,Number of Caesarean (C-Section) deliveries performed at SDHs (Sub-divisional Hospital) or DHs (District Hospital),TOTAL,10374,1900,395,2488,110,176,1676,1359,381,123,391,1375
M3 [Number of Caesarean C-Section deliveries performed at],3.1.4,Number of Caesarean (C-Section) deliveries performed at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M3 [Number of Caesarean C-Section deliveries performed at],3.1.5,"Total Number of Caesarean (C-Section) deliveries performed at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 3.1.1 to 3.1.4)",TOTAL,10381,1900,395,2495,110,176,1676,1359,381,123,391,1375
M3 [Number of Caesarean C-Section deliveries performed at],3.2,No. of C-section deliveries performed at Private facilities,TOTAL,5538,1173,456,26,60,31,1078,435,480,610,284,905
M4 [Pregnancy outcome & weight of new-born],4.1.1.a,Number of male live births,TOTAL,30235,4888,1466,4992,1239,993,4676,4301,1395,1251,1436,3598
M4 [Pregnancy outcome & weight of new-born],4.1.1.b,Number of female live births,TOTAL,27007,4294,1255,4439,1166,1017,4348,3643,1214,1199,1218,3214
M4 [Pregnancy outcome & weight of new-born],4.1.1.c,Total number of male and female live births (4.1.1.a and 4.1.1.b),TOTAL,57242,9182,2721,9431,2405,2010,9024,7944,2609,2450,2654,6812
M4 [Pregnancy outcome & weight of new-born],4.1.2,Number of still births,TOTAL,1005,201,46,248,31,11,190,104,39,10,20,105
M4 [Pregnancy outcome & weight of new-born],4.1.3,Number of Abortions (spontaneous or induced),TOTAL,9997,1714,1080,855,557,154,1314,844,723,680,479,1597
M4 [Pregnancy outcome & weight of new-born],4.2.1,Number of Newborns weighed at birth,TOTAL,55129,9111,2626,9371,2237,1724,8777,7894,2468,2163,2616,6142
M4 [Pregnancy outcome & weight of new-born],4.2.2,Number of Newborns having weight less than 2.5 kg,TOTAL,11732,2196,516,1316,379,210,1876,2414,383,234,395,1813
M4 [Pregnancy outcome & weight of new-born],4.3,Number of Newborns breast fed within 1 hour of birth,TOTAL,41887,6281,1540,7544,2057,1590,6617,6471,1819,1506,2013,4449
M5 [Complicated pregnanices],5.1.1,Number of cases of pregnant women with Obstetric Complications and attended at PHCs,TOTAL,0,NA,0,0,0,NA,0,0,0,0,0,0
M5 [Complicated pregnanices],5.1.2,Number of cases of pregnant women with Obstetric Complications and attended at CHCs,TOTAL,116,0,6,0,7,22,5,40,NA,36,NA,0
M5 [Complicated pregnanices],5.1.3,Number of cases of pregnant women with Obstetric Complications and attended at SDHs or DHs,TOTAL,15495,4006,653,2293,1386,80,1985,1852,1050,146,404,1640
M5 [Complicated pregnanices],5.1.4,Number of cases of pregnant women with Obstetric Complications and attended at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M5 [Complicated pregnanices],5.1.5,"Number of cases of pregnant women with Obstetric Complications and attended at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 5.1.1 to 5.1.4)",TOTAL,15611,4006,659,2293,1393,102,1990,1892,1050,182,404,1640
M5 [Complicated pregnanices],5.2,Number of cases of pregnant women with Obstetric Complications and attended at Private facilities,TOTAL,1976,350,45,0,104,29,219,235,402,415,83,94
M5 [Complicated pregnanices],5.3.1,Number of cases of complicated pregnancies treated with IV antibiotics,TOTAL,12166,3106,696,1500,283,121,1771,1489,754,568,394,1484
M5 [Complicated pregnanices],5.3.2,Number of cases of complicated pregnancies treated with IV Antihypertensive/Magsulph injection,TOTAL,1328,125,4,264,56,75,66,194,56,52,40,396
M5 [Complicated pregnanices],5.3.3,Number of cases of complicated pregnancies treated with IV Oxytocis,TOTAL,11177,3777,476,1357,375,101,1780,785,827,545,229,925
M5 [Complicated pregnanices],5.3.4,Number of cases of complicated pregnancies treated with Blood Transfusion,TOTAL,4194,333,487,652,115,13,923,493,79,47,90,962
M6 [Post - Natal Care],6.1,Women getting post partum check-up within 48 hours after delivery,TOTAL,49801,7763,2122,9432,2182,1741,8401,5400,2374,2126,2496,5764
M6 [Post - Natal Care],6.2,Women getting a post partum check up between 48 hours and 14 days after delivery,TOTAL,34734,4276,1609,3450,2219,1454,5571,3111,910,1744,3502,6888
M6 [Post - Natal Care],6.3,PNC maternal complications attended,TOTAL,1645,88,370,142,63,0,363,140,23,152,69,235
M7 [Medical Termination of Pregnancy (MTP)],7.1.1,Number of MTPs conducted at Public Institutions up to 12 weeks of pregnancy,TOTAL,1789,353,22,234,70,18,325,172,178,82,67,268
M7 [Medical Termination of Pregnancy (MTP)],7.1.2,Number of MTPs conducted at Public Institutions for more than 12 weeks of pregnancy,TOTAL,258,26,4,92,3,0,19,41,57,0,2,14
M7 [Medical Termination of Pregnancy (MTP)],7.1.3,Total number of MTPs conducted at Public Institutions (sum of items 7.1.1 and 7.1.2),TOTAL,2047,379,26,326,73,18,344,213,235,82,69,282
M7 [Medical Termination of Pregnancy (MTP)],7.2,Number of MTPs conducted at Private Facilities,TOTAL,3625,545,736,32,89,7,509,307,228,444,178,550
M8 [RTI/STI Cases],8.1.a,Number of new cases of RTI/STI in males for which treatment was initiated,TOTAL,8404,1226,382,1738,487,286,720,280,619,827,626,1213
M8 [RTI/STI Cases],8.1.b,Number of new cases of RTI/STI in females for which treatment was initiated,TOTAL,44235,5446,2829,6675,2775,3142,3967,2901,1529,2336,2410,10225
M8 [RTI/STI Cases],8.1.c,Total number of new cases of RTI/STI in males and females for which treatment was initiated (sum of items 8.1.a and 8.1.b),TOTAL,52639,6672,3211,8413,3262,3428,4687,3181,2148,3163,3036,11438
M8 [RTI/STI Cases],8.2,Number of suspected RTI/STI cases for whom wet mount test was conducted,TOTAL,144,0,1,0,NA,0,0,0,0,9,4,130
M9 [Family Planning],9.1.1.a,Number of NSV (No Scalpel Vasectomy) or Conventional Vasectomy conducted at PHCs,TOTAL,0,0,0,0,NA,0,0,0,0,0,0,0
M9 [Family Planning],9.1.1.b,Number of NSV or Conventional Vasectomy conducted at CHCs,TOTAL,0,0,NA,NA,NA,0,0,NA,NA,0,NA,0
M9 [Family Planning],9.1.1.c,Number of NSV or Conventional Vasectomy conducted at SDHs or DHs,TOTAL,392,240,0,60,2,0,11,11,5,0,48,15
M9 [Family Planning],9.1.1.d,Number of NSV or Conventional Vasectomy conducted at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M9 [Family Planning],9.1.1.e,"Total Number of NSV or Conventional Vasectomy conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.1.1.a to 9.1.1.d)",TOTAL,392,240,0,60,2,0,11,11,5,0,48,15
M9 [Family Planning],9.1.2,Number of NSV or Conventional Vasectomy conducted at Private facilities,TOTAL,8,7,0,0,0,NA,0,0,1,0,0,0
M9 [Family Planning],9.2.1.a,Number of Laparoscopic sterilizations conducted at PHCs,TOTAL,0,0,0,0,NA,NA,0,0,0,0,0,0
M9 [Family Planning],9.2.1.b,Number of Laparoscopic sterilizations conducted at CHCs,TOTAL,0,0,NA,NA,NA,0,0,NA,NA,0,NA,0
M9 [Family Planning],9.2.1.c,Number of Laparoscopic sterilizations conducted at SDHs or DHs,TOTAL,1594,491,4,291,26,0,215,104,187,18,46,212
M9 [Family Planning],9.2.1.d,Number of Laparoscopic sterilizations conducted at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M9 [Family Planning],9.2.1.e,"Total Number of Laparoscopic sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.2.1.a to 9.2.1.d)",TOTAL,1594,491,4,291,26,0,215,104,187,18,46,212
M9 [Family Planning],9.2.2,Number of Laparoscopic sterilizations conducted at Private facilities,TOTAL,636,15,15,43,2,NA,328,142,6,65,1,19
M9 [Family Planning],9.3.1.a,Number of Mini-lap sterilizations conducted at PHCs,TOTAL,0,0,0,0,NA,NA,0,0,0,0,0,0
M9 [Family Planning],9.3.1.b,Number of Mini-lap sterilizations conducted at CHCs,TOTAL,0,0,NA,NA,NA,0,0,NA,NA,0,NA,0
M9 [Family Planning],9.3.1.c,Number of Mini-lap sterilizations conducted at SDHs or DHs,TOTAL,489,63,33,221,11,0,46,45,16,1,25,28
M9 [Family Planning],9.3.1.d,Number of Mini-lap sterilizations conducted at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M9 [Family Planning],9.3.1.e,"Total Number of Mini-lap sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.3.1.a to 9.3.1.d)",TOTAL,489,63,33,221,11,0,46,45,16,1,25,28
M9 [Family Planning],9.3.2,Number of Mini-lap sterilizations conducted at Private facilities,TOTAL,42,10,5,0,0,NA,3,0,9,8,0,7
M9 [Family Planning],9.4.1.a,Number of Post-Partum sterilizations conducted at PHCs,TOTAL,0,0,0,0,NA,NA,0,0,0,0,0,0
M9 [Family Planning],9.4.1.b,Number of Post-Partum sterilizations conducted at CHCs,TOTAL,3,0,NA,3,NA,0,0,NA,NA,0,NA,0
M9 [Family Planning],9.4.1.c,Number of Post-Partum sterilizations conducted at SDHs or DHs,TOTAL,1077,109,0,150,5,4,337,232,36,7,30,167
M9 [Family Planning],9.4.1.d,Number of Post-Partum sterilizations conducted at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M9 [Family Planning],9.4.1.e,"Total Number of Post-Partum sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.4.1.a to 9.4.1.d)",TOTAL,1080,109,0,153,5,4,337,232,36,7,30,167
M9 [Family Planning],9.4.2,Number of Post-Partum sterilizations conducted at Private facilities,TOTAL,94,20,1,0,1,NA,9,0,5,25,2,31
M9 [Family Planning],9.5.1.a,Number of IUCD Insertions conducted at SCs,TOTAL,0,0,0,0,NA,0,0,0,NA,NA,0,0
M9 [Family Planning],9.5.1.b,Number of IUCD Insertions conducted at PHCs,TOTAL,5235,826,356,204,355,380,509,342,420,528,556,759
M9 [Family Planning],9.5.1.c,Number of IUCD Insertions conducted at CHCs,TOTAL,1800,190,148,104,200,304,203,113,NA,218,39,281
M9 [Family Planning],9.5.1.d,Number of IUCD Insertions conducted at SDHs or DHs,TOTAL,11882,1930,799,1762,815,283,2057,1316,467,224,428,1801
M9 [Family Planning],9.5.1.e,Number of IUCD Insertions conducted at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M9 [Family Planning],9.5.1.f,"Total Number of IUCD Insertions conducted at Public facilities i.e. SC, PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.5.1.a to 9.5.1.e)",TOTAL,18917,2946,1303,2070,1370,967,2769,1771,887,970,1023,2841
M9 [Family Planning],9.5.1A,"Out of above total, Post Partum (within 48 hours of delivery) IUCD insertions",TOTAL,9916,1542,781,1435,675,359,1748,1062,240,199,290,1585
M9 [Family Planning],9.5.2,Number of IUCD Insertions conducted at Private facilities,TOTAL,1052,137,68,48,87,9,161,126,62,150,62,142
M9 [Family Planning],9.06,Number of IUCD removals,TOTAL,3548,460,237,323,230,239,408,295,233,288,310,525
M9 [Family Planning],9.07,Number of Oral Pills cycles distributed,TOTAL,43376,5153,3302,2919,4332,2494,5486,4187,2830,4458,3125,5090
M9 [Family Planning],9.08,Number of Condom pieces distributed,TOTAL,1702313,200927,64975,120903,161467,112586,250046,101452,163829,191905,133254,200969
M9 [Family Planning],9.09,Number of Centchroman (weekly) pills given,TOTAL,58,36,0,0,0,0,0,0,11,0,0,11
M9 [Family Planning],9.1,Number of Emergency Contraceptive Pills distributed,TOTAL,3346,255,364,147,389,231,467,327,407,272,84,403
M9 [Family Planning],9.11.1.a,Number of cases of complications following male sterilization,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M9 [Family Planning],9.11.1.b,Number of cases of complications following female sterilization,TOTAL,4,0,0,0,0,0,0,4,0,0,0,0
M9 [Family Planning],9.11.2.a,Number of failures following male sterilization,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M9 [Family Planning],9.11.2.b,Number of failures following female sterilization,TOTAL,16,2,0,3,1,0,3,5,0,0,0,2
M9 [Family Planning],9.11.3.a,Number of deaths following male sterilization,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M9 [Family Planning],9.11.3.b,Number of deaths following female sterilization,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M9 [Family Planning],9.12,Number of Institutions having NSV trained doctors,TOTAL,162,16,12,21,10,NA,39,24,12,9,7,12
M10 [CHILD IMMUNIZATION],10.1.01,Number of Infants (0 to 11 months old)received BCG immunisation,TOTAL,67085,9109,3623,10351,3903,3262,9940,8616,3072,3890,3257,8062
M10 [CHILD IMMUNIZATION],10.1.02,Number of Infants (0 to 11 months old) received DPT1 immunisation,TOTAL,4261,635,211,44,188,184,687,256,433,762,116,745
M10 [CHILD IMMUNIZATION],10.1.03,Number of Infants (0 to 11 months old) received DPT2 immunisation,TOTAL,3770,583,214,63,150,137,464,198,438,664,128,731
M10 [CHILD IMMUNIZATION],10.1.04,Number of Infants (0 to 11 months old) received DPT3 immunisation,TOTAL,3661,611,200,59,156,152,469,210,356,641,154,653
M10 [CHILD IMMUNIZATION],10.1.04A,Number of Infants (0 to 11 months old) received Pentavalent1 immunisation,TOTAL,68592,6723,4485,3861,6513,6914,8910,6271,4077,6449,5273,9116
M10 [CHILD IMMUNIZATION],10.1.04B,Number of Infants (0 to 11 months old) received Pentavalent2 immunisation,TOTAL,74183,7065,5401,3853,7161,7275,9700,6500,4646,6942,5730,9910
M10 [CHILD IMMUNIZATION],10.1.04C,Number of Infants (0 to 11 months old) received Pentavalent3 immunisation,TOTAL,73920,7006,5103,3771,7279,7224,9767,6496,4657,6678,5882,10057
M10 [CHILD IMMUNIZATION],10.1.05,Number of Infants (0 to 11 months old) received OPV 0 (Birth Dose),TOTAL,51420,7868,2584,9228,1898,1685,7805,7519,2166,2026,2373,6268
M10 [CHILD IMMUNIZATION],10.1.06,Number of Infants (0 to 11 months old) received OPV1 (First Dose),TOTAL,70932,7330,4790,3762,6541,6927,9118,6562,3777,6992,5369,9764
M10 [CHILD IMMUNIZATION],10.1.07,Number of Infants (0 to 11 months old) received OPV2 (Second Dose),TOTAL,76072,7690,5507,3761,7141,7331,9687,6687,4434,7396,5855,10583
M10 [CHILD IMMUNIZATION],10.1.08,Number of Infants (0 to 11 months old) received OPV3 (Third Dose),TOTAL,76065,7611,5386,3732,7224,7235,9745,6633,4532,7270,6043,10654
M10 [CHILD IMMUNIZATION],10.1.09A,Number of Infants (upto 48 hrs of age) received Hepatitis-B0 immunisation,TOTAL,49269,7171,2542,9110,1904,1479,7798,7532,2093,1970,2307,5363
M10 [CHILD IMMUNIZATION],10.1.09,Number of Infants (0 to 11 months old) received Hepatitis-B1 immunisation,TOTAL,4701,815,390,31,27,662,536,321,314,612,183,810
M10 [CHILD IMMUNIZATION],10.1.10,Number of Infants (0 to 11 months old) received Hepatitis-B2 immunisation,TOTAL,3177,542,326,52,33,44,496,176,340,528,128,512
M10 [CHILD IMMUNIZATION],10.1.11,Number of Infants (0 to 11 months old) received Hepatitis-B3 immunisation,TOTAL,3138,640,324,62,50,61,410,178,315,494,157,447
M10 [CHILD IMMUNIZATION],10.1.12,Number of Infants (0 to 11 months old) received Measles immunisation (First Dose),TOTAL,80508,7580,5620,4185,7785,7782,10240,6625,5160,8122,6264,11145
M10 [CHILD IMMUNIZATION],10.1.12B,Number of Infants (more than 16 months old) received Measles immunisation (Second Dose),TOTAL,5027,672,332,207,411,927,736,325,378,471,267,301
M10 [CHILD IMMUNIZATION],10.1A,No. of Children aged 9 to 12 months who received JE 1st dose,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M10 [CHILD IMMUNIZATION],10.1.13.a,Total number of male children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,41687,3881,2964,2230,4090,3955,5301,3370,2590,4036,3362,5908
M10 [CHILD IMMUNIZATION],10.1.13.b,Total number of female children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,35953,3375,2559,1815,3492,3496,4750,2936,2329,3403,2800,4998
M10 [CHILD IMMUNIZATION],10.1.13.c,Total number of children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month (sum of items 10.1.13.a and 10.1.13.b),TOTAL,77640,7256,5523,4045,7582,7451,10051,6306,4919,7439,6162,10906
M10 [CHILD IMMUNIZATION],10.2.1,Number of Infants (more than 16 months old) received DPT Booster dose,TOTAL,88135,8049,6585,4363,8546,8570,11527,7283,5747,7583,7091,12791
M10 [CHILD IMMUNIZATION],10.2.2,Number of Infants (more than 16 months old) received OPV Booster dose,TOTAL,87090,8010,6558,4358,8478,8560,11314,6975,5817,7446,7087,12487
M10 [CHILD IMMUNIZATION],10.2.3,"Number of Infants (more than 16 months old) received Measles, Mumps, Rubella (MMR) Vaccination",TOTAL,94932,8634,7328,5097,9106,7513,12238,8963,6236,9286,7441,13090
M10 [CHILD IMMUNIZATION],10.3.1.a,Total number of male children (12 to 23 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,13056,1414,424,955,1533,1481,1716,1207,696,348,731,2551
M10 [CHILD IMMUNIZATION],10.3.1.b,Total number of female children (12 to 23 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,10951,1189,379,712,1199,1392,1492,967,612,340,574,2095
M10 [CHILD IMMUNIZATION],10.3.1.c,Total number of children (12 to 23 months old) fully immunised (BCG+DPT123+OPV123/Pentavalent123+Measles) during the month (sum of items 10.3.1.a and 10.3.1.b),TOTAL,24007,2603,803,1667,2732,2873,3208,2174,1308,688,1305,4646
M10 [CHILD IMMUNIZATION],10.3.2,Number of children (more than 5 years old) given DT5,TOTAL,41538,4574,3186,2307,3545,3051,5068,3292,2930,3874,3641,6070
M10 [CHILD IMMUNIZATION],10.3.3,Number of children (more than 10 years old) given TT10,TOTAL,13058,1578,1094,1037,889,1045,1434,969,1149,1348,1019,1496
M10 [CHILD IMMUNIZATION],10.3.4,Number of children (more than 16 years old) given TT16,TOTAL,7909,1232,605,617,729,501,907,793,572,668,763,522
M10 [CHILD IMMUNIZATION],10.3.5.a,Number of cases of Abscess reported following immunisation [Adverse Event Following Immunisation (AEFI)],TOTAL,3,0,1,0,NA,0,2,0,0,0,0,0
M10 [CHILD IMMUNIZATION],10.3.5.b,Number of cases of Death reported following immunisation [Adverse Event Following Immunisation (AEFI)],TOTAL,0,0,0,0,NA,0,0,0,0,0,0,0
M10 [CHILD IMMUNIZATION],10.3.5.c,Number of cases of other complications reported following immunisation [Adverse Event Following Immunisation (AEFI)],TOTAL,8,2,0,0,NA,0,2,1,0,3,0,0
M10 [CHILD IMMUNIZATION],10.4.1,Number of Immunisation sessions planned to be held during the month,TOTAL,30828,3929,2477,1647,3125,2273,4298,2033,1839,3010,1919,4278
M10 [CHILD IMMUNIZATION],10.4.2,Number of Immunisation sessions held during the month,TOTAL,30006,3828,2413,1548,3009,2245,4183,1997,1812,2967,1853,4151
M10 [CHILD IMMUNIZATION],10.4.3,Number of Immunisation sessions held during the month where ASHAs were present,TOTAL,16185,801,1593,716,1602,1756,2083,1035,934,1890,1438,2337
M10 [CHILD IMMUNIZATION],10.5.1,Number of children (more than 16 months old) received Japanese Encephalitis (JE) vaccination,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M11 [Number of Vitamin A doses],11.1.1,Number of children (9 months to 5 years old) administered 1st dose of Vitamin A (Dose-1),TOTAL,40248,931,5326,401,2055,5276,2644,3339,3380,3977,5418,7501
M11 [Number of Vitamin A doses],11.1.2,Number of children (9 months to 5 years old) were administered 5th dose of Vitamin A (Dose-5),TOTAL,30703,352,5340,102,3101,3003,2597,1991,1737,2914,2576,6990
M11 [Number of Vitamin A doses],11.1.3,Number of children (9 months to 5 years old) administered 9th dose of Vitamin A (Dose-9),TOTAL,13454,236,2577,73,1216,1687,1074,938,766,1482,1119,2286
M12 [Number of cases of Childhood Diseases reported during the month0-5 years:],12.1,Number of cases of Diptheria reported in children below 5 years of age,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M12 [Number of cases of Childhood Diseases reported during the month0-5 years:],12.2,Number of cases of Pertusis reported in children below 5 years of age,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M12 [Number of cases of Childhood Diseases reported during the month0-5 years:],12.3,Number of cases of Tetanus neonatarum reported in children below 5 years of age,TOTAL,2,0,0,2,0,0,0,0,0,0,0,0
M12 [Number of cases of Childhood Diseases reported during the month0-5 years:],12.4,Number of cases of Tetanus other than neonatarum reported in children below 5 years of age,TOTAL,2,0,0,2,0,0,0,0,0,0,0,0
M12 [Number of cases of Childhood Diseases reported during the month0-5 years:],12.5,Number of cases of Polio reported in children below 5 years of age,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M12 [Number of cases of Childhood Diseases reported during the month0-5 years:],12.6,Number of cases of Measles reported in children below 5 years of age,TOTAL,421,31,42,47,37,9,58,93,61,24,4,15
M12 [Number of cases of Childhood Diseases reported during the month0-5 years:],12.7,Number of cases of Diarrhoea and Dehydration reported in children below 5 years of age,TOTAL,29196,2296,2830,3288,7468,440,2914,1571,1111,1886,499,4893
M12 [Number of cases of Childhood Diseases reported during the month0-5 years:],12.8,Number of cases of Malaria reported in children below 5 years of age,TOTAL,304,39,22,78,103,0,35,3,6,6,6,6
M12 [Number of cases of Childhood Diseases reported during the month0-5 years:],12.9,Number of children below 5 years of age admitted with Respiratory Infections,TOTAL,4469,365,551,1409,270,0,468,211,607,167,81,340
M13 [Blindness Control Programme],13.1,Number of Patients operated for cataract,TOTAL,15481,7642,322,1850,209,156,1526,613,223,808,43,2089
M13 [Blindness Control Programme],13.2,Number of Intraocular Lens(IOL) implantations,TOTAL,14620,7543,157,1834,140,156,1274,420,219,765,24,2088
M13 [Blindness Control Programme],13.3,Number of School children detected with Refractive errors,TOTAL,5909,252,80,0,446,130,875,745,683,237,290,2171
M13 [Blindness Control Programme],13.4,Number of children provided free glasses,TOTAL,770,0,0,0,0,0,234,0,0,0,0,536
M13 [Blindness Control Programme],13.5,Number of eyes collected through eye donation,TOTAL,447,375,0,24,0,0,0,0,0,0,0,48
M13 [Blindness Control Programme],13.6,Number of eyes utilised for corneal transplant,TOTAL,262,206,0,8,0,0,0,0,0,0,0,48
