Indicator,S.No.,Parameters,Type,SubDistrict - _South - Total [(A+B) or (C+D)],SubDistrict - _South - Public [A],SubDistrict - _South - Private [B],SubDistrict - _South - Urban [C],SubDistrict - _South - Rural [D],SubDistrict - Autonomous - Total [(A+B) or (C+D)],SubDistrict - Autonomous - Public [A],SubDistrict - Autonomous - Private [B],SubDistrict - Autonomous - Urban [C],SubDistrict - Autonomous - Rural [D],SubDistrict - CGHS - Total [(A+B) or (C+D)],SubDistrict - CGHS - Public [A],SubDistrict - CGHS - Private [B],SubDistrict - CGHS - Urban [C],SubDistrict - CGHS - Rural [D],SubDistrict - Delhi Govt - Total [(A+B) or (C+D)],SubDistrict - Delhi Govt - Public [A],SubDistrict - Delhi Govt - Private [B],SubDistrict - Delhi Govt - Urban [C],SubDistrict - Delhi Govt - Rural [D],SubDistrict - ESI - Total [(A+B) or (C+D)],SubDistrict - ESI - Public [A],SubDistrict - ESI - Private [B],SubDistrict - ESI - Urban [C],SubDistrict - ESI - Rural [D],SubDistrict - IPP VIII-MCD - Total [(A+B) or (C+D)],SubDistrict - IPP VIII-MCD - Public [A],SubDistrict - IPP VIII-MCD - Private [B],SubDistrict - IPP VIII-MCD - Urban [C],SubDistrict - IPP VIII-MCD - Rural [D],SubDistrict - MCW Centres MCD - Total [(A+B) or (C+D)],SubDistrict - MCW Centres MCD - Public [A],SubDistrict - MCW Centres MCD - Private [B],SubDistrict - MCW Centres MCD - Urban [C],SubDistrict - MCW Centres MCD - Rural [D],SubDistrict - NGO - Total [(A+B) or (C+D)],SubDistrict - NGO - Public [A],SubDistrict - NGO - Private [B],SubDistrict - NGO - Urban [C],SubDistrict - NGO - Rural [D],SubDistrict - Private - Total [(A+B) or (C+D)],SubDistrict - Private - Public [A],SubDistrict - Private - Private [B],SubDistrict - Private - Urban [C],SubDistrict - Private - Rural [D]
M1 [Ante Natal Care (ANC)],1.6.2.e,Number of babies treated for congenital Syphilis,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M2 [Deliveries],2.1.1.a,Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM),TOTAL,4,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.1.1.b,Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),TOTAL,75,75,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,24,NA,24,NA,NA,NA,NA,NA,NA,19,19,NA,19,NA,32,32,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.1.2,Number of PW given Tablet Misoprostol during home delivery,TOTAL,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.1.3,Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,TOTAL,46,46,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,NA,12,NA,NA,NA,NA,NA,NA,12,12,NA,12,NA,22,22,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.2,Number of Institutional Deliveries conducted (Including C-Sections),TOTAL,1325,825,500,390,935,255,255,NA,NA,255,NA,NA,NA,NA,NA,570,570,NA,0,570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,28,28,NA,472,NA,472,362,110
M2 [Deliveries],2.2.1,Out of total institutional deliveries number of women discharged within 48 hours of delivery,TOTAL,369,149,220,173,196,123,123,NA,NA,123,NA,NA,NA,NA,NA,26,26,NA,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,28,28,NA,192,NA,192,145,47
M2 [Deliveries],2.2.2,Number of newborns received 6 HBNC  visits after Institutional Delivery,TOTAL,797,754,43,797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,408,408,NA,408,NA,NA,NA,NA,NA,NA,26,26,NA,26,NA,320,320,NA,320,NA,NA,NA,NA,NA,NA,43,NA,43,43,NA
M3 [Number of Caesarean (C-Section) deliveries],3.1,Total C -Section deliveries performed,TOTAL,423,200,223,160,263,132,132,NA,NA,132,NA,NA,NA,NA,NA,68,68,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,15,15,NA,208,NA,208,145,63
M3 [Number of Caesarean (C-Section) deliveries],3.1.1,"C-sections, performed at night (8 PM- 8 AM)",TOTAL,126,82,44,28,98,60,60,NA,NA,60,NA,NA,NA,NA,NA,22,22,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,6,6,NA,38,NA,38,22,16
M4 [Pregnancy outcome & details of new-born],4.1.1.a,Live Birth - Male,TOTAL,751,468,283,259,492,125,125,NA,NA,125,NA,NA,NA,NA,NA,316,316,NA,15,301,NA,NA,NA,NA,NA,7,7,NA,7,NA,20,20,NA,20,NA,16,NA,16,16,NA,267,NA,267,201,66
M4 [Pregnancy outcome & details of new-born],4.1.1.b,Live Birth - Female,TOTAL,678,437,241,232,446,131,131,NA,NA,131,NA,NA,NA,NA,NA,278,278,NA,9,269,NA,NA,NA,NA,NA,12,12,NA,12,NA,16,16,NA,16,NA,12,NA,12,12,NA,229,NA,229,183,46
M4 [Pregnancy outcome & details of new-born],4.1.2,Number of Pre term newborns ( < 37 weeks of pregnancy),TOTAL,151,83,68,55,96,54,54,NA,NA,54,NA,NA,NA,NA,NA,27,27,NA,0,27,NA,NA,NA,NA,NA,2,2,NA,2,NA,0,0,NA,0,NA,28,NA,28,28,NA,40,NA,40,25,15
M4 [Pregnancy outcome & details of new-born],4.1.3,Still Birth,TOTAL,19,16,3,3,16,11,11,NA,NA,11,NA,NA,NA,NA,NA,4,4,NA,0,4,NA,NA,NA,NA,NA,1,1,NA,1,NA,0,0,NA,0,NA,0,NA,0,0,NA,3,NA,3,2,1
M4 [Pregnancy outcome & details of new-born],4.2,Abortion (spontaneous),TOTAL,70,21,49,40,30,2,2,NA,NA,2,NA,NA,NA,NA,NA,18,18,NA,0,18,NA,NA,NA,NA,NA,1,1,NA,1,NA,0,0,NA,0,NA,0,NA,0,0,NA,49,NA,49,39,10
M4 [Pregnancy outcome & details of new-born],4.3.1.a,MTP up to 12 weeks of pregnancy,TOTAL,139,50,89,76,63,35,35,NA,NA,35,NA,NA,NA,NA,NA,15,15,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,89,NA,89,76,13
M4 [Pregnancy outcome & details of new-born],4.3.1.b,MTP more than 12 weeks of pregnancy,TOTAL,13,10,3,3,10,9,9,NA,NA,9,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,3,NA,3,3,0
M4 [Pregnancy outcome & details of new-born],4.3.2.a,Post Abortion/ MTP Complications Identified,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,NA
M4 [Pregnancy outcome & details of new-born],4.3.2.b,Post Abortion/ MTP Complications Treated,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,NA
M4 [Pregnancy outcome & details of new-born],4.3.3,Number of women provided with post abortion/ MTP contraception,TOTAL,53,52,1,1,52,20,20,NA,NA,20,NA,NA,NA,NA,NA,32,32,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,1,NA,1,1,NA
M4 [Pregnancy outcome & details of new-born],4.4.1,Number of newborns weighed at birth,TOTAL,1362,898,464,425,937,255,255,NA,NA,255,NA,NA,NA,NA,NA,592,592,NA,22,570,NA,NA,NA,NA,NA,19,19,NA,19,NA,32,32,NA,32,NA,28,NA,28,28,NA,436,NA,436,324,112
M4 [Pregnancy outcome & details of new-born],4.4.2,Number of newborns having weight less than 2.5 kg,TOTAL,268,207,61,55,213,104,104,NA,NA,104,NA,NA,NA,NA,NA,99,99,NA,1,98,NA,NA,NA,NA,NA,2,2,NA,2,NA,2,2,NA,2,NA,1,NA,1,1,NA,60,NA,60,49,11
M4 [Pregnancy outcome & details of new-born],4.4.3,Number of Newborns breast fed within 1 hour of birth ,TOTAL,1149,858,291,318,831,243,243,NA,NA,243,NA,NA,NA,NA,NA,564,564,NA,24,540,NA,NA,NA,NA,NA,19,19,NA,19,NA,32,32,NA,32,NA,28,NA,28,28,NA,263,NA,263,215,48
M5 [Complicated Pregnancies],5.1,"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",TOTAL,361,352,9,9,352,212,212,NA,NA,212,NA,NA,NA,NA,NA,134,134,NA,NA,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA,6,0,NA,0,0,NA,9,NA,9,9,NA
M5 [Complicated Pregnancies],5.2,Number of Complicated pregnancies treated with Blood Transfusion,TOTAL,31,27,4,4,27,3,3,NA,NA,3,NA,NA,NA,NA,NA,24,24,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,4,NA,4,4,NA
M6 [Post Natal Care (PNC)],6.1,Women receiving 1st post partum checkup within 48 hours of home delivery,TOTAL,44,44,0,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,8,NA,NA,NA,NA,NA,NA,19,19,NA,19,NA,17,17,NA,17,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA
M6 [Post Natal Care (PNC)],6.2,Women receiving 1st post partum checkup between 48 hours and 14 days,TOTAL,557,251,306,315,242,242,242,NA,NA,242,NA,NA,NA,NA,NA,4,4,NA,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,5,NA,28,NA,28,28,NA,278,NA,278,278,NA
M6 [Post Natal Care (PNC)],6.3,Number of mothers provided full course of 180 IFA tablets after delivery,TOTAL,486,195,291,486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,19,NA,19,NA,NA,NA,NA,NA,NA,32,32,NA,32,NA,144,144,NA,144,NA,28,NA,28,28,NA,263,NA,263,263,NA
M6 [Post Natal Care (PNC)],6.4,Number of mothers provided 360 Calcium tablets after delivery,TOTAL,455,164,291,455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,19,NA,19,NA,NA,NA,NA,NA,NA,32,32,NA,32,NA,113,113,NA,113,NA,28,NA,28,28,NA,263,NA,263,263,NA
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.1,New RTI/STI cases identified - Male,TOTAL,166,165,1,66,100,1,1,NA,NA,1,5,5,NA,5,NA,13,13,NA,13,NA,NA,NA,NA,NA,NA,6,6,NA,6,NA,140,140,NA,41,99,0,NA,0,0,NA,1,NA,1,1,NA
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.2,New RTI/STI cases identified - Female,TOTAL,421,419,2,241,180,4,4,NA,NA,4,5,5,NA,5,NA,92,92,NA,92,NA,NA,NA,NA,NA,NA,21,21,NA,21,NA,297,297,NA,121,176,0,NA,0,0,NA,2,NA,2,2,NA
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.1,RTI/STI for which treatment initiated - Male,TOTAL,163,162,1,63,100,1,1,NA,NA,1,3,3,NA,3,NA,13,13,NA,13,NA,NA,NA,NA,NA,NA,6,6,NA,6,NA,139,139,NA,40,99,0,NA,0,0,NA,1,NA,1,1,NA
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.2,RTI/STI for which treatment initiated -Female,TOTAL,418,416,2,238,180,4,4,NA,NA,4,3,3,NA,3,NA,92,92,NA,92,NA,NA,NA,NA,NA,NA,21,21,NA,21,NA,296,296,NA,120,176,0,NA,0,0,NA,2,NA,2,2,NA
M8 [Family Planning],8.1.1,Number of Non Scalpel Vasectomy (NSV) / Conventional Vasectomy conducted,TOTAL,6,6,0,0,6,0,0,NA,NA,0,NA,NA,NA,NA,NA,6,6,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,NA
M8 [Family Planning],8.2.1,Number of Laparoscopic sterilizations (excluding post abortion) conducted,TOTAL,34,30,4,3,31,30,30,NA,NA,30,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,3,NA,3,2,1
M8 [Family Planning],8.2.2,Number of Interval Mini-lap (other than post-partum and post abortion) sterilizations conducted,TOTAL,7,6,1,1,6,2,2,NA,NA,2,NA,NA,NA,NA,NA,4,4,NA,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,0,NA,0,0,NA
M8 [Family Planning],8.2.3,Number of Postpartum sterilizations (within 7 days of delivery by minilap or concurrent with caesarean section) conducted,TOTAL,13,10,3,2,11,8,8,NA,NA,8,NA,NA,NA,NA,NA,2,2,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,3,NA,3,2,1
M8 [Family Planning],8.2.4,Number of Post Abortion sterilizations (within 7 days of spontaneous or surgical abortion) conducted,TOTAL,20,20,0,0,20,14,14,NA,NA,14,NA,NA,NA,NA,NA,6,6,NA,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,NA
M8 [Family Planning],8.3,Number of Interval IUCD Insertions (excluding PPIUCD and PAIUCD),TOTAL,187,165,22,95,92,24,24,NA,NA,24,NA,NA,NA,NA,NA,75,75,NA,59,16,NA,NA,NA,NA,NA,3,3,NA,3,NA,63,63,NA,19,44,0,NA,0,0,NA,22,NA,22,14,8
M8 [Family Planning],8.4,Number of Postpartum (within 48 hours of delivery) IUCD insertions,TOTAL,59,59,0,0,59,44,44,NA,NA,44,NA,NA,NA,NA,NA,15,15,NA,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,NA
M8 [Family Planning],8.5,Number of Post Abortion (within 12 days of spontaneous or surgical abortion) IUCD insertions,TOTAL,18,17,1,1,17,9,9,NA,NA,9,NA,NA,NA,NA,NA,8,8,NA,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,1,NA,1,1,NA
M8 [Family Planning],8.6,Number of IUCD Removals,TOTAL,78,66,12,35,43,12,12,NA,NA,12,NA,NA,NA,NA,NA,34,34,NA,18,16,0,0,NA,0,NA,1,1,NA,1,NA,19,19,NA,6,13,0,NA,0,0,NA,12,NA,12,10,2
M8 [Family Planning],8.7,Number of complications following IUCD Insertion,TOTAL,7,5,2,7,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,4,4,NA,4,0,1,1,NA,1,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,NA,2,NA,2,2,NA
M8 [Family Planning],8.8,Injectable Contraceptive-Antara Program- First Dose,TOTAL,89,87,2,35,54,15,15,NA,NA,15,0,0,NA,0,NA,37,37,NA,28,9,0,0,NA,0,NA,2,2,NA,2,NA,33,33,NA,3,30,NA,NA,NA,NA,NA,2,NA,2,2,NA
M8 [Family Planning],8.9,Injectable Contraceptive-Antara Program- Second Dose,TOTAL,30,27,3,17,13,1,1,NA,NA,1,0,0,NA,0,NA,12,12,NA,10,2,0,0,NA,0,NA,1,1,NA,1,NA,13,13,NA,3,10,NA,NA,NA,NA,NA,3,NA,3,3,NA
M8 [Family Planning],8.1,Injectable Contraceptive-Antara Program- Third Dose,TOTAL,30,28,2,18,12,0,0,NA,NA,0,NA,NA,NA,NA,NA,13,13,NA,13,0,0,0,NA,0,NA,3,3,NA,3,NA,12,12,NA,0,12,NA,NA,NA,NA,NA,2,NA,2,2,NA
