Indicator,S.No.,Parameters,Type,SubDistrict - _South - Total [(A+B) or (C+D)],SubDistrict - _South - Public [A],SubDistrict - _South - Private [B],SubDistrict - _South - Urban [C],SubDistrict - _South - Rural [D],SubDistrict - Autonomous - Total [(A+B) or (C+D)],SubDistrict - Autonomous - Public [A],SubDistrict - Autonomous - Private [B],SubDistrict - Autonomous - Urban [C],SubDistrict - Autonomous - Rural [D],SubDistrict - CGHS - Total [(A+B) or (C+D)],SubDistrict - CGHS - Public [A],SubDistrict - CGHS - Private [B],SubDistrict - CGHS - Urban [C],SubDistrict - CGHS - Rural [D],SubDistrict - Delhi Govt - Total [(A+B) or (C+D)],SubDistrict - Delhi Govt - Public [A],SubDistrict - Delhi Govt - Private [B],SubDistrict - Delhi Govt - Urban [C],SubDistrict - Delhi Govt - Rural [D],SubDistrict - ESI - Total [(A+B) or (C+D)],SubDistrict - ESI - Public [A],SubDistrict - ESI - Private [B],SubDistrict - ESI - Urban [C],SubDistrict - ESI - Rural [D],SubDistrict - IPP VIII-MCD - Total [(A+B) or (C+D)],SubDistrict - IPP VIII-MCD - Public [A],SubDistrict - IPP VIII-MCD - Private [B],SubDistrict - IPP VIII-MCD - Urban [C],SubDistrict - IPP VIII-MCD - Rural [D],SubDistrict - MCW Centres MCD - Total [(A+B) or (C+D)],SubDistrict - MCW Centres MCD - Public [A],SubDistrict - MCW Centres MCD - Private [B],SubDistrict - MCW Centres MCD - Urban [C],SubDistrict - MCW Centres MCD - Rural [D],SubDistrict - Private - Total [(A+B) or (C+D)],SubDistrict - Private - Public [A],SubDistrict - Private - Private [B],SubDistrict - Private - Urban [C],SubDistrict - Private - Rural [D]
M4 [Pregnancy outcome & details of new-born],4.3.2.b,Post Abortion/ MTP Complications Treated,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M4 [Pregnancy outcome & details of new-born],4.3.3,Number of women provided with post abortion/ MTP contraception,TOTAL,84,70,14,14,70,36,36,NA,NA,36,NA,NA,NA,NA,NA,34,34,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,14,14,0
M4 [Pregnancy outcome & details of new-born],4.4.1,Number of newborns weighed at birth,TOTAL,905,503,402,362,543,177,177,NA,NA,177,NA,NA,NA,NA,NA,295,295,NA,28,267,NA,NA,NA,NA,NA,8,8,NA,8,NA,23,23,NA,23,NA,402,NA,402,303,99
M4 [Pregnancy outcome & details of new-born],4.4.2,Number of newborns having weight less than 2.5 kg,TOTAL,148,98,50,39,109,53,53,NA,NA,53,NA,NA,NA,NA,NA,39,39,NA,2,37,NA,NA,NA,NA,NA,1,1,NA,1,NA,5,5,NA,5,NA,50,NA,50,31,19
M4 [Pregnancy outcome & details of new-born],4.4.3,Number of Newborns breast fed within 1 hour of birth ,TOTAL,617,427,190,216,401,163,163,NA,NA,163,NA,NA,NA,NA,NA,234,234,NA,28,206,NA,NA,NA,NA,NA,8,8,NA,8,NA,22,22,NA,22,NA,190,NA,190,158,32
M5 [Complicated Pregnancies],5.1,"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",TOTAL,251,244,7,7,244,160,160,NA,NA,160,NA,NA,NA,NA,NA,84,84,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,7,7,0
M5 [Complicated Pregnancies],5.2,Number of Complicated pregnancies treated with Blood Transfusion,TOTAL,7,7,0,0,7,2,2,NA,NA,2,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M6 [Post Natal Care (PNC)],6.1,Women receiving 1st post partum checkup within 48 hours of home delivery,TOTAL,51,51,0,51,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,27,NA,27,0,NA,NA,NA,NA,NA,10,10,NA,10,NA,14,14,NA,14,NA,0,NA,0,0,0
M6 [Post Natal Care (PNC)],6.2,Women receiving 1st post partum checkup between 48 hours and 14 days,TOTAL,254,231,23,32,222,170,170,NA,NA,170,NA,NA,NA,NA,NA,52,52,NA,0,52,NA,NA,NA,NA,NA,0,0,NA,0,NA,9,9,NA,9,NA,23,NA,23,23,0
M6 [Post Natal Care (PNC)],6.3,Number of mothers provided full course of 180 IFA tablets after delivery,TOTAL,623,434,189,354,269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305,305,NA,36,269,NA,NA,NA,NA,NA,29,29,NA,29,NA,100,100,NA,100,NA,189,NA,189,189,0
M6 [Post Natal Care (PNC)],6.4,Number of mothers provided 360 Calcium tablets after delivery,TOTAL,526,406,120,257,269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,277,277,NA,8,269,NA,NA,NA,NA,NA,29,29,NA,29,NA,100,100,NA,100,NA,120,NA,120,120,0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.1,New RTI/STI cases identified - Male,TOTAL,114,112,2,53,61,0,0,NA,NA,0,2,2,NA,2,NA,10,10,NA,10,NA,NA,NA,NA,NA,NA,6,6,NA,6,NA,94,94,NA,33,61,2,NA,2,2,0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.2,New RTI/STI cases identified - Female,TOTAL,405,399,6,287,118,9,9,NA,NA,9,4,4,NA,4,NA,69,69,NA,69,NA,NA,NA,NA,NA,NA,20,20,NA,20,NA,297,297,NA,188,109,6,NA,6,6,0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.1,RTI/STI for which treatment initiated - Male,TOTAL,112,110,2,51,61,0,0,NA,NA,0,NA,NA,NA,NA,NA,10,10,NA,10,NA,NA,NA,NA,NA,NA,6,6,NA,6,NA,94,94,NA,33,61,2,NA,2,2,0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.2,RTI/STI for which treatment initiated -Female,TOTAL,403,397,6,285,118,9,9,NA,NA,9,2,2,NA,2,NA,69,69,NA,69,NA,NA,NA,NA,NA,NA,20,20,NA,20,NA,297,297,NA,188,109,6,NA,6,6,0
M8 [Family Planning],8.1.1,Number of Non Scalpel Vasectomy (NSV) / Conventional Vasectomy conducted,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0
M8 [Family Planning],8.2.1,Number of Laparoscopic sterilizations (excluding post abortion) conducted,TOTAL,35,32,3,3,32,32,32,NA,NA,32,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,3,0
M8 [Family Planning],8.2.2,Number of Interval Mini-lap (other than post-partum and post abortion) sterilizations conducted,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M8 [Family Planning],8.2.3,Number of Postpartum sterilizations (within 7 days of delivery by minilap or concurrent with caesarean section) conducted,TOTAL,13,10,3,1,12,10,10,NA,NA,10,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,1,2
M8 [Family Planning],8.2.4,Number of Post Abortion sterilizations (within 7 days of spontaneous or surgical abortion) conducted,TOTAL,35,35,0,0,35,28,28,NA,NA,28,NA,NA,NA,NA,NA,7,7,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M8 [Family Planning],8.3,Number of Interval IUCD Insertions (excluding PPIUCD and PAIUCD),TOTAL,199,178,21,80,119,23,23,NA,NA,23,NA,NA,NA,NA,NA,62,62,NA,39,23,0,0,NA,0,NA,0,0,NA,0,NA,93,93,NA,31,62,21,NA,21,10,11
M8 [Family Planning],8.4,Number of Postpartum (within 48 hours of delivery) IUCD insertions,TOTAL,68,68,0,0,68,47,47,NA,NA,47,NA,NA,NA,NA,NA,21,21,NA,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0
M8 [Family Planning],8.5,Number of Post Abortion (within 12 days of spontaneous or surgical abortion) IUCD insertions,TOTAL,32,31,1,1,31,24,24,NA,NA,24,NA,NA,NA,NA,NA,7,7,NA,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,1,NA,1,1,0
M8 [Family Planning],8.6,Number of IUCD Removals,TOTAL,113,98,15,45,68,26,26,NA,NA,26,NA,NA,NA,NA,NA,40,40,NA,19,21,2,2,NA,2,NA,NA,NA,NA,NA,NA,30,30,NA,11,19,15,NA,15,13,2
M8 [Family Planning],8.7,Number of complications following IUCD Insertion,TOTAL,5,4,1,5,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,3,3,NA,3,0,1,1,NA,1,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,1,NA,1,1,0
M8 [Family Planning],8.8,Injectable Contraceptive-Antara Program- First Dose,TOTAL,87,87,0,61,26,10,10,NA,NA,10,NA,NA,NA,NA,NA,52,52,NA,49,3,1,1,NA,1,NA,4,4,NA,4,NA,20,20,NA,7,13,0,NA,0,0,0
M8 [Family Planning],8.9,Injectable Contraceptive-Antara Program- Second Dose,TOTAL,39,39,0,27,12,9,9,NA,NA,9,NA,NA,NA,NA,NA,23,23,NA,22,1,0,0,NA,0,NA,4,4,NA,4,NA,3,3,NA,1,2,0,NA,0,0,0
M8 [Family Planning],8.1,Injectable Contraceptive-Antara Program- Third Dose,TOTAL,13,13,0,9,4,0,0,NA,NA,0,NA,NA,NA,NA,NA,7,7,NA,7,0,1,1,NA,1,NA,1,1,NA,1,NA,4,4,NA,0,4,0,NA,0,0,0
M8 [Family Planning],8.11,Injectable Contraceptive-Antara Program- Fourth or more than fourth,TOTAL,12,12,0,2,10,0,0,NA,NA,0,NA,NA,NA,NA,NA,2,2,NA,2,0,0,0,NA,0,NA,0,0,NA,0,NA,10,10,NA,0,10,0,NA,0,0,0
M8 [Family Planning],8.12,Number of Combined Oral Pill cycles distributed,TOTAL,947,937,10,735,212,108,108,NA,NA,108,6,6,NA,6,NA,392,392,NA,340,52,6,6,NA,6,NA,107,107,NA,107,NA,318,318,NA,266,52,10,NA,10,10,0
M8 [Family Planning],8.13,Number of Condom pieces distributed,TOTAL,60702,60686,16,48342,12360,6500,6500,NA,NA,6500,2065,2065,NA,2065,NA,27381,27381,NA,25381,2000,960,960,NA,960,NA,3219,3219,NA,3219,NA,20561,20561,NA,16701,3860,16,NA,16,16,0
M8 [Family Planning],8.14,Number of Centchroman (weekly) pill strips distributed,TOTAL,357,357,0,280,77,NA,NA,NA,NA,NA,2,2,NA,2,NA,215,215,NA,157,58,1,1,NA,1,NA,52,52,NA,52,NA,87,87,NA,68,19,0,NA,0,0,0
M8 [Family Planning],8.15,Number of Emergency Contraceptive Pills (ECP) given,TOTAL,285,281,4,216,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,160,NA,137,23,10,10,NA,10,NA,5,5,NA,5,NA,106,106,NA,60,46,4,NA,4,4,0
M8 [Family Planning],8.16,Number of Pregnancy Test Kits (PTK) used,TOTAL,1623,1528,95,1514,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,817,817,NA,817,NA,19,19,NA,19,NA,62,62,NA,62,NA,630,630,NA,521,109,95,NA,95,95,0
M8 [Family Planning],8.17.1,Complications following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M8 [Family Planning],8.17.2,Complications following female sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M8 [Family Planning],8.17.3,Failures following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
