Indicator,S.No.,Parameters,Type,SubDistrict - _South - Total [(A+B) or (C+D)],SubDistrict - _South - Public [A],SubDistrict - _South - Private [B],SubDistrict - _South - Urban [C],SubDistrict - _South - Rural [D],SubDistrict - Autonomous - Total [(A+B) or (C+D)],SubDistrict - Autonomous - Public [A],SubDistrict - Autonomous - Private [B],SubDistrict - Autonomous - Urban [C],SubDistrict - Autonomous - Rural [D],SubDistrict - CGHS - Total [(A+B) or (C+D)],SubDistrict - CGHS - Public [A],SubDistrict - CGHS - Private [B],SubDistrict - CGHS - Urban [C],SubDistrict - CGHS - Rural [D],SubDistrict - Delhi Govt - Total [(A+B) or (C+D)],SubDistrict - Delhi Govt - Public [A],SubDistrict - Delhi Govt - Private [B],SubDistrict - Delhi Govt - Urban [C],SubDistrict - Delhi Govt - Rural [D],SubDistrict - ESI - Total [(A+B) or (C+D)],SubDistrict - ESI - Public [A],SubDistrict - ESI - Private [B],SubDistrict - ESI - Urban [C],SubDistrict - ESI - Rural [D],SubDistrict - IPP VIII-MCD - Total [(A+B) or (C+D)],SubDistrict - IPP VIII-MCD - Public [A],SubDistrict - IPP VIII-MCD - Private [B],SubDistrict - IPP VIII-MCD - Urban [C],SubDistrict - IPP VIII-MCD - Rural [D],SubDistrict - MCW Centres MCD - Total [(A+B) or (C+D)],SubDistrict - MCW Centres MCD - Public [A],SubDistrict - MCW Centres MCD - Private [B],SubDistrict - MCW Centres MCD - Urban [C],SubDistrict - MCW Centres MCD - Rural [D],SubDistrict - Private - Total [(A+B) or (C+D)],SubDistrict - Private - Public [A],SubDistrict - Private - Private [B],SubDistrict - Private - Urban [C],SubDistrict - Private - Rural [D]
M2 [Deliveries],2.2.1,Out of total institutional deliveries number of women discharged within 48 hours of delivery,TOTAL,434,264,170,133,301,98,98,NA,NA,98,NA,NA,NA,NA,NA,166,166,NA,0,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170,NA,170,133,37
M2 [Deliveries],2.2.2,Number of newborns received 6 HBNC  visits after Institutional Delivery,TOTAL,707,679,28,707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366,366,NA,366,NA,NA,NA,NA,NA,NA,21,21,NA,21,NA,292,292,NA,292,NA,28,NA,28,28,NA
M3 [Number of Caesarean (C-Section) deliveries],3.1,Total C -Section deliveries performed,TOTAL,380,148,232,142,238,100,100,NA,NA,100,NA,NA,NA,NA,NA,48,48,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232,NA,232,142,90
M3 [Number of Caesarean (C-Section) deliveries],3.1.1,"C-sections, performed at night (8 PM- 8 AM)",TOTAL,113,63,50,35,78,45,45,NA,NA,45,NA,NA,NA,NA,NA,18,18,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,50,35,15
M4 [Pregnancy outcome & details of new-born],4.1.1.a,Live Birth - Male,TOTAL,641,386,255,226,415,104,104,NA,NA,104,NA,NA,NA,NA,NA,257,257,NA,15,242,NA,NA,NA,NA,NA,11,11,NA,11,NA,14,14,NA,14,NA,255,NA,255,186,69
M4 [Pregnancy outcome & details of new-born],4.1.1.b,Live Birth - Female,TOTAL,599,352,247,217,382,97,97,NA,NA,97,NA,NA,NA,NA,NA,237,237,NA,14,223,NA,NA,NA,NA,NA,10,10,NA,10,NA,8,8,NA,8,NA,247,NA,247,185,62
M4 [Pregnancy outcome & details of new-born],4.1.2,Number of Pre term newborns ( < 37 weeks of pregnancy),TOTAL,101,74,27,12,89,40,40,NA,NA,40,NA,NA,NA,NA,NA,32,32,NA,0,32,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,NA,NA,NA,27,NA,27,10,17
M4 [Pregnancy outcome & details of new-born],4.1.3,Still Birth,TOTAL,8,6,2,4,4,3,3,NA,NA,3,NA,NA,NA,NA,NA,1,1,NA,1,0,NA,NA,NA,NA,NA,2,2,NA,2,NA,0,0,NA,0,NA,2,NA,2,1,1
M4 [Pregnancy outcome & details of new-born],4.2,Abortion (spontaneous),TOTAL,69,29,40,26,43,3,3,NA,NA,3,NA,NA,NA,NA,NA,22,22,NA,0,22,NA,NA,NA,NA,NA,4,4,NA,4,NA,NA,NA,NA,NA,NA,40,NA,40,22,18
M4 [Pregnancy outcome & details of new-born],4.3.1.a,MTP up to 12 weeks of pregnancy,TOTAL,131,24,107,88,43,18,18,NA,NA,18,NA,NA,NA,NA,NA,6,6,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,NA,107,88,19
M4 [Pregnancy outcome & details of new-born],4.3.1.b,MTP more than 12 weeks of pregnancy,TOTAL,23,15,8,6,17,14,14,NA,NA,14,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,8,6,2
M4 [Pregnancy outcome & details of new-born],4.3.2.a,Post Abortion/ MTP Complications Identified,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M4 [Pregnancy outcome & details of new-born],4.3.2.b,Post Abortion/ MTP Complications Treated,TOTAL,1,0,1,1,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,0
M4 [Pregnancy outcome & details of new-born],4.3.3,Number of women provided with post abortion/ MTP contraception,TOTAL,46,44,2,2,44,15,15,NA,NA,15,NA,NA,NA,NA,NA,29,29,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2,0
M4 [Pregnancy outcome & details of new-born],4.4.1,Number of newborns weighed at birth,TOTAL,1183,727,456,386,797,201,201,NA,NA,201,NA,NA,NA,NA,NA,488,488,NA,23,465,NA,NA,NA,NA,NA,21,21,NA,21,NA,17,17,NA,17,NA,456,NA,456,325,131
M4 [Pregnancy outcome & details of new-born],4.4.2,Number of newborns having weight less than 2.5 kg,TOTAL,239,180,59,45,194,90,90,NA,NA,90,NA,NA,NA,NA,NA,83,83,NA,3,80,NA,NA,NA,NA,NA,7,7,NA,7,NA,0,0,NA,0,NA,59,NA,59,35,24
M4 [Pregnancy outcome & details of new-born],4.4.3,Number of Newborns breast fed within 1 hour of birth ,TOTAL,860,636,224,241,619,192,192,NA,NA,192,NA,NA,NA,NA,NA,404,404,NA,25,379,NA,NA,NA,NA,NA,21,21,NA,21,NA,19,19,NA,19,NA,224,NA,224,176,48
M5 [Complicated Pregnancies],5.1,"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",TOTAL,289,283,6,6,283,165,165,NA,NA,165,NA,NA,NA,NA,NA,112,112,NA,NA,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA,6,6,NA,6,6,0
M5 [Complicated Pregnancies],5.2,Number of Complicated pregnancies treated with Blood Transfusion,TOTAL,22,21,1,1,21,3,3,NA,NA,3,NA,NA,NA,NA,NA,18,18,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,0
M6 [Post Natal Care (PNC)],6.1,Women receiving 1st post partum checkup within 48 hours of home delivery,TOTAL,57,57,0,57,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,24,NA,24,0,NA,NA,NA,NA,NA,20,20,NA,20,NA,13,13,NA,13,NA,0,NA,0,0,0
M6 [Post Natal Care (PNC)],6.2,Women receiving 1st post partum checkup between 48 hours and 14 days,TOTAL,284,235,49,51,233,185,185,NA,NA,185,NA,NA,NA,NA,NA,48,48,NA,0,48,NA,NA,NA,NA,NA,0,0,NA,0,NA,2,2,NA,2,NA,49,NA,49,49,0
M6 [Post Natal Care (PNC)],6.3,Number of mothers provided full course of 180 IFA tablets after delivery,TOTAL,396,139,257,396,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,8,NA,NA,NA,NA,NA,NA,32,32,NA,32,NA,99,99,NA,99,NA,257,NA,257,257,0
M6 [Post Natal Care (PNC)],6.4,Number of mothers provided 360 Calcium tablets after delivery,TOTAL,389,131,258,389,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,32,32,NA,32,NA,99,99,NA,99,NA,258,NA,258,258,0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.1,New RTI/STI cases identified - Male,TOTAL,93,91,2,49,44,0,0,NA,NA,0,6,6,NA,6,NA,12,12,NA,12,NA,NA,NA,NA,NA,NA,4,4,NA,4,NA,69,69,NA,25,44,2,NA,2,2,0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.2,New RTI/STI cases identified - Female,TOTAL,321,317,4,176,145,7,7,NA,NA,7,6,6,NA,6,NA,69,69,NA,69,NA,NA,NA,NA,NA,NA,12,12,NA,12,NA,223,223,NA,85,138,4,NA,4,4,0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.1,RTI/STI for which treatment initiated - Male,TOTAL,90,88,2,46,44,0,0,NA,NA,0,4,4,NA,4,NA,12,12,NA,12,NA,NA,NA,NA,NA,NA,4,4,NA,4,NA,68,68,NA,24,44,2,NA,2,2,0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.2,RTI/STI for which treatment initiated -Female,TOTAL,318,314,4,173,145,7,7,NA,NA,7,4,4,NA,4,NA,69,69,NA,69,NA,NA,NA,NA,NA,NA,12,12,NA,12,NA,222,222,NA,84,138,4,NA,4,4,0
M8 [Family Planning],8.1.1,Number of Non Scalpel Vasectomy (NSV) / Conventional Vasectomy conducted,TOTAL,3,3,0,0,3,1,1,NA,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M8 [Family Planning],8.2.1,Number of Laparoscopic sterilizations (excluding post abortion) conducted,TOTAL,14,11,3,2,12,10,10,NA,NA,10,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,2,1
M8 [Family Planning],8.2.2,Number of Interval Mini-lap (other than post-partum and post abortion) sterilizations conducted,TOTAL,1,1,0,0,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M8 [Family Planning],8.2.3,Number of Postpartum sterilizations (within 7 days of delivery by minilap or concurrent with caesarean section) conducted,TOTAL,22,20,2,0,22,20,20,NA,NA,20,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,0,2
M8 [Family Planning],8.2.4,Number of Post Abortion sterilizations (within 7 days of spontaneous or surgical abortion) conducted,TOTAL,14,14,0,0,14,10,10,NA,NA,10,NA,NA,NA,NA,NA,4,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M8 [Family Planning],8.3,Number of Interval IUCD Insertions (excluding PPIUCD and PAIUCD),TOTAL,205,170,35,93,112,15,15,NA,NA,15,NA,NA,NA,NA,NA,82,82,NA,63,19,1,1,NA,1,NA,0,0,NA,0,NA,72,72,NA,21,51,35,NA,35,8,27
M8 [Family Planning],8.4,Number of Postpartum (within 48 hours of delivery) IUCD insertions,TOTAL,83,79,4,4,79,49,49,NA,NA,49,NA,NA,NA,NA,NA,30,30,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,4,NA,4,4,0
M8 [Family Planning],8.5,Number of Post Abortion (within 12 days of spontaneous or surgical abortion) IUCD insertions,TOTAL,14,13,1,1,13,9,9,NA,NA,9,NA,NA,NA,NA,NA,4,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,1,NA,1,1,0
M8 [Family Planning],8.6,Number of IUCD Removals,TOTAL,88,72,16,40,48,9,9,NA,NA,9,NA,NA,NA,NA,NA,40,40,NA,23,17,1,1,NA,1,NA,0,0,NA,0,NA,22,22,NA,3,19,16,NA,16,13,3
M8 [Family Planning],8.7,Number of complications following IUCD Insertion,TOTAL,2,1,1,2,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,1,1,NA,1,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,1,NA,1,1,0
M8 [Family Planning],8.8,Injectable Contraceptive-Antara Program- First Dose,TOTAL,70,70,0,26,44,10,10,NA,NA,10,NA,NA,NA,NA,NA,24,24,NA,22,2,0,0,NA,0,NA,0,0,NA,0,NA,36,36,NA,4,32,0,NA,0,0,0
M8 [Family Planning],8.9,Injectable Contraceptive-Antara Program- Second Dose,TOTAL,43,43,0,22,21,2,2,NA,NA,2,NA,NA,NA,NA,NA,23,23,NA,21,2,0,0,NA,0,NA,0,0,NA,0,NA,18,18,NA,1,17,0,NA,0,0,0
M8 [Family Planning],8.1,Injectable Contraceptive-Antara Program- Third Dose,TOTAL,11,11,0,4,7,1,1,NA,NA,1,NA,NA,NA,NA,NA,7,7,NA,4,3,0,0,NA,0,NA,0,0,NA,0,NA,3,3,NA,0,3,0,NA,0,0,0
M8 [Family Planning],8.11,Injectable Contraceptive-Antara Program- Fourth or more than fourth,TOTAL,20,20,0,9,11,0,0,NA,NA,0,NA,NA,NA,NA,NA,10,10,NA,9,1,0,0,NA,0,NA,0,0,NA,0,NA,10,10,NA,0,10,0,NA,0,0,0
M8 [Family Planning],8.12,Number of Combined Oral Pill cycles distributed,TOTAL,830,810,20,672,158,75,75,NA,NA,75,2,2,NA,2,NA,378,378,NA,318,60,13,13,NA,13,NA,71,71,NA,71,NA,271,271,NA,248,23,20,NA,20,20,0
M8 [Family Planning],8.13,Number of Condom pieces distributed,TOTAL,56197,56185,12,39597,16600,6900,6900,NA,NA,6900,2130,2130,NA,2130,NA,27357,27357,NA,20357,7000,600,600,NA,600,NA,2982,2982,NA,2982,NA,16216,16216,NA,13516,2700,12,NA,12,12,0
M8 [Family Planning],8.14,Number of Centchroman (weekly) pill strips distributed,TOTAL,372,372,0,332,40,4,4,NA,NA,4,3,3,NA,3,NA,250,250,NA,231,19,1,1,NA,1,NA,33,33,NA,33,NA,81,81,NA,64,17,0,NA,0,0,0
M8 [Family Planning],8.15,Number of Emergency Contraceptive Pills (ECP) given,TOTAL,224,220,4,203,21,6,6,NA,NA,6,NA,NA,NA,NA,NA,127,127,NA,117,10,1,1,NA,1,NA,38,38,NA,38,NA,48,48,NA,43,5,4,NA,4,4,0
M8 [Family Planning],8.16,Number of Pregnancy Test Kits (PTK) used,TOTAL,1442,1348,94,1357,85,0,0,NA,NA,0,NA,NA,NA,NA,NA,765,765,NA,765,NA,0,0,NA,0,NA,93,93,NA,93,NA,490,490,NA,405,85,94,NA,94,94,0
M8 [Family Planning],8.17.1,Complications following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M8 [Family Planning],8.17.2,Complications following female sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M8 [Family Planning],8.17.3,Failures following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
