Indicator,S.No.,Parameters,Type,SubDistrict - _South - Total [(A+B) or (C+D)],SubDistrict - _South - Public [A],SubDistrict - _South - Private [B],SubDistrict - _South - Urban [C],SubDistrict - _South - Rural [D],SubDistrict - Autonomous - Total [(A+B) or (C+D)],SubDistrict - Autonomous - Public [A],SubDistrict - Autonomous - Private [B],SubDistrict - Autonomous - Urban [C],SubDistrict - Autonomous - Rural [D],SubDistrict - CGHS - Total [(A+B) or (C+D)],SubDistrict - CGHS - Public [A],SubDistrict - CGHS - Private [B],SubDistrict - CGHS - Urban [C],SubDistrict - CGHS - Rural [D],SubDistrict - Delhi Govt - Total [(A+B) or (C+D)],SubDistrict - Delhi Govt - Public [A],SubDistrict - Delhi Govt - Private [B],SubDistrict - Delhi Govt - Urban [C],SubDistrict - Delhi Govt - Rural [D],SubDistrict - ESI - Total [(A+B) or (C+D)],SubDistrict - ESI - Public [A],SubDistrict - ESI - Private [B],SubDistrict - ESI - Urban [C],SubDistrict - ESI - Rural [D],SubDistrict - IPP VIII-MCD - Total [(A+B) or (C+D)],SubDistrict - IPP VIII-MCD - Public [A],SubDistrict - IPP VIII-MCD - Private [B],SubDistrict - IPP VIII-MCD - Urban [C],SubDistrict - IPP VIII-MCD - Rural [D],SubDistrict - MCW Centres MCD - Total [(A+B) or (C+D)],SubDistrict - MCW Centres MCD - Public [A],SubDistrict - MCW Centres MCD - Private [B],SubDistrict - MCW Centres MCD - Urban [C],SubDistrict - MCW Centres MCD - Rural [D],SubDistrict - NGO - Total [(A+B) or (C+D)],SubDistrict - NGO - Public [A],SubDistrict - NGO - Private [B],SubDistrict - NGO - Urban [C],SubDistrict - NGO - Rural [D],SubDistrict - Private - Total [(A+B) or (C+D)],SubDistrict - Private - Public [A],SubDistrict - Private - Private [B],SubDistrict - Private - Urban [C],SubDistrict - Private - Rural [D]
M1 [Ante Natal Care (ANC)],1.4.2,Number of PW having Hb level<11 (tested cases)(7.1 to 10.9),TOTAL,821,631,190,600,221,53,53,NA,NA,53,NA,NA,NA,NA,NA,413,413,NA,356,57,5,5,NA,5,NA,45,45,NA,45,NA,115,115,NA,8,107,28,NA,28,28,NA,162,NA,162,158,4
M1 [Ante Natal Care (ANC)],1.4.3,Number of PW having Hb level<7 (tested cases),TOTAL,69,40,29,46,23,2,2,NA,NA,2,NA,NA,NA,NA,NA,24,24,NA,4,20,13,13,NA,13,NA,0,0,NA,0,NA,1,1,NA,0,1,0,NA,0,0,NA,29,NA,29,29,0
M1 [Ante Natal Care (ANC)],1.4.4,Number of PW having severe anaemia (Hb<7) treated,TOTAL,29,26,3,8,21,2,2,NA,NA,2,NA,NA,NA,NA,NA,23,23,NA,4,19,1,1,NA,1,NA,0,0,NA,0,NA,0,0,NA,0,0,0,NA,0,0,NA,3,NA,3,3,0
M1 [Ante Natal Care (ANC)],1.5.1,Number of PW tested for blood sugar using OGTT (Oral Glucose Tolerance Test),TOTAL,1451,1182,269,328,1123,236,236,NA,NA,236,NA,NA,NA,NA,NA,916,916,NA,59,857,0,0,NA,0,NA,NA,NA,NA,NA,NA,30,30,NA,NA,30,25,NA,25,25,NA,244,NA,244,244,0
M1 [Ante Natal Care (ANC)],1.5.2,Number of PW tested positive for GDM,TOTAL,88,62,26,18,70,52,52,NA,NA,52,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,10,10,NA,NA,10,0,NA,0,0,NA,26,NA,26,18,8
M1 [Ante Natal Care (ANC)],1.5.3,Number of PW given insulin out of total tested positive for GDM,TOTAL,14,7,7,4,10,7,7,NA,NA,7,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,7,4,3
M1 [Ante Natal Care (ANC)],1.6.1.a,Number of PW tested using POC test for Syphilis,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.1.b,"Out of above, number of PW found sero positive for syphilis",TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.2.a,Number of pregnant women tested for Syphilis,TOTAL,1222,1165,57,64,1158,236,236,NA,NA,236,NA,NA,NA,NA,NA,881,881,NA,24,857,0,0,NA,0,NA,NA,NA,NA,NA,NA,48,48,NA,0,48,2,NA,2,2,NA,55,NA,55,38,17
M1 [Ante Natal Care (ANC)],1.6.2.b,Number of pregnant women tested found sero positive for Syphilis,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,NA,0,NA,0,0,0
M1 [Ante Natal Care (ANC)],1.6.2.c,Number of syphilis positive pregnant women treated for Syphilis,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,NA,0,NA,0,0,0
M1 [Ante Natal Care (ANC)],1.6.2.d,Number of babies diagnosed with Congenital Syphilis,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,0,0,NA,0,NA,0,0,0
M1 [Ante Natal Care (ANC)],1.6.2.e,Number of babies treated for congenital Syphilis,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,0,0,NA,0,NA,0,0,0
M2 [Deliveries],2.1.1.a,Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM),TOTAL,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.1.1.b,Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),TOTAL,72,72,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,23,NA,23,NA,NA,NA,NA,NA,NA,15,15,NA,15,NA,34,34,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.1.2,Number of PW given Tablet Misoprostol during home delivery,TOTAL,3,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.1.3,Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,TOTAL,44,44,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,NA,13,NA,NA,NA,NA,NA,NA,14,14,NA,14,NA,17,17,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.2,Number of Institutional Deliveries conducted (Including C-Sections),TOTAL,1208,682,526,406,802,236,236,NA,NA,236,NA,NA,NA,NA,NA,446,446,NA,0,446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,22,22,NA,504,NA,504,384,120
M2 [Deliveries],2.2.1,Out of total institutional deliveries number of women discharged within 48 hours of delivery,TOTAL,457,253,204,163,294,97,97,NA,NA,97,NA,NA,NA,NA,NA,156,156,NA,0,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,22,22,NA,182,NA,182,141,41
M2 [Deliveries],2.2.2,Number of newborns received 6 HBNC  visits after Institutional Delivery,TOTAL,745,716,29,745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390,390,NA,390,NA,NA,NA,NA,NA,NA,32,32,NA,32,NA,294,294,NA,294,NA,0,NA,0,0,NA,29,NA,29,29,NA
M3 [Number of Caesarean (C-Section) deliveries],3.1,Total C -Section deliveries performed,TOTAL,445,200,245,166,279,143,143,NA,NA,143,NA,NA,NA,NA,NA,57,57,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,12,12,NA,233,NA,233,154,79
M3 [Number of Caesarean (C-Section) deliveries],3.1.1,"C-sections, performed at night (8 PM- 8 AM)",TOTAL,128,86,42,36,92,59,59,NA,NA,59,NA,NA,NA,NA,NA,27,27,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,7,7,NA,35,NA,35,29,6
M4 [Pregnancy outcome & details of new-born],4.1.1.a,Live Birth - Male,TOTAL,673,394,279,242,431,125,125,NA,NA,125,NA,NA,NA,NA,NA,247,247,NA,12,235,NA,NA,NA,NA,NA,8,8,NA,8,NA,14,14,NA,14,NA,12,NA,12,12,NA,267,NA,267,196,71
M4 [Pregnancy outcome & details of new-born],4.1.1.b,Live Birth - Female,TOTAL,609,359,250,234,375,114,114,NA,NA,114,NA,NA,NA,NA,NA,218,218,NA,10,208,NA,NA,NA,NA,NA,7,7,NA,7,NA,20,20,NA,20,NA,11,NA,11,11,NA,239,NA,239,186,53
M4 [Pregnancy outcome & details of new-born],4.1.2,Number of Pre term newborns ( < 37 weeks of pregnancy),TOTAL,92,67,25,9,83,36,36,NA,NA,36,NA,NA,NA,NA,NA,28,28,NA,0,28,NA,NA,NA,NA,NA,3,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,25,6,19
M4 [Pregnancy outcome & details of new-born],4.1.3,Still Birth,TOTAL,15,12,3,5,10,7,7,NA,NA,7,NA,NA,NA,NA,NA,4,4,NA,1,3,NA,NA,NA,NA,NA,0,0,NA,0,NA,1,1,NA,1,NA,0,NA,0,0,NA,3,NA,3,3,0
M4 [Pregnancy outcome & details of new-born],4.2,Abortion (spontaneous),TOTAL,72,14,58,44,28,1,1,NA,NA,1,NA,NA,NA,NA,NA,13,13,NA,0,13,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,58,NA,58,44,14
M4 [Pregnancy outcome & details of new-born],4.3.1.a,MTP up to 12 weeks of pregnancy,TOTAL,129,30,99,89,40,29,29,NA,NA,29,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,99,NA,99,89,10
M4 [Pregnancy outcome & details of new-born],4.3.1.b,MTP more than 12 weeks of pregnancy,TOTAL,19,14,5,2,17,13,13,NA,NA,13,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,5,NA,5,2,3
M4 [Pregnancy outcome & details of new-born],4.3.2.a,Post Abortion/ MTP Complications Identified,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M4 [Pregnancy outcome & details of new-born],4.3.2.b,Post Abortion/ MTP Complications Treated,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M4 [Pregnancy outcome & details of new-born],4.3.3,Number of women provided with post abortion/ MTP contraception,TOTAL,38,37,1,1,37,22,22,NA,NA,22,NA,NA,NA,NA,NA,15,15,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,1,NA,1,1,0
M4 [Pregnancy outcome & details of new-born],4.4.1,Number of newborns weighed at birth,TOTAL,1243,751,492,436,807,240,240,NA,NA,240,NA,NA,NA,NA,NA,465,465,NA,22,443,NA,NA,NA,NA,NA,15,15,NA,15,NA,31,31,NA,31,NA,23,NA,23,23,NA,469,NA,469,345,124
M4 [Pregnancy outcome & details of new-born],4.4.2,Number of newborns having weight less than 2.5 kg,TOTAL,242,179,63,47,195,76,76,NA,NA,76,NA,NA,NA,NA,NA,98,98,NA,1,97,NA,NA,NA,NA,NA,3,3,NA,3,NA,2,2,NA,2,NA,0,NA,0,0,NA,63,NA,63,41,22
M4 [Pregnancy outcome & details of new-born],4.4.3,Number of Newborns breast fed within 1 hour of birth ,TOTAL,979,714,265,287,692,230,230,NA,NA,230,NA,NA,NA,NA,NA,435,435,NA,22,413,NA,NA,NA,NA,NA,15,15,NA,15,NA,34,34,NA,34,NA,23,NA,23,23,NA,242,NA,242,193,49
M5 [Complicated Pregnancies],5.1,"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",TOTAL,293,293,0,0,293,196,196,NA,NA,196,NA,NA,NA,NA,NA,93,93,NA,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,4,0,NA,0,0,NA,0,NA,0,0,0
M5 [Complicated Pregnancies],5.2,Number of Complicated pregnancies treated with Blood Transfusion,TOTAL,25,22,3,3,22,3,3,NA,NA,3,NA,NA,NA,NA,NA,19,19,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,3,NA,3,3,0
M6 [Post Natal Care (PNC)],6.1,Women receiving 1st post partum checkup within 48 hours of home delivery,TOTAL,48,48,0,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,16,NA,16,NA,NA,NA,NA,NA,NA,11,11,NA,11,NA,21,21,NA,21,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M6 [Post Natal Care (PNC)],6.2,Women receiving 1st post partum checkup between 48 hours and 14 days,TOTAL,473,254,219,229,244,185,185,NA,NA,185,NA,NA,NA,NA,NA,59,59,NA,0,59,NA,NA,NA,NA,NA,4,4,NA,4,NA,6,6,NA,6,NA,22,NA,22,22,NA,197,NA,197,197,0
M6 [Post Natal Care (PNC)],6.3,Number of mothers provided full course of 180 IFA tablets after delivery,TOTAL,334,136,198,334,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,8,NA,2,2,NA,2,NA,15,15,NA,15,NA,111,111,NA,111,NA,22,NA,22,22,NA,176,NA,176,176,0
M6 [Post Natal Care (PNC)],6.4,Number of mothers provided 360 Calcium tablets after delivery,TOTAL,326,114,212,326,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,2,2,NA,2,NA,15,15,NA,15,NA,97,97,NA,97,NA,22,NA,22,22,NA,190,NA,190,190,0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.1,New RTI/STI cases identified - Male,TOTAL,223,223,0,51,172,0,0,NA,NA,0,8,8,NA,8,NA,14,14,NA,14,NA,NA,NA,NA,NA,NA,5,5,NA,5,NA,196,196,NA,24,172,0,NA,0,0,NA,0,NA,0,0,0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.2,New RTI/STI cases identified - Female,TOTAL,402,400,2,167,235,9,9,NA,NA,9,8,8,NA,8,NA,67,67,NA,67,NA,NA,NA,NA,NA,NA,15,15,NA,15,NA,301,301,NA,75,226,0,NA,0,0,NA,2,NA,2,2,0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.1,RTI/STI for which treatment initiated - Male,TOTAL,220,220,0,48,172,0,0,NA,NA,0,6,6,NA,6,NA,14,14,NA,14,NA,NA,NA,NA,NA,NA,5,5,NA,5,NA,195,195,NA,23,172,0,NA,0,0,NA,0,NA,0,0,0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.2,RTI/STI for which treatment initiated -Female,TOTAL,399,397,2,164,235,9,9,NA,NA,9,6,6,NA,6,NA,67,67,NA,67,NA,NA,NA,NA,NA,NA,15,15,NA,15,NA,300,300,NA,74,226,0,NA,0,0,NA,2,NA,2,2,0
M8 [Family Planning],8.1.1,Number of Non Scalpel Vasectomy (NSV) / Conventional Vasectomy conducted,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M8 [Family Planning],8.2.1,Number of Laparoscopic sterilizations (excluding post abortion) conducted,TOTAL,7,7,0,0,7,7,7,NA,NA,7,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M8 [Family Planning],8.2.2,Number of Interval Mini-lap (other than post-partum and post abortion) sterilizations conducted,TOTAL,3,3,0,0,3,0,0,NA,NA,0,NA,NA,NA,NA,NA,3,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M8 [Family Planning],8.2.3,Number of Postpartum sterilizations (within 7 days of delivery by minilap or concurrent with caesarean section) conducted,TOTAL,13,10,3,0,13,9,9,NA,NA,9,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,3,NA,3,0,3
M8 [Family Planning],8.2.4,Number of Post Abortion sterilizations (within 7 days of spontaneous or surgical abortion) conducted,TOTAL,10,10,0,0,10,9,9,NA,NA,9,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M8 [Family Planning],8.3,Number of Interval IUCD Insertions (excluding PPIUCD and PAIUCD),TOTAL,167,145,22,86,81,17,17,NA,NA,17,NA,NA,NA,NA,NA,63,63,NA,52,11,0,0,NA,0,NA,2,2,NA,2,NA,63,63,NA,24,39,0,NA,0,0,NA,22,NA,22,8,14
M8 [Family Planning],8.4,Number of Postpartum (within 48 hours of delivery) IUCD insertions,TOTAL,74,74,0,0,74,57,57,NA,NA,57,NA,NA,NA,NA,NA,17,17,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,0,0
M8 [Family Planning],8.5,Number of Post Abortion (within 12 days of spontaneous or surgical abortion) IUCD insertions,TOTAL,18,18,0,0,18,16,16,NA,NA,16,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,1,0,NA,0,0,NA,0,NA,0,0,0
M8 [Family Planning],8.6,Number of IUCD Removals,TOTAL,73,64,9,22,51,16,16,NA,NA,16,NA,NA,NA,NA,NA,22,22,NA,12,10,0,0,NA,0,NA,NA,NA,NA,NA,NA,26,26,NA,3,23,0,NA,0,0,NA,9,NA,9,7,2
M8 [Family Planning],8.7,Number of complications following IUCD Insertion,TOTAL,1,0,1,1,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,NA,1,NA,1,1,0
M8 [Family Planning],8.8,Injectable Contraceptive-Antara Program- First Dose,TOTAL,48,47,1,29,19,5,5,NA,NA,5,NA,NA,NA,NA,NA,25,25,NA,20,5,0,0,NA,0,NA,2,2,NA,2,NA,15,15,NA,6,9,0,NA,0,0,NA,1,NA,1,1,0
M8 [Family Planning],8.9,Injectable Contraceptive-Antara Program- Second Dose,TOTAL,58,57,1,42,16,3,3,NA,NA,3,1,1,NA,1,NA,40,40,NA,39,1,0,0,NA,0,NA,0,0,NA,0,NA,13,13,NA,1,12,0,NA,0,0,NA,1,NA,1,1,0
M8 [Family Planning],8.1,Injectable Contraceptive-Antara Program- Third Dose,TOTAL,22,22,0,18,4,1,1,NA,NA,1,NA,NA,NA,NA,NA,16,16,NA,16,0,0,0,NA,0,NA,1,1,NA,1,NA,4,4,NA,1,3,0,NA,0,0,NA,0,NA,0,0,0
M8 [Family Planning],8.11,Injectable Contraceptive-Antara Program- Fourth or more than fourth,TOTAL,32,32,0,13,19,0,0,NA,NA,0,NA,NA,NA,NA,NA,11,11,NA,11,0,0,0,NA,0,NA,1,1,NA,1,NA,20,20,NA,1,19,0,NA,0,0,NA,0,NA,0,0,0
