Indicator,S.No.,Parameters,Type,SubDistrict - _South - Total [(A+B) or (C+D)],SubDistrict - _South - Public [A],SubDistrict - _South - Private [B],SubDistrict - _South - Urban [C],SubDistrict - _South - Rural [D],SubDistrict - Autonomous - Total [(A+B) or (C+D)],SubDistrict - Autonomous - Public [A],SubDistrict - Autonomous - Private [B],SubDistrict - Autonomous - Urban [C],SubDistrict - Autonomous - Rural [D],SubDistrict - CGHS - Total [(A+B) or (C+D)],SubDistrict - CGHS - Public [A],SubDistrict - CGHS - Private [B],SubDistrict - CGHS - Urban [C],SubDistrict - CGHS - Rural [D],SubDistrict - Delhi Govt - Total [(A+B) or (C+D)],SubDistrict - Delhi Govt - Public [A],SubDistrict - Delhi Govt - Private [B],SubDistrict - Delhi Govt - Urban [C],SubDistrict - Delhi Govt - Rural [D],SubDistrict - ESI - Total [(A+B) or (C+D)],SubDistrict - ESI - Public [A],SubDistrict - ESI - Private [B],SubDistrict - ESI - Urban [C],SubDistrict - ESI - Rural [D],SubDistrict - IPP VIII-MCD - Total [(A+B) or (C+D)],SubDistrict - IPP VIII-MCD - Public [A],SubDistrict - IPP VIII-MCD - Private [B],SubDistrict - IPP VIII-MCD - Urban [C],SubDistrict - IPP VIII-MCD - Rural [D],SubDistrict - MCW Centres MCD - Total [(A+B) or (C+D)],SubDistrict - MCW Centres MCD - Public [A],SubDistrict - MCW Centres MCD - Private [B],SubDistrict - MCW Centres MCD - Urban [C],SubDistrict - MCW Centres MCD - Rural [D],SubDistrict - Private - Total [(A+B) or (C+D)],SubDistrict - Private - Public [A],SubDistrict - Private - Private [B],SubDistrict - Private - Urban [C],SubDistrict - Private - Rural [D]
M1 [Ante Natal Care (ANC)],1.3.1,New cases of PW with hypertension detected,TOTAL,140,107,33,25,115,22,22,NA,NA,22,NA,NA,NA,NA,NA,84,84,NA,0,84,0,0,NA,0,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,33,NA,33,24,9
M1 [Ante Natal Care (ANC)],1.3.1.a,"Out of the new cases of PW with hypertension detected, cases managed at institution",TOTAL,79,59,20,20,59,0,0,NA,NA,0,NA,NA,NA,NA,NA,59,59,NA,0,59,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,20,NA,20,20,0
M1 [Ante Natal Care (ANC)],1.3.2,Number of Eclampsia cases managed during delivery,TOTAL,3,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,2,NA,2,2,0
M1 [Ante Natal Care (ANC)],1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,TOTAL,1437,1193,244,273,1164,180,180,NA,NA,180,NA,NA,NA,NA,NA,981,981,NA,10,971,7,7,NA,7,NA,12,12,NA,12,NA,13,13,NA,0,13,244,NA,244,244,0
M1 [Ante Natal Care (ANC)],1.4.2,Number of PW having Hb level<11 (tested cases)(7.1 to 10.9),TOTAL,899,734,165,556,343,37,37,NA,NA,37,NA,NA,NA,NA,NA,402,402,NA,334,68,5,5,NA,5,NA,25,25,NA,25,NA,265,265,NA,27,238,165,NA,165,165,0
M1 [Ante Natal Care (ANC)],1.4.3,Number of PW having Hb level<7 (tested cases),TOTAL,51,44,7,24,27,0,0,NA,NA,0,NA,NA,NA,NA,NA,40,40,NA,17,23,0,0,NA,0,NA,0,0,NA,0,NA,4,4,NA,0,4,7,NA,7,7,0
M1 [Ante Natal Care (ANC)],1.4.4,Number of PW having severe anaemia (Hb<7) treated,TOTAL,25,22,3,5,20,0,0,NA,NA,0,NA,NA,NA,NA,NA,22,22,NA,2,20,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,3,NA,3,3,0
M1 [Ante Natal Care (ANC)],1.5.1,Number of PW tested for blood sugar using OGTT (Oral Glucose Tolerance Test),TOTAL,1536,1226,310,345,1191,180,180,NA,NA,180,NA,NA,NA,NA,NA,1006,1006,NA,35,971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,40,NA,NA,40,310,NA,310,310,0
M1 [Ante Natal Care (ANC)],1.5.2,Number of PW tested positive for GDM,TOTAL,69,47,22,15,54,41,41,NA,NA,41,NA,NA,NA,NA,NA,2,2,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,4,22,NA,22,13,9
M1 [Ante Natal Care (ANC)],1.5.3,Number of PW given insulin out of total tested positive for GDM,TOTAL,16,6,10,8,8,6,6,NA,NA,6,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,10,8,2
M1 [Ante Natal Care (ANC)],1.6.1.a,Number of PW tested using POC test for Syphilis,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.1.b,"Out of above, number of PW found sero positive for syphilis",TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.2.a,Number of pregnant women tested for Syphilis,TOTAL,669,611,58,367,302,180,180,NA,NA,180,NA,NA,NA,NA,NA,240,240,NA,240,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191,191,NA,69,122,58,NA,58,58,0
M1 [Ante Natal Care (ANC)],1.6.2.b,Number of pregnant women tested found sero positive for Syphilis,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,0
M1 [Ante Natal Care (ANC)],1.6.2.c,Number of syphilis positive pregnant women treated for Syphilis,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,0
M1 [Ante Natal Care (ANC)],1.6.2.d,Number of babies diagnosed with Congenital Syphilis,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,0
M1 [Ante Natal Care (ANC)],1.6.2.e,Number of babies treated for congenital Syphilis,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,0
M2 [Deliveries],2.1.1.a,Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM),TOTAL,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.1.1.b,Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),TOTAL,51,51,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,26,NA,26,NA,NA,NA,NA,NA,NA,6,6,NA,6,NA,19,19,NA,19,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.1.2,Number of PW given Tablet Misoprostol during home delivery,TOTAL,6,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,6,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.1.3,Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,TOTAL,40,40,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,NA,12,NA,NA,NA,NA,NA,NA,8,8,NA,8,NA,20,20,NA,20,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.2,Number of Institutional Deliveries conducted (Including C-Sections),TOTAL,790,414,376,273,517,180,180,NA,NA,180,NA,NA,NA,NA,NA,234,234,NA,NA,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,376,NA,376,273,103
M2 [Deliveries],2.2.1,Out of total institutional deliveries number of women discharged within 48 hours of delivery,TOTAL,337,199,138,103,234,75,75,NA,NA,75,NA,NA,NA,NA,NA,124,124,NA,NA,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,138,NA,138,103,35
M2 [Deliveries],2.2.2,Number of newborns received 6 HBNC  visits after Institutional Delivery,TOTAL,595,580,15,595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282,282,NA,282,NA,NA,NA,NA,NA,NA,30,30,NA,30,NA,268,268,NA,268,NA,15,NA,15,15,NA
M3 [Number of Caesarean (C-Section) deliveries],3.1,Total C -Section deliveries performed,TOTAL,315,132,183,115,200,105,105,NA,NA,105,NA,NA,NA,NA,NA,27,27,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183,NA,183,115,68
M3 [Number of Caesarean (C-Section) deliveries],3.1.1,"C-sections, performed at night (8 PM- 8 AM)",TOTAL,88,48,40,30,58,43,43,NA,NA,43,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,40,30,10
M4 [Pregnancy outcome & details of new-born],4.1.1.a,Live Birth - Male,TOTAL,459,254,205,171,288,98,98,NA,NA,98,NA,NA,NA,NA,NA,143,143,NA,17,126,NA,NA,NA,NA,NA,1,1,NA,1,NA,12,12,NA,12,NA,205,NA,205,141,64
M4 [Pregnancy outcome & details of new-born],4.1.1.b,Live Birth - Female,TOTAL,395,214,181,159,236,84,84,NA,NA,84,NA,NA,NA,NA,NA,118,118,NA,10,108,NA,NA,NA,NA,NA,5,5,NA,5,NA,7,7,NA,7,NA,181,NA,181,137,44
M4 [Pregnancy outcome & details of new-born],4.1.2,Number of Pre term newborns ( < 37 weeks of pregnancy),TOTAL,89,51,38,16,73,32,32,NA,NA,32,NA,NA,NA,NA,NA,19,19,NA,NA,19,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,38,NA,38,16,22
M4 [Pregnancy outcome & details of new-born],4.1.3,Still Birth,TOTAL,6,5,1,1,5,5,5,NA,NA,5,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,1,NA,1,1,0
M4 [Pregnancy outcome & details of new-born],4.2,Abortion (spontaneous),TOTAL,70,32,38,40,30,4,4,NA,NA,4,NA,NA,NA,NA,NA,21,21,NA,NA,21,NA,NA,NA,NA,NA,7,7,NA,7,NA,NA,NA,NA,NA,NA,38,NA,38,33,5
M4 [Pregnancy outcome & details of new-born],4.3.1.a,MTP up to 12 weeks of pregnancy,TOTAL,177,44,133,113,64,40,40,NA,NA,40,NA,NA,NA,NA,NA,4,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,NA,133,113,20
M4 [Pregnancy outcome & details of new-born],4.3.1.b,MTP more than 12 weeks of pregnancy,TOTAL,40,18,22,19,21,18,18,NA,NA,18,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,22,19,3
M4 [Pregnancy outcome & details of new-born],4.3.2.a,Post Abortion/ MTP Complications Identified,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M4 [Pregnancy outcome & details of new-born],4.3.2.b,Post Abortion/ MTP Complications Treated,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M4 [Pregnancy outcome & details of new-born],4.3.3,Number of women provided with post abortion/ MTP contraception,TOTAL,55,46,9,9,46,21,21,NA,NA,21,NA,NA,NA,NA,NA,25,25,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,9,9,0
M4 [Pregnancy outcome & details of new-born],4.4.1,Number of newborns weighed at birth,TOTAL,817,463,354,297,520,182,182,NA,NA,182,NA,NA,NA,NA,NA,256,256,NA,26,230,NA,NA,NA,NA,NA,6,6,NA,6,NA,19,19,NA,19,NA,354,NA,354,246,108
M4 [Pregnancy outcome & details of new-born],4.4.2,Number of newborns having weight less than 2.5 kg,TOTAL,153,104,49,28,125,56,56,NA,NA,56,NA,NA,NA,NA,NA,48,48,NA,0,48,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,49,NA,49,28,21
M4 [Pregnancy outcome & details of new-born],4.4.3,Number of Newborns breast fed within 1 hour of birth ,TOTAL,572,393,179,197,375,131,131,NA,NA,131,NA,NA,NA,NA,NA,237,237,NA,27,210,NA,NA,NA,NA,NA,6,6,NA,6,NA,19,19,NA,19,NA,179,NA,179,145,34
M5 [Complicated Pregnancies],5.1,"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",TOTAL,265,257,8,8,257,180,180,NA,NA,180,NA,NA,NA,NA,NA,77,77,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,8,8,0
M5 [Complicated Pregnancies],5.2,Number of Complicated pregnancies treated with Blood Transfusion,TOTAL,23,22,1,1,22,2,2,NA,NA,2,NA,NA,NA,NA,NA,20,20,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,0
M6 [Post Natal Care (PNC)],6.1,Women receiving 1st post partum checkup within 48 hours of home delivery,TOTAL,44,44,0,44,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,26,NA,26,0,NA,NA,NA,NA,NA,6,6,NA,6,NA,12,12,NA,12,NA,0,NA,0,0,0
M6 [Post Natal Care (PNC)],6.2,Women receiving 1st post partum checkup between 48 hours and 14 days,TOTAL,342,195,147,115,227,162,162,NA,NA,162,NA,NA,NA,NA,NA,31,31,NA,NA,31,NA,NA,NA,NA,NA,0,0,NA,0,NA,2,2,NA,2,NA,147,NA,147,113,34
M6 [Post Natal Care (PNC)],6.3,Number of mothers provided full course of 180 IFA tablets after delivery,TOTAL,579,404,175,345,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,250,NA,16,234,NA,NA,NA,NA,NA,43,43,NA,43,NA,111,111,NA,111,NA,175,NA,175,175,0
M6 [Post Natal Care (PNC)],6.4,Number of mothers provided 360 Calcium tablets after delivery,TOTAL,579,404,175,345,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,250,NA,16,234,NA,NA,NA,NA,NA,43,43,NA,43,NA,111,111,NA,111,NA,175,NA,175,175,0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.1,New RTI/STI cases identified - Male,TOTAL,102,100,2,54,48,0,0,NA,NA,0,2,2,NA,2,NA,16,16,NA,16,NA,NA,NA,NA,NA,NA,8,8,NA,8,NA,74,74,NA,26,48,2,NA,2,2,0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.2,New RTI/STI cases identified - Female,TOTAL,345,340,5,195,150,13,13,NA,NA,13,6,6,NA,6,NA,61,61,NA,61,NA,NA,NA,NA,NA,NA,26,26,NA,26,NA,234,234,NA,97,137,5,NA,5,5,0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.1,RTI/STI for which treatment initiated - Male,TOTAL,99,97,2,51,48,0,0,NA,NA,0,NA,NA,NA,NA,NA,16,16,NA,16,NA,NA,NA,NA,NA,NA,8,8,NA,8,NA,73,73,NA,25,48,2,NA,2,2,0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.2,RTI/STI for which treatment initiated -Female,TOTAL,342,337,5,192,150,13,13,NA,NA,13,4,4,NA,4,NA,61,61,NA,61,NA,NA,NA,NA,NA,NA,26,26,NA,26,NA,233,233,NA,96,137,5,NA,5,5,0
M8 [Family Planning],8.1.1,Number of Non Scalpel Vasectomy (NSV) / Conventional Vasectomy conducted,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0
M8 [Family Planning],8.2.1,Number of Laparoscopic sterilizations (excluding post abortion) conducted,TOTAL,13,12,1,1,12,12,12,NA,NA,12,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,0
M8 [Family Planning],8.2.2,Number of Interval Mini-lap (other than post-partum and post abortion) sterilizations conducted,TOTAL,3,3,0,0,3,1,1,NA,NA,1,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M8 [Family Planning],8.2.3,Number of Postpartum sterilizations (within 7 days of delivery by minilap or concurrent with caesarean section) conducted,TOTAL,12,5,7,1,11,5,5,NA,NA,5,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,7,1,6
M8 [Family Planning],8.2.4,Number of Post Abortion sterilizations (within 7 days of spontaneous or surgical abortion) conducted,TOTAL,20,20,0,0,20,20,20,NA,NA,20,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M8 [Family Planning],8.3,Number of Interval IUCD Insertions (excluding PPIUCD and PAIUCD),TOTAL,192,160,32,85,107,19,19,NA,NA,19,NA,NA,NA,NA,NA,59,59,NA,43,16,0,0,NA,0,NA,0,0,NA,0,NA,82,82,NA,31,51,32,NA,32,11,21
M8 [Family Planning],8.4,Number of Postpartum (within 48 hours of delivery) IUCD insertions,TOTAL,73,73,0,0,73,52,52,NA,NA,52,NA,NA,NA,NA,NA,21,21,NA,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0
M8 [Family Planning],8.5,Number of Post Abortion (within 12 days of spontaneous or surgical abortion) IUCD insertions,TOTAL,25,25,0,0,25,20,20,NA,NA,20,NA,NA,NA,NA,NA,5,5,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0
M8 [Family Planning],8.6,Number of IUCD Removals,TOTAL,96,80,16,47,49,21,21,NA,NA,21,NA,NA,NA,NA,NA,35,35,NA,22,13,0,0,NA,0,NA,0,0,NA,0,NA,24,24,NA,12,12,16,NA,16,13,3
M8 [Family Planning],8.7,Number of complications following IUCD Insertion,TOTAL,3,2,1,3,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,2,2,NA,2,NA,1,NA,1,1,0
M8 [Family Planning],8.8,Injectable Contraceptive-Antara Program- First Dose,TOTAL,97,96,1,66,31,9,9,NA,NA,9,1,1,NA,1,NA,56,56,NA,45,11,1,1,NA,1,NA,9,9,NA,9,NA,20,20,NA,9,11,1,NA,1,1,0
M8 [Family Planning],8.9,Injectable Contraceptive-Antara Program- Second Dose,TOTAL,31,31,0,15,16,1,1,NA,NA,1,NA,NA,NA,NA,NA,13,13,NA,13,0,0,0,NA,0,NA,2,2,NA,2,NA,15,15,NA,0,15,0,NA,0,0,0
M8 [Family Planning],8.1,Injectable Contraceptive-Antara Program- Third Dose,TOTAL,26,26,0,10,16,1,1,NA,NA,1,NA,NA,NA,NA,NA,7,7,NA,7,0,0,0,NA,0,NA,2,2,NA,2,NA,16,16,NA,1,15,0,NA,0,0,0
M8 [Family Planning],8.11,Injectable Contraceptive-Antara Program- Fourth or more than fourth,TOTAL,19,19,0,12,7,0,0,NA,NA,0,NA,NA,NA,NA,NA,12,12,NA,12,0,0,0,NA,0,NA,0,0,NA,0,NA,7,7,NA,0,7,0,NA,0,0,0
M8 [Family Planning],8.12,Number of Combined Oral Pill cycles distributed,TOTAL,970,945,25,758,212,75,75,NA,NA,75,3,3,NA,3,NA,394,394,NA,328,66,4,4,NA,4,NA,107,107,NA,107,NA,362,362,NA,291,71,25,NA,25,25,0
M8 [Family Planning],8.13,Number of Condom pieces distributed,TOTAL,49108,49079,29,37728,11380,6400,6400,NA,NA,6400,1540,1540,NA,1540,NA,20660,20660,NA,18660,2000,800,800,NA,800,NA,3236,3236,NA,3236,NA,16443,16443,NA,13463,2980,29,NA,29,29,0
M8 [Family Planning],8.14,Number of Centchroman (weekly) pill strips distributed,TOTAL,287,287,0,226,61,0,0,NA,NA,0,2,2,NA,2,NA,160,160,NA,120,40,1,1,NA,1,NA,53,53,NA,53,NA,71,71,NA,50,21,0,NA,0,0,0
M8 [Family Planning],8.15,Number of Emergency Contraceptive Pills (ECP) given,TOTAL,277,273,4,210,67,0,0,NA,NA,0,NA,NA,NA,NA,NA,141,141,NA,101,40,0,0,NA,0,NA,33,33,NA,33,NA,99,99,NA,72,27,4,NA,4,4,0
M8 [Family Planning],8.16,Number of Pregnancy Test Kits (PTK) used,TOTAL,1537,1446,91,1416,121,0,0,NA,NA,0,NA,NA,NA,NA,NA,813,813,NA,813,0,NA,NA,NA,NA,NA,72,72,NA,72,NA,561,561,NA,440,121,91,NA,91,91,0
M8 [Family Planning],8.17.1,Complications following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M8 [Family Planning],8.17.2,Complications following female sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M8 [Family Planning],8.17.3,Failures following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
