Indicator,S.No.,Parameters,Type,SubDistrict - _South - Total [(A+B) or (C+D)],SubDistrict - _South - Public [A],SubDistrict - _South - Private [B],SubDistrict - _South - Urban [C],SubDistrict - _South - Rural [D],SubDistrict - Autonomous - Total [(A+B) or (C+D)],SubDistrict - Autonomous - Public [A],SubDistrict - Autonomous - Private [B],SubDistrict - Autonomous - Urban [C],SubDistrict - Autonomous - Rural [D],SubDistrict - CGHS - Total [(A+B) or (C+D)],SubDistrict - CGHS - Public [A],SubDistrict - CGHS - Private [B],SubDistrict - CGHS - Urban [C],SubDistrict - CGHS - Rural [D],SubDistrict - Delhi Govt - Total [(A+B) or (C+D)],SubDistrict - Delhi Govt - Public [A],SubDistrict - Delhi Govt - Private [B],SubDistrict - Delhi Govt - Urban [C],SubDistrict - Delhi Govt - Rural [D],SubDistrict - ESI - Total [(A+B) or (C+D)],SubDistrict - ESI - Public [A],SubDistrict - ESI - Private [B],SubDistrict - ESI - Urban [C],SubDistrict - ESI - Rural [D],SubDistrict - IPP VIII-MCD - Total [(A+B) or (C+D)],SubDistrict - IPP VIII-MCD - Public [A],SubDistrict - IPP VIII-MCD - Private [B],SubDistrict - IPP VIII-MCD - Urban [C],SubDistrict - IPP VIII-MCD - Rural [D],SubDistrict - MCW Centres MCD - Total [(A+B) or (C+D)],SubDistrict - MCW Centres MCD - Public [A],SubDistrict - MCW Centres MCD - Private [B],SubDistrict - MCW Centres MCD - Urban [C],SubDistrict - MCW Centres MCD - Rural [D],SubDistrict - Private - Total [(A+B) or (C+D)],SubDistrict - Private - Public [A],SubDistrict - Private - Private [B],SubDistrict - Private - Urban [C],SubDistrict - Private - Rural [D]
M1 [Ante Natal Care (ANC)],1.3.1,New cases of PW with hypertension detected,TOTAL,163,141,22,26,137,37,37,NA,NA,37,NA,NA,NA,NA,NA,100,100,NA,0,100,1,1,NA,1,NA,NA,NA,NA,NA,NA,3,3,NA,3,NA,22,NA,22,22,0
M1 [Ante Natal Care (ANC)],1.3.1.a,"Out of the new cases of PW with hypertension detected, cases managed at institution",TOTAL,91,70,21,21,70,0,0,NA,NA,0,NA,NA,NA,NA,NA,69,69,NA,0,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,1,21,NA,21,21,0
M1 [Ante Natal Care (ANC)],1.3.2,Number of Eclampsia cases managed during delivery,TOTAL,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,1,NA,1,1,0
M1 [Ante Natal Care (ANC)],1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,TOTAL,1259,974,285,328,931,230,230,NA,NA,230,NA,NA,NA,NA,NA,696,696,NA,18,678,8,8,NA,8,NA,17,17,NA,17,NA,23,23,NA,0,23,285,NA,285,285,0
M1 [Ante Natal Care (ANC)],1.4.2,Number of PW having Hb level<11 (tested cases)(7.1 to 10.9),TOTAL,835,654,181,513,322,78,78,NA,NA,78,NA,NA,NA,NA,NA,321,321,NA,283,38,16,16,NA,16,NA,7,7,NA,7,NA,232,232,NA,26,206,181,NA,181,181,0
M1 [Ante Natal Care (ANC)],1.4.3,Number of PW having Hb level<7 (tested cases),TOTAL,27,16,11,15,12,1,1,NA,NA,1,NA,NA,NA,NA,NA,15,15,NA,4,11,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,11,NA,11,11,0
M1 [Ante Natal Care (ANC)],1.4.4,Number of PW having severe anaemia (Hb<7) treated,TOTAL,15,12,3,5,10,1,1,NA,NA,1,NA,NA,NA,NA,NA,11,11,NA,2,9,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,3,NA,3,3,0
M1 [Ante Natal Care (ANC)],1.5.1,Number of PW tested for blood sugar using OGTT (Oral Glucose Tolerance Test),TOTAL,1465,927,538,557,908,230,230,NA,NA,230,NA,NA,NA,NA,NA,697,697,NA,19,678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,538,NA,538,538,0
M1 [Ante Natal Care (ANC)],1.5.2,Number of PW tested positive for GDM,TOTAL,57,36,21,21,36,36,36,NA,NA,36,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,21,NA,21,21,0
M1 [Ante Natal Care (ANC)],1.5.3,Number of PW given insulin out of total tested positive for GDM,TOTAL,17,11,6,6,11,11,11,NA,NA,11,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,6,6,0
M1 [Ante Natal Care (ANC)],1.6.1.a,Number of PW tested using POC test for Syphilis,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.1.b,"Out of above, number of PW found sero positive for syphilis",TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.2.a,Number of pregnant women tested for Syphilis,TOTAL,1126,1047,79,132,994,230,230,NA,NA,230,NA,NA,NA,NA,NA,731,731,NA,53,678,0,0,NA,0,NA,NA,NA,NA,NA,NA,86,86,NA,0,86,79,NA,79,79,0
M1 [Ante Natal Care (ANC)],1.6.2.b,Number of pregnant women tested found sero positive for Syphilis,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,0
M1 [Ante Natal Care (ANC)],1.6.2.c,Number of syphilis positive pregnant women treated for Syphilis,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,0
M1 [Ante Natal Care (ANC)],1.6.2.d,Number of babies diagnosed with Congenital Syphilis,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,0,0,0
M1 [Ante Natal Care (ANC)],1.6.2.e,Number of babies treated for congenital Syphilis,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,0,0,0
M2 [Deliveries],2.1.1.a,Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM),TOTAL,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.1.1.b,Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),TOTAL,107,107,NA,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,33,NA,33,NA,NA,NA,NA,NA,NA,31,31,NA,31,NA,43,43,NA,43,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.1.2,Number of PW given Tablet Misoprostol during home delivery,TOTAL,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.1.3,Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,TOTAL,42,42,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17,NA,17,NA,NA,NA,NA,NA,NA,11,11,NA,11,NA,14,14,NA,14,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.2,Number of Institutional Deliveries conducted (Including C-Sections),TOTAL,1177,698,479,349,828,230,230,NA,NA,230,NA,NA,NA,NA,NA,468,468,NA,0,468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,479,NA,479,349,130
M2 [Deliveries],2.2.1,Out of total institutional deliveries number of women discharged within 48 hours of delivery,TOTAL,469,293,176,117,352,107,107,NA,NA,107,NA,NA,NA,NA,NA,186,186,NA,0,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,NA,176,117,59
M2 [Deliveries],2.2.2,Number of newborns received 6 HBNC  visits after Institutional Delivery,TOTAL,647,628,19,647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,330,NA,330,NA,NA,NA,NA,NA,NA,31,31,NA,31,NA,267,267,NA,267,NA,19,NA,19,19,NA
M3 [Number of Caesarean (C-Section) deliveries],3.1,Total C -Section deliveries performed,TOTAL,419,189,230,160,259,123,123,NA,NA,123,NA,NA,NA,NA,NA,66,66,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230,NA,230,160,70
M3 [Number of Caesarean (C-Section) deliveries],3.1.1,"C-sections, performed at night (8 PM- 8 AM)",TOTAL,115,69,46,37,78,45,45,NA,NA,45,NA,NA,NA,NA,NA,24,24,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,46,37,9
M4 [Pregnancy outcome & details of new-born],4.1.1.a,Live Birth - Male,TOTAL,701,439,262,243,458,126,126,NA,NA,126,NA,NA,NA,NA,NA,271,271,NA,14,257,NA,NA,NA,NA,NA,21,21,NA,21,NA,21,21,NA,21,NA,262,NA,262,187,75
M4 [Pregnancy outcome & details of new-born],4.1.1.b,Live Birth - Female,TOTAL,616,371,245,242,374,111,111,NA,NA,111,NA,NA,NA,NA,NA,229,229,NA,19,210,NA,NA,NA,NA,NA,10,10,NA,10,NA,21,21,NA,21,NA,245,NA,245,192,53
M4 [Pregnancy outcome & details of new-born],4.1.2,Number of Pre term newborns ( < 37 weeks of pregnancy),TOTAL,105,71,34,17,88,40,40,NA,NA,40,NA,NA,NA,NA,NA,30,30,NA,0,30,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,34,NA,34,16,18
M4 [Pregnancy outcome & details of new-born],4.1.3,Still Birth,TOTAL,12,7,5,1,11,4,4,NA,NA,4,NA,NA,NA,NA,NA,2,2,NA,0,2,NA,NA,NA,NA,NA,0,0,NA,0,NA,1,1,NA,1,NA,5,NA,5,0,5
M4 [Pregnancy outcome & details of new-born],4.2,Abortion (spontaneous),TOTAL,66,31,35,25,41,4,4,NA,NA,4,NA,NA,NA,NA,NA,23,23,NA,0,23,NA,NA,NA,NA,NA,4,4,NA,4,NA,NA,NA,NA,NA,NA,35,NA,35,21,14
M4 [Pregnancy outcome & details of new-born],4.3.1.a,MTP up to 12 weeks of pregnancy,TOTAL,160,30,130,110,50,27,27,NA,NA,27,NA,NA,NA,NA,NA,3,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,NA,130,110,20
M4 [Pregnancy outcome & details of new-born],4.3.1.b,MTP more than 12 weeks of pregnancy,TOTAL,17,9,8,4,13,9,9,NA,NA,9,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,8,4,4
M4 [Pregnancy outcome & details of new-born],4.3.2.a,Post Abortion/ MTP Complications Identified,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M4 [Pregnancy outcome & details of new-born],4.3.2.b,Post Abortion/ MTP Complications Treated,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M4 [Pregnancy outcome & details of new-born],4.3.3,Number of women provided with post abortion/ MTP contraception,TOTAL,54,45,9,9,45,19,19,NA,NA,19,NA,NA,NA,NA,NA,26,26,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,9,9,0
M4 [Pregnancy outcome & details of new-born],4.4.1,Number of newborns weighed at birth,TOTAL,1157,809,348,450,707,237,237,NA,NA,237,NA,NA,NA,NA,NA,500,500,NA,33,467,NA,NA,NA,NA,NA,31,31,NA,31,NA,41,41,NA,41,NA,348,NA,348,345,3
M4 [Pregnancy outcome & details of new-born],4.4.2,Number of newborns having weight less than 2.5 kg,TOTAL,235,182,53,65,170,69,69,NA,NA,69,NA,NA,NA,NA,NA,103,103,NA,2,101,NA,NA,NA,NA,NA,4,4,NA,4,NA,6,6,NA,6,NA,53,NA,53,53,0
M4 [Pregnancy outcome & details of new-born],4.4.3,Number of Newborns breast fed within 1 hour of birth ,TOTAL,872,688,184,289,583,208,208,NA,NA,208,NA,NA,NA,NA,NA,408,408,NA,33,375,NA,NA,NA,NA,NA,31,31,NA,31,NA,41,41,NA,41,NA,184,NA,184,184,0
M5 [Complicated Pregnancies],5.1,"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",TOTAL,224,214,10,10,214,128,128,NA,NA,128,NA,NA,NA,NA,NA,81,81,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,5,10,NA,10,10,0
M5 [Complicated Pregnancies],5.2,Number of Complicated pregnancies treated with Blood Transfusion,TOTAL,12,11,1,1,11,2,2,NA,NA,2,NA,NA,NA,NA,NA,9,9,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,0
M6 [Post Natal Care (PNC)],6.1,Women receiving 1st post partum checkup within 48 hours of home delivery,TOTAL,83,83,0,83,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,31,NA,31,0,NA,NA,NA,NA,NA,28,28,NA,28,NA,24,24,NA,24,NA,0,NA,0,0,0
M6 [Post Natal Care (PNC)],6.2,Women receiving 1st post partum checkup between 48 hours and 14 days,TOTAL,560,297,263,268,292,218,218,NA,NA,218,NA,NA,NA,NA,NA,74,74,NA,0,74,NA,NA,NA,NA,NA,3,3,NA,3,NA,2,2,NA,2,NA,263,NA,263,263,0
M6 [Post Natal Care (PNC)],6.3,Number of mothers provided full course of 180 IFA tablets after delivery,TOTAL,376,124,252,376,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,1,1,NA,1,NA,21,21,NA,21,NA,102,102,NA,102,NA,252,NA,252,252,0
M6 [Post Natal Care (PNC)],6.4,Number of mothers provided 360 Calcium tablets after delivery,TOTAL,358,124,234,358,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,1,1,NA,1,NA,21,21,NA,21,NA,102,102,NA,102,NA,234,NA,234,234,0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.1,New RTI/STI cases identified - Male,TOTAL,111,110,1,39,72,0,0,NA,NA,0,2,2,NA,2,NA,6,6,NA,6,NA,NA,NA,NA,NA,NA,10,10,NA,10,NA,92,92,NA,20,72,1,NA,1,1,0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.2,New RTI/STI cases identified - Female,TOTAL,279,276,3,157,122,9,9,NA,NA,9,3,3,NA,3,NA,57,57,NA,57,NA,NA,NA,NA,NA,NA,22,22,NA,22,NA,185,185,NA,72,113,3,NA,3,3,0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.1,RTI/STI for which treatment initiated - Male,TOTAL,108,107,1,36,72,0,0,NA,NA,0,NA,NA,NA,NA,NA,6,6,NA,6,NA,NA,NA,NA,NA,NA,10,10,NA,10,NA,91,91,NA,19,72,1,NA,1,1,0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.2,RTI/STI for which treatment initiated -Female,TOTAL,276,273,3,154,122,9,9,NA,NA,9,1,1,NA,1,NA,57,57,NA,57,NA,NA,NA,NA,NA,NA,22,22,NA,22,NA,184,184,NA,71,113,3,NA,3,3,0
M8 [Family Planning],8.1.1,Number of Non Scalpel Vasectomy (NSV) / Conventional Vasectomy conducted,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M8 [Family Planning],8.2.1,Number of Laparoscopic sterilizations (excluding post abortion) conducted,TOTAL,15,12,3,1,14,10,10,NA,NA,10,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,1,2
M8 [Family Planning],8.2.2,Number of Interval Mini-lap (other than post-partum and post abortion) sterilizations conducted,TOTAL,2,0,2,2,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2,0
M8 [Family Planning],8.2.3,Number of Postpartum sterilizations (within 7 days of delivery by minilap or concurrent with caesarean section) conducted,TOTAL,9,6,3,2,7,6,6,NA,NA,6,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,2,1
M8 [Family Planning],8.2.4,Number of Post Abortion sterilizations (within 7 days of spontaneous or surgical abortion) conducted,TOTAL,22,21,1,1,21,18,18,NA,NA,18,NA,NA,NA,NA,NA,3,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,0
M8 [Family Planning],8.3,Number of Interval IUCD Insertions (excluding PPIUCD and PAIUCD),TOTAL,185,170,15,114,71,14,14,NA,NA,14,NA,NA,NA,NA,NA,90,90,NA,82,8,0,0,NA,0,NA,1,1,NA,1,NA,65,65,NA,21,44,15,NA,15,10,5
M8 [Family Planning],8.4,Number of Postpartum (within 48 hours of delivery) IUCD insertions,TOTAL,87,87,0,0,87,45,45,NA,NA,45,NA,NA,NA,NA,NA,42,42,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0
M8 [Family Planning],8.5,Number of Post Abortion (within 12 days of spontaneous or surgical abortion) IUCD insertions,TOTAL,11,11,0,0,11,10,10,NA,NA,10,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0
M8 [Family Planning],8.6,Number of IUCD Removals,TOTAL,56,41,15,28,28,7,7,NA,NA,7,NA,NA,NA,NA,NA,16,16,NA,9,7,0,0,NA,0,NA,0,0,NA,0,NA,18,18,NA,7,11,15,NA,15,12,3
M8 [Family Planning],8.7,Number of complications following IUCD Insertion,TOTAL,1,0,1,1,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,1,NA,1,1,0
M8 [Family Planning],8.8,Injectable Contraceptive-Antara Program- First Dose,TOTAL,71,71,0,49,22,5,5,NA,NA,5,0,0,NA,0,NA,41,41,NA,40,1,0,0,NA,0,NA,0,0,NA,0,NA,25,25,NA,9,16,0,NA,0,0,0
M8 [Family Planning],8.9,Injectable Contraceptive-Antara Program- Second Dose,TOTAL,31,31,0,19,12,4,4,NA,NA,4,NA,NA,NA,NA,NA,18,18,NA,17,1,0,0,NA,0,NA,0,0,NA,0,NA,9,9,NA,2,7,0,NA,0,0,0
M8 [Family Planning],8.1,Injectable Contraceptive-Antara Program- Third Dose,TOTAL,14,14,0,11,3,0,0,NA,NA,0,NA,NA,NA,NA,NA,10,10,NA,10,0,0,0,NA,0,NA,0,0,NA,0,NA,4,4,NA,1,3,0,NA,0,0,0
M8 [Family Planning],8.11,Injectable Contraceptive-Antara Program- Fourth or more than fourth,TOTAL,18,18,0,6,12,1,1,NA,NA,1,NA,NA,NA,NA,NA,6,6,NA,6,0,0,0,NA,0,NA,0,0,NA,0,NA,11,11,NA,0,11,0,NA,0,0,0
M8 [Family Planning],8.12,Number of Combined Oral Pill cycles distributed,TOTAL,826,791,35,663,163,60,60,NA,NA,60,6,6,NA,6,NA,398,398,NA,314,84,23,23,NA,23,NA,75,75,NA,75,NA,229,229,NA,210,19,35,NA,35,35,0
M8 [Family Planning],8.13,Number of Condom pieces distributed,TOTAL,55834,55814,20,39994,15840,6800,6800,NA,NA,6800,2125,2125,NA,2125,NA,26218,26218,NA,20218,6000,1100,1100,NA,1100,NA,3129,3129,NA,3129,NA,16442,16442,NA,13402,3040,20,NA,20,20,0
M8 [Family Planning],8.14,Number of Centchroman (weekly) pill strips distributed,TOTAL,356,356,0,314,42,0,0,NA,NA,0,2,2,NA,2,NA,238,238,NA,209,29,1,1,NA,1,NA,44,44,NA,44,NA,71,71,NA,58,13,0,NA,0,0,0
M8 [Family Planning],8.15,Number of Emergency Contraceptive Pills (ECP) given,TOTAL,163,161,2,160,3,0,0,NA,NA,0,NA,NA,NA,NA,NA,103,103,NA,103,0,0,0,NA,0,NA,5,5,NA,5,NA,53,53,NA,50,3,2,NA,2,2,0
M8 [Family Planning],8.16,Number of Pregnancy Test Kits (PTK) used,TOTAL,1486,1417,69,1428,58,0,0,NA,NA,0,NA,NA,NA,NA,NA,785,785,NA,785,NA,2,2,NA,2,NA,104,104,NA,104,NA,526,526,NA,468,58,69,NA,69,69,NA
M8 [Family Planning],8.17.1,Complications following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M8 [Family Planning],8.17.2,Complications following female sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
M8 [Family Planning],8.17.3,Failures following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0
