Indicator,S.No.,Parameters,Type,District - _Delhi,District - Central,District - East,District - New Delhi,District - North,District - North East,District - North West,District - Shahdara,District - South,District - South East,District - South West,District - West
M2 [Deliveries],2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,14401,817,716,399,2805,2076,1378,524,1614,1477,838,1757
M2 [Deliveries],2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,7295,583,451,235,1379,778,406,412,677,796,476,1102
M2 [Deliveries],2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,48,10,0,21,0,1,1,0,5,2,8,0
M2 [Deliveries],2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,181815,29885,7554,37601,6541,4960,28181,30254,4663,3270,8901,20005
M2 [Deliveries],2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,85143,17597,4101,26325,2519,3578,2995,5200,2891,1827,6746,11364
M2 [Deliveries],2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,9161,1660,454,722,1560,244,1507,565,324,164,953,1008
M2 [Deliveries],2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,2905,730,432,492,1,44,80,58,218,93,634,123
M2 [Deliveries],2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M2 [Deliveries],2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,36823,7758,2893,159,779,174,6334,2754,3810,4485,1656,6021
M2 [Deliveries],2.3.1.a,Number of mothers paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,12,0,0,0,NA,NA,12,0,0,0,0,0
M2 [Deliveries],2.3.1.b,Number of ASHAs paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,0,0,0,0,NA,NA,0,0,0,0,0,0
M2 [Deliveries],2.3.1.c,Number of cases of deliveries conducted at accredited Private Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,0,0,0,0,NA,NA,0,0,0,0,0,0
M3 [Number of Caesarean C-Section deliveries performed at],3.1.1,Number of Caesarean (C-Section) deliveries performed at PHCs (Primary Health Centre),TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M3 [Number of Caesarean C-Section deliveries performed at],3.1.2,Number of Caesarean (C-Section) deliveries performed at CHCs (Community Health Centre),TOTAL,23,0,NA,23,NA,0,0,0,NA,0,NA,0
M3 [Number of Caesarean C-Section deliveries performed at],3.1.3,Number of Caesarean (C-Section) deliveries performed at SDHs (Sub-divisional Hospital) or DHs (District Hospital),TOTAL,41745,7321,1469,9835,403,478,6371,7398,1462,413,1526,5069
M3 [Number of Caesarean C-Section deliveries performed at],3.1.4,Number of Caesarean (C-Section) deliveries performed at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M3 [Number of Caesarean C-Section deliveries performed at],3.1.5,"Total Number of Caesarean (C-Section) deliveries performed at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 3.1.1 to 3.1.4)",TOTAL,41768,7321,1469,9858,403,478,6371,7398,1462,413,1526,5069
M3 [Number of Caesarean C-Section deliveries performed at],3.2,No. of C-section deliveries performed at Private facilities,TOTAL,21813,4666,1900,93,279,118,4140,1739,1777,2317,1016,3768
M4 [Pregnancy outcome & weight of new-born],4.1.1.a,Number of male live births,TOTAL,121285,20042,5802,19766,5198,3644,18625,17500,5354,4876,6033,14445
M4 [Pregnancy outcome & weight of new-born],4.1.1.b,Number of female live births,TOTAL,109843,18092,5261,17891,4862,3537,16962,15578,4778,4436,5292,13154
M4 [Pregnancy outcome & weight of new-born],4.1.1.c,Total number of male and female live births (4.1.1.a and 4.1.1.b),TOTAL,231128,38134,11063,37657,10060,7181,35587,33078,10132,9312,11325,27599
M4 [Pregnancy outcome & weight of new-born],4.1.2,Number of still births,TOTAL,4456,841,157,979,115,45,719,806,126,73,102,493
M4 [Pregnancy outcome & weight of new-born],4.1.3,Number of Abortions (spontaneous or induced),TOTAL,30980,4766,3139,2418,1788,403,4832,3142,2147,2017,1456,4872
M4 [Pregnancy outcome & weight of new-born],4.2.1,Number of Newborns weighed at birth,TOTAL,221258,36695,10769,36190,9181,6197,34752,32933,9634,8397,11110,25400
M4 [Pregnancy outcome & weight of new-born],4.2.2,Number of Newborns having weight less than 2.5 kg,TOTAL,48375,8712,2130,5516,1850,1165,7790,10278,1541,1004,1795,6594
M4 [Pregnancy outcome & weight of new-born],4.3,Number of Newborns breast fed within 1 hour of birth,TOTAL,170443,25726,6997,30281,8891,5758,25496,26678,7619,6209,8855,17933
M5 [Complicated pregnanices],5.1.1,Number of cases of pregnant women with Obstetric Complications and attended at PHCs,TOTAL,6,0,0,0,0,0,0,0,6,0,0,0
M5 [Complicated pregnanices],5.1.2,Number of cases of pregnant women with Obstetric Complications and attended at CHCs,TOTAL,691,0,6,0,10,318,35,203,NA,118,NA,1
M5 [Complicated pregnanices],5.1.3,Number of cases of pregnant women with Obstetric Complications and attended at SDHs or DHs,TOTAL,63023,15488,3908,8440,4979,260,6198,10796,3802,528,1977,6647
M5 [Complicated pregnanices],5.1.4,Number of cases of pregnant women with Obstetric Complications and attended at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M5 [Complicated pregnanices],5.1.5,"Number of cases of pregnant women with Obstetric Complications and attended at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 5.1.1 to 5.1.4)",TOTAL,63720,15488,3914,8440,4989,578,6233,10999,3808,646,1977,6648
M5 [Complicated pregnanices],5.2,Number of cases of pregnant women with Obstetric Complications and attended at Private facilities,TOTAL,7860,1265,231,0,337,108,859,1010,1523,1735,383,409
M5 [Complicated pregnanices],5.3.1,Number of cases of complicated pregnancies treated with IV antibiotics,TOTAL,48703,10520,4129,5833,903,392,6202,8056,2654,2298,1870,5846
M5 [Complicated pregnanices],5.3.2,Number of cases of complicated pregnancies treated with IV Antihypertensive/Magsulph injection,TOTAL,4618,415,25,862,167,213,290,1040,283,138,163,1022
M5 [Complicated pregnanices],5.3.3,Number of cases of complicated pregnancies treated with IV Oxytocis,TOTAL,45594,15207,3054,4273,1266,475,5504,4299,3070,2283,1302,4861
M5 [Complicated pregnanices],5.3.4,Number of cases of complicated pregnancies treated with Blood Transfusion,TOTAL,14430,1720,1253,2396,428,56,2208,2619,283,148,325,2994
M6 [Post - Natal Care],6.1,Women getting post partum check-up within 48 hours after delivery,TOTAL,201561,30164,8915,36614,9159,6606,31285,27465,8803,8388,11034,23128
M6 [Post - Natal Care],6.2,Women getting a post partum check up between 48 hours and 14 days after delivery,TOTAL,143125,19100,6001,13147,7785,5820,19640,17810,3673,7340,14149,28660
M6 [Post - Natal Care],6.3,PNC maternal complications attended,TOTAL,5271,452,1259,652,257,1,1134,254,59,263,358,582
M7 [Medical Termination of Pregnancy (MTP)],7.1.1,Number of MTPs conducted at Public Institutions up to 12 weeks of pregnancy,TOTAL,5466,976,65,765,198,38,984,489,539,305,248,859
M7 [Medical Termination of Pregnancy (MTP)],7.1.2,Number of MTPs conducted at Public Institutions for more than 12 weeks of pregnancy,TOTAL,732,87,9,179,7,0,67,130,195,0,12,46
M7 [Medical Termination of Pregnancy (MTP)],7.1.3,Total number of MTPs conducted at Public Institutions (sum of items 7.1.1 and 7.1.2),TOTAL,6198,1063,74,944,205,38,1051,619,734,305,260,905
M7 [Medical Termination of Pregnancy (MTP)],7.2,Number of MTPs conducted at Private Facilities,TOTAL,10974,1645,2106,68,341,23,1609,973,730,1306,591,1582
M8 [RTI/STI Cases],8.1.a,Number of new cases of RTI/STI in males for which treatment was initiated,TOTAL,30182,4775,1613,5957,1937,1095,2053,1054,2153,2510,2517,4518
M8 [RTI/STI Cases],8.1.b,Number of new cases of RTI/STI in females for which treatment was initiated,TOTAL,152349,18300,9692,21072,10142,11364,14390,9162,5331,8064,8115,36717
M8 [RTI/STI Cases],8.1.c,Total number of new cases of RTI/STI in males and females for which treatment was initiated (sum of items 8.1.a and 8.1.b),TOTAL,182531,23075,11305,27029,12079,12459,16443,10216,7484,10574,10632,41235
M8 [RTI/STI Cases],8.2,Number of suspected RTI/STI cases for whom wet mount test was conducted,TOTAL,721,0,2,0,0,212,4,0,56,28,12,407
M9 [Family Planning],9.1.1.a,Number of NSV (No Scalpel Vasectomy) or Conventional Vasectomy conducted at PHCs,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M9 [Family Planning],9.1.1.b,Number of NSV or Conventional Vasectomy conducted at CHCs,TOTAL,0,0,NA,0,0,0,0,NA,NA,0,NA,0
M9 [Family Planning],9.1.1.c,Number of NSV or Conventional Vasectomy conducted at SDHs or DHs,TOTAL,1226,811,19,108,6,9,40,23,15,2,133,60
M9 [Family Planning],9.1.1.d,Number of NSV or Conventional Vasectomy conducted at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M9 [Family Planning],9.1.1.e,"Total Number of NSV or Conventional Vasectomy conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.1.1.a to 9.1.1.d)",TOTAL,1226,811,19,108,6,9,40,23,15,2,133,60
M9 [Family Planning],9.1.2,Number of NSV or Conventional Vasectomy conducted at Private facilities,TOTAL,28,26,1,0,0,NA,0,0,1,0,0,0
M9 [Family Planning],9.2.1.a,Number of Laparoscopic sterilizations conducted at PHCs,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M9 [Family Planning],9.2.1.b,Number of Laparoscopic sterilizations conducted at CHCs,TOTAL,5,0,NA,0,1,0,0,NA,NA,4,NA,0
M9 [Family Planning],9.2.1.c,Number of Laparoscopic sterilizations conducted at SDHs or DHs,TOTAL,5433,1702,23,856,60,14,741,325,557,69,234,852
M9 [Family Planning],9.2.1.d,Number of Laparoscopic sterilizations conducted at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M9 [Family Planning],9.2.1.e,"Total Number of Laparoscopic sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.2.1.a to 9.2.1.d)",TOTAL,5438,1702,23,856,61,14,741,325,557,73,234,852
M9 [Family Planning],9.2.2,Number of Laparoscopic sterilizations conducted at Private facilities,TOTAL,2309,46,38,214,11,NA,1150,594,24,191,6,35
M9 [Family Planning],9.3.1.a,Number of Mini-lap sterilizations conducted at PHCs,TOTAL,4,4,0,0,0,0,0,0,0,0,0,0
M9 [Family Planning],9.3.1.b,Number of Mini-lap sterilizations conducted at CHCs,TOTAL,1,0,NA,1,NA,0,0,NA,NA,0,NA,0
M9 [Family Planning],9.3.1.c,Number of Mini-lap sterilizations conducted at SDHs or DHs,TOTAL,1549,188,109,782,34,3,125,108,33,5,81,81
M9 [Family Planning],9.3.1.d,Number of Mini-lap sterilizations conducted at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M9 [Family Planning],9.3.1.e,"Total Number of Mini-lap sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.3.1.a to 9.3.1.d)",TOTAL,1554,192,109,783,34,3,125,108,33,5,81,81
M9 [Family Planning],9.3.2,Number of Mini-lap sterilizations conducted at Private facilities,TOTAL,280,21,10,0,3,NA,148,0,17,59,0,22
M9 [Family Planning],9.4.1.a,Number of Post-Partum sterilizations conducted at PHCs,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M9 [Family Planning],9.4.1.b,Number of Post-Partum sterilizations conducted at CHCs,TOTAL,11,0,NA,11,NA,0,0,NA,NA,0,NA,0
M9 [Family Planning],9.4.1.c,Number of Post-Partum sterilizations conducted at SDHs or DHs,TOTAL,4126,510,0,727,33,45,1123,785,141,35,105,622
M9 [Family Planning],9.4.1.d,Number of Post-Partum sterilizations conducted at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M9 [Family Planning],9.4.1.e,"Total Number of Post-Partum sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.4.1.a to 9.4.1.d)",TOTAL,4137,510,0,738,33,45,1123,785,141,35,105,622
M9 [Family Planning],9.4.2,Number of Post-Partum sterilizations conducted at Private facilities,TOTAL,303,75,10,0,14,NA,27,4,13,61,7,92
M9 [Family Planning],9.5.1.a,Number of IUCD Insertions conducted at SCs,TOTAL,11,11,0,0,0,0,0,0,0,0,0,0
M9 [Family Planning],9.5.1.b,Number of IUCD Insertions conducted at PHCs,TOTAL,19159,2900,1271,987,1227,1669,1922,1157,1694,1808,1853,2671
M9 [Family Planning],9.5.1.c,Number of IUCD Insertions conducted at CHCs,TOTAL,6717,844,581,370,478,873,637,631,NA,735,125,1443
M9 [Family Planning],9.5.1.d,Number of IUCD Insertions conducted at SDHs or DHs,TOTAL,42172,6740,2202,6591,3345,943,7493,5329,1616,954,1315,5644
M9 [Family Planning],9.5.1.e,Number of IUCD Insertions conducted at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M9 [Family Planning],9.5.1.f,"Total Number of IUCD Insertions conducted at Public facilities i.e. SC, PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.5.1.a to 9.5.1.e)",TOTAL,68059,10495,4054,7948,5050,3485,10052,7117,3310,3497,3293,9758
M9 [Family Planning],9.5.1A,"Out of above total, Post Partum (within 48 hours of delivery) IUCD insertions",TOTAL,37041,5984,2239,5671,2790,1194,6148,4650,952,902,931,5580
M9 [Family Planning],9.5.2,Number of IUCD Insertions conducted at Private facilities,TOTAL,3169,465,195,145,199,39,475,370,205,489,139,448
M9 [Family Planning],9.06,Number of IUCD removals,TOTAL,11134,1415,786,979,798,681,1424,843,782,890,921,1615
M9 [Family Planning],9.07,Number of Oral Pills cycles distributed,TOTAL,166933,17218,12087,12295,15935,11361,19029,16415,10903,20078,12295,19317
M9 [Family Planning],9.08,Number of Condom pieces distributed,TOTAL,5831217,695707,201064,424632,593569,312627,984537,292106,543019,666374,468263,649319
M9 [Family Planning],9.09,Number of Centchroman (weekly) pills given,TOTAL,174,63,0,0,7,0,0,0,45,40,8,11
M9 [Family Planning],9.1,Number of Emergency Contraceptive Pills distributed,TOTAL,14314,1001,1222,902,1583,1495,1781,948,1539,1063,1016,1764
M9 [Family Planning],9.11.1.a,Number of cases of complications following male sterilization,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M9 [Family Planning],9.11.1.b,Number of cases of complications following female sterilization,TOTAL,16,1,0,0,0,0,0,11,0,0,2,2
M9 [Family Planning],9.11.2.a,Number of failures following male sterilization,TOTAL,1,0,0,0,0,0,0,0,0,0,0,1
M9 [Family Planning],9.11.2.b,Number of failures following female sterilization,TOTAL,39,13,0,5,1,0,7,8,1,0,0,4
M9 [Family Planning],9.11.3.a,Number of deaths following male sterilization,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M9 [Family Planning],9.11.3.b,Number of deaths following female sterilization,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M9 [Family Planning],9.12,Number of Institutions having NSV trained doctors,TOTAL,535,58,49,68,28,7,125,65,49,21,25,40
M10 [CHILD IMMUNIZATION],10.1.01,Number of Infants (0 to 11 months old)received BCG immunisation,TOTAL,259603,35272,13592,41189,15384,11356,37537,35066,11265,13927,13134,31881
M10 [CHILD IMMUNIZATION],10.1.02,Number of Infants (0 to 11 months old) received DPT1 immunisation,TOTAL,14292,1973,840,234,598,717,1997,1076,1481,2397,349,2630
M10 [CHILD IMMUNIZATION],10.1.03,Number of Infants (0 to 11 months old) received DPT2 immunisation,TOTAL,12004,1797,716,198,517,676,1440,722,1205,2150,323,2260
M10 [CHILD IMMUNIZATION],10.1.04,Number of Infants (0 to 11 months old) received DPT3 immunisation,TOTAL,11189,1804,630,182,512,592,1402,720,859,2001,293,2194
M10 [CHILD IMMUNIZATION],10.1.04A,Number of Infants (0 to 11 months old) received Pentavalent1 immunisation,TOTAL,243342,24208,15946,14121,23781,23528,31305,21821,14530,23084,18810,32208
M10 [CHILD IMMUNIZATION],10.1.04B,Number of Infants (0 to 11 months old) received Pentavalent2 immunisation,TOTAL,237200,22818,16373,12472,23647,22956,30920,20086,14609,23307,18528,31484
M10 [CHILD IMMUNIZATION],10.1.04C,Number of Infants (0 to 11 months old) received Pentavalent3 immunisation,TOTAL,231536,22136,15712,12066,23410,21833,30126,19422,14680,22879,18108,31164
M10 [CHILD IMMUNIZATION],10.1.05,Number of Infants (0 to 11 months old) received OPV 0 (Birth Dose),TOTAL,206020,31170,10495,36872,7999,6080,30546,31796,8672,7106,10342,24942
M10 [CHILD IMMUNIZATION],10.1.06,Number of Infants (0 to 11 months old) received OPV1 (First Dose),TOTAL,252145,26169,16929,14117,23958,23802,32125,22429,13658,25200,19101,34657
M10 [CHILD IMMUNIZATION],10.1.07,Number of Infants (0 to 11 months old) received OPV2 (Second Dose),TOTAL,244482,24587,17011,12424,23759,23252,31322,20495,14049,25097,18857,33629
M10 [CHILD IMMUNIZATION],10.1.08,Number of Infants (0 to 11 months old) received OPV3 (Third Dose),TOTAL,238533,23864,16403,12042,23376,22035,30493,19713,14121,24808,18424,33254
M10 [CHILD IMMUNIZATION],10.1.09A,Number of Infants (upto 48 hrs of age) received Hepatitis-B0 immunisation,TOTAL,193936,27661,10222,36702,7574,5326,29641,30487,7823,6637,10096,21767
M10 [CHILD IMMUNIZATION],10.1.09,Number of Infants (0 to 11 months old) received Hepatitis-B1 immunisation,TOTAL,14917,2480,1278,114,208,1084,2059,1303,852,2044,361,3134
M10 [CHILD IMMUNIZATION],10.1.10,Number of Infants (0 to 11 months old) received Hepatitis-B2 immunisation,TOTAL,10311,1695,993,137,168,474,1443,826,914,1714,278,1669
M10 [CHILD IMMUNIZATION],10.1.11,Number of Infants (0 to 11 months old) received Hepatitis-B3 immunisation,TOTAL,9237,1869,776,168,228,432,1128,713,836,1358,286,1443
M10 [CHILD IMMUNIZATION],10.1.12,Number of Infants (0 to 11 months old) received Measles immunisation (First Dose),TOTAL,264747,25930,18428,13382,26150,24368,33912,21265,16724,27441,20620,36527
M10 [CHILD IMMUNIZATION],10.1.12B,Number of Infants (more than 16 months old) received Measles immunisation (Second Dose),TOTAL,41890,4045,3569,1662,2285,4806,7394,2659,1998,4852,1734,6886
M10 [CHILD IMMUNIZATION],10.1A,No. of Children aged 9 to 12 months who received JE 1st dose,TOTAL,9,0,0,0,8,0,0,0,1,0,0,0
M10 [CHILD IMMUNIZATION],10.1.13.a,Total number of male children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,136390,13144,9538,7002,13694,12570,17764,10688,8148,13446,10982,19414
M10 [CHILD IMMUNIZATION],10.1.13.b,Total number of female children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,118390,11540,8338,5936,11828,11039,15444,9348,7169,11748,9329,16671
M10 [CHILD IMMUNIZATION],10.1.13.c,Total number of children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month (sum of items 10.1.13.a and 10.1.13.b),TOTAL,254780,24684,17876,12938,25522,23609,33208,20036,15317,25194,20311,36085
M10 [CHILD IMMUNIZATION],10.2.1,Number of Infants (more than 16 months old) received DPT Booster dose,TOTAL,256083,24706,18331,12907,25327,23655,32856,20146,16266,25097,20648,36144
M10 [CHILD IMMUNIZATION],10.2.2,Number of Infants (more than 16 months old) received OPV Booster dose,TOTAL,255276,24669,18293,12901,25156,23512,32504,20285,16554,25008,20641,35753
M10 [CHILD IMMUNIZATION],10.2.3,"Number of Infants (more than 16 months old) received Measles, Mumps, Rubella (MMR) Vaccination",TOTAL,224147,22507,15282,12000,23015,18578,26400,19341,15782,23970,18804,28468
M10 [CHILD IMMUNIZATION],10.3.1.a,Total number of male children (12 to 23 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,37210,4043,1276,1927,3871,4568,5636,3457,1549,1427,2629,6827
M10 [CHILD IMMUNIZATION],10.3.1.b,Total number of female children (12 to 23 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month,TOTAL,31521,3486,1120,1304,3118,4303,4914,2811,1377,1242,2185,5661
M10 [CHILD IMMUNIZATION],10.3.1.c,Total number of children (12 to 23 months old) fully immunised (BCG+DPT123+OPV123/Pentavalent123+Measles) during the month (sum of items 10.3.1.a and 10.3.1.b),TOTAL,68731,7529,2396,3231,6989,8871,10550,6268,2926,2669,4814,12488
M10 [CHILD IMMUNIZATION],10.3.2,Number of children (more than 5 years old) given DT5,TOTAL,130371,14306,9817,7358,11153,9837,15923,9708,8827,12914,11502,19026
M10 [CHILD IMMUNIZATION],10.3.3,Number of children (more than 10 years old) given TT10,TOTAL,36398,4454,3136,3250,2341,2649,3768,2480,2954,4126,3043,4197
M10 [CHILD IMMUNIZATION],10.3.4,Number of children (more than 16 years old) given TT16,TOTAL,22882,3671,1766,1883,2127,1380,2571,2286,1498,2045,1940,1715
M10 [CHILD IMMUNIZATION],10.3.5.a,Number of cases of Abscess reported following immunisation [Adverse Event Following Immunisation (AEFI)],TOTAL,10,0,7,0,0,0,3,0,0,0,0,0
M10 [CHILD IMMUNIZATION],10.3.5.b,Number of cases of Death reported following immunisation [Adverse Event Following Immunisation (AEFI)],TOTAL,1,0,0,0,0,0,0,0,0,1,0,0
M10 [CHILD IMMUNIZATION],10.3.5.c,Number of cases of other complications reported following immunisation [Adverse Event Following Immunisation (AEFI)],TOTAL,24,4,3,0,0,8,3,2,1,3,0,0
M10 [CHILD IMMUNIZATION],10.4.1,Number of Immunisation sessions planned to be held during the month,TOTAL,104830,14054,8297,6225,10330,7306,14163,6676,5813,10663,6815,14488
M10 [CHILD IMMUNIZATION],10.4.2,Number of Immunisation sessions held during the month,TOTAL,101401,13729,8067,5824,9971,7115,13696,6457,5692,10277,6540,14033
M10 [CHILD IMMUNIZATION],10.4.3,Number of Immunisation sessions held during the month where ASHAs were present,TOTAL,54422,3026,5228,2391,5534,5681,6781,3023,3031,6453,5170,8104
M10 [CHILD IMMUNIZATION],10.5.1,Number of children (more than 16 months old) received Japanese Encephalitis (JE) vaccination,TOTAL,4,0,0,0,0,0,0,0,0,4,0,0
M11 [Number of Vitamin A doses],11.1.1,Number of children (9 months to 5 years old) administered 1st dose of Vitamin A (Dose-1),TOTAL,210147,18338,18008,9344,18594,19059,24575,17160,14723,22000,19931,28415
M11 [Number of Vitamin A doses],11.1.2,Number of children (9 months to 5 years old) were administered 5th dose of Vitamin A (Dose-5),TOTAL,145510,10081,15939,3920,21288,10894,15532,11683,8970,16209,9344,21650
M11 [Number of Vitamin A doses],11.1.3,Number of children (9 months to 5 years old) administered 9th dose of Vitamin A (Dose-9),TOTAL,61668,3936,7402,1761,7578,6280,7287,4262,3638,8510,3540,7474
M12 [Number of cases of Childhood Diseases reported during the month0-5 years:],12.1,Number of cases of Diptheria reported in children below 5 years of age,TOTAL,7,0,2,4,0,0,1,0,0,0,0,0
M12 [Number of cases of Childhood Diseases reported during the month0-5 years:],12.2,Number of cases of Pertusis reported in children below 5 years of age,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M12 [Number of cases of Childhood Diseases reported during the month0-5 years:],12.3,Number of cases of Tetanus neonatarum reported in children below 5 years of age,TOTAL,3,0,0,3,0,0,0,0,0,0,0,0
M12 [Number of cases of Childhood Diseases reported during the month0-5 years:],12.4,Number of cases of Tetanus other than neonatarum reported in children below 5 years of age,TOTAL,15,0,0,9,0,0,0,0,0,0,0,6
M12 [Number of cases of Childhood Diseases reported during the month0-5 years:],12.5,Number of cases of Polio reported in children below 5 years of age,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
M12 [Number of cases of Childhood Diseases reported during the month0-5 years:],12.6,Number of cases of Measles reported in children below 5 years of age,TOTAL,550,46,48,66,63,11,85,117,66,25,4,19
M12 [Number of cases of Childhood Diseases reported during the month0-5 years:],12.7,Number of cases of Diarrhoea and Dehydration reported in children below 5 years of age,TOTAL,88811,7852,8098,9139,24273,1425,7930,4538,2541,5720,3423,13872
M12 [Number of cases of Childhood Diseases reported during the month0-5 years:],12.8,Number of cases of Malaria reported in children below 5 years of age,TOTAL,995,154,72,314,191,0,107,63,33,25,19,17
M12 [Number of cases of Childhood Diseases reported during the month0-5 years:],12.9,Number of children below 5 years of age admitted with Respiratory Infections,TOTAL,16692,1758,1748,4640,985,46,1990,844,1745,348,414,2174
M13 [Blindness Control Programme],13.1,Number of Patients operated for cataract,TOTAL,47257,23741,929,6255,618,315,4060,1980,493,2501,122,6243
M13 [Blindness Control Programme],13.2,Number of Intraocular Lens(IOL) implantations,TOTAL,44758,23471,447,6173,330,314,3408,1501,488,2399,78,6149
