Indicator,S.No.,Parameters,Type,SubDistrict - _South - Total [(A+B) or (C+D)],SubDistrict - _South - Public [A],SubDistrict - _South - Private [B],SubDistrict - _South - Urban [C],SubDistrict - _South - Rural [D],SubDistrict - Autonomous - Total [(A+B) or (C+D)],SubDistrict - Autonomous - Public [A],SubDistrict - Autonomous - Private [B],SubDistrict - Autonomous - Urban [C],SubDistrict - Autonomous - Rural [D],SubDistrict - CGHS - Total [(A+B) or (C+D)],SubDistrict - CGHS - Public [A],SubDistrict - CGHS - Private [B],SubDistrict - CGHS - Urban [C],SubDistrict - CGHS - Rural [D],SubDistrict - Delhi Govt - Total [(A+B) or (C+D)],SubDistrict - Delhi Govt - Public [A],SubDistrict - Delhi Govt - Private [B],SubDistrict - Delhi Govt - Urban [C],SubDistrict - Delhi Govt - Rural [D],SubDistrict - ESI - Total [(A+B) or (C+D)],SubDistrict - ESI - Public [A],SubDistrict - ESI - Private [B],SubDistrict - ESI - Urban [C],SubDistrict - ESI - Rural [D],SubDistrict - IPP VIII-MCD - Total [(A+B) or (C+D)],SubDistrict - IPP VIII-MCD - Public [A],SubDistrict - IPP VIII-MCD - Private [B],SubDistrict - IPP VIII-MCD - Urban [C],SubDistrict - IPP VIII-MCD - Rural [D],SubDistrict - MCW Centres MCD - Total [(A+B) or (C+D)],SubDistrict - MCW Centres MCD - Public [A],SubDistrict - MCW Centres MCD - Private [B],SubDistrict - MCW Centres MCD - Urban [C],SubDistrict - MCW Centres MCD - Rural [D],SubDistrict - NGO - Total [(A+B) or (C+D)],SubDistrict - NGO - Public [A],SubDistrict - NGO - Private [B],SubDistrict - NGO - Urban [C],SubDistrict - NGO - Rural [D],SubDistrict - Private - Total [(A+B) or (C+D)],SubDistrict - Private - Public [A],SubDistrict - Private - Private [B],SubDistrict - Private - Urban [C],SubDistrict - Private - Rural [D]
M1 [Ante Natal Care (ANC)],1.4.4,Number of PW having severe anaemia (Hb<7) treated,TOTAL,45,33,12,12,33,2,2,NA,NA,2,NA,NA,NA,NA,NA,31,31,NA,0,31,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,NA,12,NA,12,12,0
M1 [Ante Natal Care (ANC)],1.5.1,Number of PW tested for blood sugar using OGTT (Oral Glucose Tolerance Test),TOTAL,1480,1323,157,157,1323,173,173,NA,NA,173,NA,NA,NA,NA,NA,1150,1150,NA,0,1150,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,22,NA,22,22,NA,135,NA,135,135,0
M1 [Ante Natal Care (ANC)],1.5.2,Number of PW tested positive for GDM,TOTAL,32,8,24,18,14,8,8,NA,NA,8,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,0,0,NA,24,NA,24,18,6
M1 [Ante Natal Care (ANC)],1.5.3,Number of PW given insulin out of total tested positive for GDM,TOTAL,17,8,9,9,8,8,8,NA,NA,8,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,9,NA,9,9,0
M1 [Ante Natal Care (ANC)],1.6.1.a,Number of PW tested using POC test for Syphilis,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.1.b,"Out of above, number of PW found sero positive for syphilis",TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.2.a,Number of pregnant women tested for Syphilis,TOTAL,1527,1443,84,102,1425,173,173,NA,NA,173,NA,NA,NA,NA,NA,1178,1178,NA,28,1150,0,0,NA,0,NA,NA,NA,NA,NA,NA,92,92,NA,0,92,31,NA,31,31,NA,53,NA,53,43,10
M1 [Ante Natal Care (ANC)],1.6.2.b,Number of pregnant women tested found sero positive for Syphilis,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,NA,0,NA,0,0,0
M1 [Ante Natal Care (ANC)],1.6.2.c,Number of syphilis positive pregnant women treated for Syphilis,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,NA,0,NA,0,0,0
M1 [Ante Natal Care (ANC)],1.6.2.d,Number of babies diagnosed with Congenital Syphilis,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,0,0
M1 [Ante Natal Care (ANC)],1.6.2.e,Number of babies treated for congenital Syphilis,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M2 [Deliveries],2.1.1.a,Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM),TOTAL,4,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,4,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.1.1.b,Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),TOTAL,68,68,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,28,NA,28,NA,NA,NA,NA,NA,NA,15,15,NA,15,NA,25,25,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.1.2,Number of PW given Tablet Misoprostol during home delivery,TOTAL,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.1.3,Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,TOTAL,38,38,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,5,NA,NA,NA,NA,NA,NA,10,10,NA,10,NA,23,23,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.2,Number of Institutional Deliveries conducted (Including C-Sections),TOTAL,1173,770,403,296,877,173,173,NA,NA,173,NA,NA,NA,NA,NA,597,597,NA,NA,597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,14,14,NA,389,NA,389,282,107
M2 [Deliveries],2.2.1,Out of total institutional deliveries number of women discharged within 48 hours of delivery,TOTAL,194,99,95,53,141,70,70,NA,NA,70,NA,NA,NA,NA,NA,29,29,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,14,14,NA,81,NA,81,39,42
M2 [Deliveries],2.2.2,Number of newborns received 6 HBNC  visits after Institutional Delivery,TOTAL,836,811,25,836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,456,456,NA,456,NA,NA,NA,NA,NA,NA,25,25,NA,25,NA,330,330,NA,330,NA,NA,NA,NA,NA,NA,25,NA,25,25,NA
M3 [Number of Caesarean (C-Section) deliveries],3.1,Total C -Section deliveries performed,TOTAL,395,218,177,112,283,103,103,NA,NA,103,NA,NA,NA,NA,NA,115,115,NA,NA,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,7,7,NA,170,NA,170,105,65
M3 [Number of Caesarean (C-Section) deliveries],3.1.1,"C-sections, performed at night (8 PM- 8 AM)",TOTAL,176,125,51,41,135,43,43,NA,NA,43,NA,NA,NA,NA,NA,82,82,NA,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,6,6,NA,45,NA,45,35,10
M4 [Pregnancy outcome & details of new-born],4.1.1.a,Live Birth - Male,TOTAL,637,415,222,194,443,94,94,NA,NA,94,NA,NA,NA,NA,NA,302,302,NA,12,290,NA,NA,NA,NA,NA,6,6,NA,6,NA,13,13,NA,13,NA,5,NA,5,5,NA,217,NA,217,158,59
M4 [Pregnancy outcome & details of new-born],4.1.1.b,Live Birth - Female,TOTAL,620,415,205,183,437,76,76,NA,NA,76,NA,NA,NA,NA,NA,318,318,NA,11,307,NA,NA,NA,NA,NA,9,9,NA,9,NA,12,12,NA,12,NA,9,NA,9,9,NA,196,NA,196,142,54
M4 [Pregnancy outcome & details of new-born],4.1.2,Number of Pre term newborns ( < 37 weeks of pregnancy),TOTAL,145,81,64,34,111,46,46,NA,NA,46,NA,NA,NA,NA,NA,34,34,NA,0,34,NA,NA,NA,NA,NA,1,1,NA,1,NA,0,0,NA,0,NA,14,NA,14,14,NA,50,NA,50,19,31
M4 [Pregnancy outcome & details of new-born],4.1.3,Still Birth,TOTAL,9,7,2,2,7,6,6,NA,NA,6,NA,NA,NA,NA,NA,1,1,NA,0,1,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,0,NA,0,0,NA,2,NA,2,2,0
M4 [Pregnancy outcome & details of new-born],4.2,Abortion (spontaneous),TOTAL,74,40,34,31,43,1,1,NA,NA,1,NA,NA,NA,NA,NA,35,35,NA,0,35,NA,NA,NA,NA,NA,4,4,NA,4,NA,0,0,NA,0,NA,0,NA,0,0,NA,34,NA,34,27,7
M4 [Pregnancy outcome & details of new-born],4.3.1.a,MTP up to 12 weeks of pregnancy,TOTAL,152,36,116,99,53,29,29,NA,NA,29,NA,NA,NA,NA,NA,7,7,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,116,NA,116,99,17
M4 [Pregnancy outcome & details of new-born],4.3.1.b,MTP more than 12 weeks of pregnancy,TOTAL,21,16,5,3,18,16,16,NA,NA,16,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,5,NA,5,3,2
M4 [Pregnancy outcome & details of new-born],4.3.2.a,Post Abortion/ MTP Complications Identified,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,NA
M4 [Pregnancy outcome & details of new-born],4.3.2.b,Post Abortion/ MTP Complications Treated,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M4 [Pregnancy outcome & details of new-born],4.3.3,Number of women provided with post abortion/ MTP contraception,TOTAL,66,64,2,2,64,22,22,NA,NA,22,NA,NA,NA,NA,NA,42,42,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,2,NA,2,2,0
M4 [Pregnancy outcome & details of new-born],4.4.1,Number of newborns weighed at birth,TOTAL,1205,822,383,330,875,170,170,NA,NA,170,NA,NA,NA,NA,NA,615,615,NA,23,592,NA,NA,NA,NA,NA,15,15,NA,15,NA,22,22,NA,22,NA,14,NA,14,14,NA,369,NA,369,256,113
M4 [Pregnancy outcome & details of new-born],4.4.2,Number of newborns having weight less than 2.5 kg,TOTAL,276,214,62,42,234,63,63,NA,NA,63,NA,NA,NA,NA,NA,144,144,NA,1,143,NA,NA,NA,NA,NA,0,0,NA,0,NA,7,7,NA,7,NA,1,NA,1,1,NA,61,NA,61,33,28
M4 [Pregnancy outcome & details of new-born],4.4.3,Number of Newborns breast fed within 1 hour of birth ,TOTAL,917,680,237,256,661,159,159,NA,NA,159,NA,NA,NA,NA,NA,482,482,NA,23,459,NA,NA,NA,NA,NA,15,15,NA,15,NA,24,24,NA,24,NA,14,NA,14,14,NA,223,NA,223,180,43
M5 [Complicated Pregnancies],5.1,"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",TOTAL,309,308,1,1,308,140,140,NA,NA,140,NA,NA,NA,NA,NA,155,155,NA,NA,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,NA,NA,13,0,NA,0,0,NA,1,NA,1,1,0
M5 [Complicated Pregnancies],5.2,Number of Complicated pregnancies treated with Blood Transfusion,TOTAL,27,26,1,1,26,1,1,NA,NA,1,NA,NA,NA,NA,NA,25,25,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,1,NA,1,1,0
M6 [Post Natal Care (PNC)],6.1,Women receiving 1st post partum checkup within 48 hours of home delivery,TOTAL,245,208,37,72,173,173,173,NA,NA,173,NA,NA,NA,NA,NA,14,14,NA,14,NA,NA,NA,NA,NA,NA,11,11,NA,11,NA,10,10,NA,10,NA,14,NA,14,14,NA,23,NA,23,23,0
M6 [Post Natal Care (PNC)],6.2,Women receiving 1st post partum checkup between 48 hours and 14 days,TOTAL,526,263,263,304,222,103,103,NA,NA,103,NA,NA,NA,NA,NA,122,122,NA,3,119,NA,NA,NA,NA,NA,29,29,NA,29,NA,9,9,NA,9,NA,14,NA,14,14,NA,249,NA,249,249,0
M6 [Post Natal Care (PNC)],6.3,Number of mothers provided full course of 180 IFA tablets after delivery,TOTAL,452,225,227,452,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,18,NA,18,NA,NA,NA,NA,NA,NA,66,66,NA,66,NA,141,141,NA,141,NA,14,NA,14,14,NA,213,NA,213,213,0
M6 [Post Natal Care (PNC)],6.4,Number of mothers provided 360 Calcium tablets after delivery,TOTAL,444,217,227,444,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,49,NA,49,NA,NA,NA,NA,NA,NA,66,66,NA,66,NA,102,102,NA,102,NA,14,NA,14,14,NA,213,NA,213,213,0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.1,New RTI/STI cases identified - Male,TOTAL,125,125,0,47,78,0,0,NA,NA,0,2,2,NA,2,NA,16,16,NA,16,NA,0,0,NA,0,NA,9,9,NA,9,NA,98,98,NA,20,78,0,NA,0,0,NA,0,NA,0,0,0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.2,New RTI/STI cases identified - Female,TOTAL,301,298,3,198,103,7,7,NA,NA,7,3,3,NA,3,NA,86,86,NA,86,NA,0,0,NA,0,NA,25,25,NA,25,NA,177,177,NA,81,96,0,NA,0,0,NA,3,NA,3,3,0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.1,RTI/STI for which treatment initiated - Male,TOTAL,121,121,0,43,78,0,0,NA,NA,0,0,0,NA,0,NA,16,16,NA,16,NA,0,0,NA,0,NA,9,9,NA,9,NA,96,96,NA,18,78,0,NA,0,0,NA,0,NA,0,0,0
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.2,RTI/STI for which treatment initiated -Female,TOTAL,297,294,3,194,103,7,7,NA,NA,7,1,1,NA,1,NA,86,86,NA,86,NA,0,0,NA,0,NA,25,25,NA,25,NA,175,175,NA,79,96,0,NA,0,0,NA,3,NA,3,3,0
M8 [Family Planning],8.1.1,Number of Non Scalpel Vasectomy (NSV) / Conventional Vasectomy conducted,TOTAL,1,1,0,0,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,1,1,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M8 [Family Planning],8.2.1,Number of Laparoscopic sterilizations (excluding post abortion) conducted,TOTAL,23,23,0,0,23,23,23,NA,NA,23,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M8 [Family Planning],8.2.2,Number of Interval Mini-lap (other than post-partum and post abortion) sterilizations conducted,TOTAL,3,2,1,2,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,0,NA,0,0,0
M8 [Family Planning],8.2.3,Number of Postpartum sterilizations (within 7 days of delivery by minilap or concurrent with caesarean section) conducted,TOTAL,14,10,4,1,13,10,10,NA,NA,10,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,4,NA,4,1,3
M8 [Family Planning],8.2.4,Number of Post Abortion sterilizations (within 7 days of spontaneous or surgical abortion) conducted,TOTAL,12,12,0,0,12,12,12,NA,NA,12,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M8 [Family Planning],8.3,Number of Interval IUCD Insertions (excluding PPIUCD and PAIUCD),TOTAL,199,178,21,98,101,35,35,NA,NA,35,NA,NA,NA,NA,NA,80,80,NA,63,17,0,0,NA,0,NA,11,11,NA,11,NA,52,52,NA,13,39,0,NA,0,0,NA,21,NA,21,11,10
M8 [Family Planning],8.4,Number of Postpartum (within 48 hours of delivery) IUCD insertions,TOTAL,38,38,0,0,38,36,36,NA,NA,36,NA,NA,NA,NA,NA,2,2,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M8 [Family Planning],8.5,Number of Post Abortion (within 12 days of spontaneous or surgical abortion) IUCD insertions,TOTAL,18,18,0,0,18,9,9,NA,NA,9,NA,NA,NA,NA,NA,9,9,NA,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0
M8 [Family Planning],8.6,Number of IUCD Removals,TOTAL,70,58,12,36,34,13,13,NA,NA,13,NA,NA,NA,NA,NA,25,25,NA,14,11,0,0,NA,0,NA,0,0,NA,0,NA,20,20,NA,11,9,0,NA,0,0,NA,12,NA,12,11,1
M8 [Family Planning],8.7,Number of complications following IUCD Insertion,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,0,NA,0,0,NA,0,NA,0,0,0
M8 [Family Planning],8.8,Injectable Contraceptive-Antara Program- First Dose,TOTAL,54,54,0,31,23,4,4,NA,NA,4,1,1,NA,1,NA,24,24,NA,22,2,0,0,NA,0,NA,3,3,NA,3,NA,22,22,NA,5,17,NA,NA,NA,NA,NA,0,NA,0,0,0
M8 [Family Planning],8.9,Injectable Contraceptive-Antara Program- Second Dose,TOTAL,19,19,0,9,10,2,2,NA,NA,2,0,0,NA,0,NA,8,8,NA,6,2,0,0,NA,0,NA,1,1,NA,1,NA,8,8,NA,2,6,NA,NA,NA,NA,NA,0,NA,0,0,0
M8 [Family Planning],8.1,Injectable Contraceptive-Antara Program- Third Dose,TOTAL,18,18,0,12,6,0,0,NA,NA,0,NA,NA,NA,NA,NA,10,10,NA,9,1,0,0,NA,0,NA,1,1,NA,1,NA,7,7,NA,2,5,NA,NA,NA,NA,NA,0,NA,0,0,0
M8 [Family Planning],8.11,Injectable Contraceptive-Antara Program- Fourth or more than fourth,TOTAL,29,29,0,18,11,2,2,NA,NA,2,NA,NA,NA,NA,NA,16,16,NA,16,0,0,0,NA,0,NA,2,2,NA,2,NA,9,9,NA,0,9,NA,NA,NA,NA,NA,0,NA,0,0,0
