Indicator,S.No.,Parameters,Type,SubDistrict - _South - Total [(A+B) or (C+D)],SubDistrict - _South - Public [A],SubDistrict - _South - Private [B],SubDistrict - _South - Urban [C],SubDistrict - _South - Rural [D],SubDistrict - Autonomous - Total [(A+B) or (C+D)],SubDistrict - Autonomous - Public [A],SubDistrict - Autonomous - Private [B],SubDistrict - Autonomous - Urban [C],SubDistrict - Autonomous - Rural [D],SubDistrict - CGHS - Total [(A+B) or (C+D)],SubDistrict - CGHS - Public [A],SubDistrict - CGHS - Private [B],SubDistrict - CGHS - Urban [C],SubDistrict - CGHS - Rural [D],SubDistrict - Delhi Govt - Total [(A+B) or (C+D)],SubDistrict - Delhi Govt - Public [A],SubDistrict - Delhi Govt - Private [B],SubDistrict - Delhi Govt - Urban [C],SubDistrict - Delhi Govt - Rural [D],SubDistrict - ESI - Total [(A+B) or (C+D)],SubDistrict - ESI - Public [A],SubDistrict - ESI - Private [B],SubDistrict - ESI - Urban [C],SubDistrict - ESI - Rural [D],SubDistrict - IPP VIII-MCD - Total [(A+B) or (C+D)],SubDistrict - IPP VIII-MCD - Public [A],SubDistrict - IPP VIII-MCD - Private [B],SubDistrict - IPP VIII-MCD - Urban [C],SubDistrict - IPP VIII-MCD - Rural [D],SubDistrict - MCW Centres MCD - Total [(A+B) or (C+D)],SubDistrict - MCW Centres MCD - Public [A],SubDistrict - MCW Centres MCD - Private [B],SubDistrict - MCW Centres MCD - Urban [C],SubDistrict - MCW Centres MCD - Rural [D],SubDistrict - NGO - Total [(A+B) or (C+D)],SubDistrict - NGO - Public [A],SubDistrict - NGO - Private [B],SubDistrict - NGO - Urban [C],SubDistrict - NGO - Rural [D],SubDistrict - Private - Total [(A+B) or (C+D)],SubDistrict - Private - Public [A],SubDistrict - Private - Private [B],SubDistrict - Private - Urban [C],SubDistrict - Private - Rural [D]
M1 [Ante Natal Care (ANC)],1.3.1,New cases of PW with hypertension detected,TOTAL,146,123,23,22,124,27,27,NA,NA,27,NA,NA,NA,NA,NA,91,91,NA,1,90,0,0,NA,0,NA,NA,NA,NA,NA,NA,5,5,NA,1,4,0,NA,0,0,NA,23,NA,23,20,3
M1 [Ante Natal Care (ANC)],1.3.1.a,"Out of the new cases of PW with hypertension detected, cases managed at institution",TOTAL,94,75,19,19,75,27,27,NA,NA,27,NA,NA,NA,NA,NA,44,44,NA,0,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,0,4,0,NA,0,0,NA,19,NA,19,19,NA
M1 [Ante Natal Care (ANC)],1.3.2,Number of Eclampsia cases managed during delivery,TOTAL,8,7,1,1,7,7,7,NA,NA,7,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,NA,1,NA,1,1,NA
M1 [Ante Natal Care (ANC)],1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,TOTAL,1064,773,291,326,738,220,220,NA,NA,220,NA,NA,NA,NA,NA,533,533,NA,29,504,6,6,NA,6,NA,NA,NA,NA,NA,NA,14,14,NA,0,14,19,NA,19,19,NA,272,NA,272,272,NA
M1 [Ante Natal Care (ANC)],1.4.2,Number of PW having Hb level<11 (tested cases)(7.1 to 10.9),TOTAL,684,472,212,426,258,50,50,NA,NA,50,NA,NA,NA,NA,NA,245,245,NA,209,36,9,9,NA,9,NA,NA,NA,NA,NA,NA,168,168,NA,0,168,29,NA,29,29,NA,183,NA,183,179,4
M1 [Ante Natal Care (ANC)],1.4.3,Number of PW having Hb level<7 (tested cases),TOTAL,64,24,40,44,20,2,2,NA,NA,2,NA,NA,NA,NA,NA,22,22,NA,4,18,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,NA,40,NA,40,40,NA
M1 [Ante Natal Care (ANC)],1.4.4,Number of PW having severe anaemia (Hb<7) treated,TOTAL,19,16,3,6,13,2,2,NA,NA,2,NA,NA,NA,NA,NA,14,14,NA,3,11,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,NA,3,NA,3,3,NA
M1 [Ante Natal Care (ANC)],1.5.1,Number of PW tested for blood sugar using OGTT (Oral Glucose Tolerance Test),TOTAL,1284,1099,185,254,1030,220,220,NA,NA,220,NA,NA,NA,NA,NA,839,839,NA,74,765,0,0,NA,0,NA,NA,NA,NA,NA,NA,40,40,NA,NA,40,22,NA,22,22,NA,163,NA,163,158,5
M1 [Ante Natal Care (ANC)],1.5.2,Number of PW tested positive for GDM,TOTAL,75,62,13,10,65,57,57,NA,NA,57,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,5,5,NA,NA,5,0,NA,0,0,NA,13,NA,13,10,3
M1 [Ante Natal Care (ANC)],1.5.3,Number of PW given insulin out of total tested positive for GDM,TOTAL,12,9,3,3,9,9,9,NA,NA,9,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,3,NA,3,3,NA
M1 [Ante Natal Care (ANC)],1.6.1.a,Number of PW tested using POC test for Syphilis,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.1.b,"Out of above, number of PW found sero positive for syphilis",TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.2.a,Number of pregnant women tested for Syphilis,TOTAL,1189,1115,74,121,1068,220,220,NA,NA,220,NA,NA,NA,NA,NA,787,787,NA,22,765,0,0,NA,0,NA,NA,NA,NA,NA,NA,108,108,NA,36,72,2,NA,2,2,NA,72,NA,72,61,11
M1 [Ante Natal Care (ANC)],1.6.2.b,Number of pregnant women tested found sero positive for Syphilis,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,NA,0,NA,0,0,NA
M1 [Ante Natal Care (ANC)],1.6.2.c,Number of syphilis positive pregnant women treated for Syphilis,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,NA,0,NA,0,0,NA
M1 [Ante Natal Care (ANC)],1.6.2.d,Number of babies diagnosed with Congenital Syphilis,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,NA,0,NA,0,0,NA
M1 [Ante Natal Care (ANC)],1.6.2.e,Number of babies treated for congenital Syphilis,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,0,0,NA,0,NA,0,0,NA
M2 [Deliveries],2.1.1.a,Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM),TOTAL,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.1.1.b,Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),TOTAL,75,75,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,NA,30,NA,NA,NA,NA,NA,NA,20,20,NA,20,NA,25,25,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.1.2,Number of PW given Tablet Misoprostol during home delivery,TOTAL,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.1.3,Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,TOTAL,67,67,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,26,NA,26,NA,NA,NA,NA,NA,NA,18,18,NA,18,NA,23,23,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M2 [Deliveries],2.2,Number of Institutional Deliveries conducted (Including C-Sections),TOTAL,1207,726,481,352,855,220,220,NA,NA,220,NA,NA,NA,NA,NA,506,506,NA,0,506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,20,20,NA,461,NA,461,332,129
M2 [Deliveries],2.2.1,Out of total institutional deliveries number of women discharged within 48 hours of delivery,TOTAL,374,173,201,156,218,108,108,NA,NA,108,NA,NA,NA,NA,NA,65,65,NA,0,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,20,20,NA,181,NA,181,136,45
M2 [Deliveries],2.2.2,Number of newborns received 6 HBNC  visits after Institutional Delivery,TOTAL,773,756,17,773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,399,399,NA,399,NA,NA,NA,NA,NA,NA,23,23,NA,23,NA,334,334,NA,334,NA,NA,NA,NA,NA,NA,17,NA,17,17,NA
M3 [Number of Caesarean (C-Section) deliveries],3.1,Total C -Section deliveries performed,TOTAL,388,185,203,122,266,112,112,NA,NA,112,NA,NA,NA,NA,NA,73,73,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,14,14,NA,189,NA,189,108,81
M3 [Number of Caesarean (C-Section) deliveries],3.1.1,"C-sections, performed at night (8 PM- 8 AM)",TOTAL,128,77,51,45,83,49,49,NA,NA,49,NA,NA,NA,NA,NA,28,28,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,5,NA,46,NA,46,40,6
M4 [Pregnancy outcome & details of new-born],4.1.1.a,Live Birth - Male,TOTAL,676,426,250,221,455,122,122,NA,NA,122,NA,NA,NA,NA,NA,283,283,NA,15,268,NA,NA,NA,NA,NA,8,8,NA,8,NA,13,13,NA,13,NA,10,NA,10,10,NA,240,NA,240,175,65
M4 [Pregnancy outcome & details of new-born],4.1.1.b,Live Birth - Female,TOTAL,606,366,240,207,399,94,94,NA,NA,94,NA,NA,NA,NA,NA,250,250,NA,14,236,NA,NA,NA,NA,NA,10,10,NA,10,NA,12,12,NA,12,NA,10,NA,10,10,NA,230,NA,230,161,69
M4 [Pregnancy outcome & details of new-born],4.1.2,Number of Pre term newborns ( < 37 weeks of pregnancy),TOTAL,96,78,18,14,82,38,38,NA,NA,38,NA,NA,NA,NA,NA,39,39,NA,1,38,NA,NA,NA,NA,NA,0,0,NA,0,NA,1,1,NA,1,NA,0,NA,0,0,NA,18,NA,18,12,6
M4 [Pregnancy outcome & details of new-born],4.1.3,Still Birth,TOTAL,19,17,2,4,15,10,10,NA,NA,10,NA,NA,NA,NA,NA,5,5,NA,1,4,NA,NA,NA,NA,NA,2,2,NA,2,NA,0,0,NA,0,NA,0,NA,0,0,NA,2,NA,2,1,1
M4 [Pregnancy outcome & details of new-born],4.2,Abortion (spontaneous),TOTAL,57,13,44,27,30,0,0,NA,NA,0,NA,NA,NA,NA,NA,13,13,NA,1,12,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,0,NA,0,0,NA,44,NA,44,26,18
M4 [Pregnancy outcome & details of new-born],4.3.1.a,MTP up to 12 weeks of pregnancy,TOTAL,136,31,105,83,53,25,25,NA,NA,25,NA,NA,NA,NA,NA,6,6,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,105,NA,105,83,22
M4 [Pregnancy outcome & details of new-born],4.3.1.b,MTP more than 12 weeks of pregnancy,TOTAL,22,16,6,2,20,16,16,NA,NA,16,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,6,NA,6,2,4
M4 [Pregnancy outcome & details of new-born],4.3.2.a,Post Abortion/ MTP Complications Identified,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,NA
M4 [Pregnancy outcome & details of new-born],4.3.2.b,Post Abortion/ MTP Complications Treated,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,NA
M4 [Pregnancy outcome & details of new-born],4.3.3,Number of women provided with post abortion/ MTP contraception,TOTAL,43,41,2,2,41,23,23,NA,NA,23,NA,NA,NA,NA,NA,18,18,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,2,NA,2,2,NA
M4 [Pregnancy outcome & details of new-born],4.4.1,Number of newborns weighed at birth,TOTAL,1227,776,451,373,854,216,216,NA,NA,216,NA,NA,NA,NA,NA,521,521,NA,17,504,NA,NA,NA,NA,NA,18,18,NA,18,NA,21,21,NA,21,NA,20,NA,20,20,NA,431,NA,431,297,134
M4 [Pregnancy outcome & details of new-born],4.4.2,Number of newborns having weight less than 2.5 kg,TOTAL,262,200,62,51,211,84,84,NA,NA,84,NA,NA,NA,NA,NA,109,109,NA,3,106,NA,NA,NA,NA,NA,2,2,NA,2,NA,5,5,NA,5,NA,1,NA,1,1,NA,61,NA,61,40,21
M4 [Pregnancy outcome & details of new-born],4.4.3,Number of Newborns breast fed within 1 hour of birth ,TOTAL,917,657,260,286,631,186,186,NA,NA,186,NA,NA,NA,NA,NA,429,429,NA,29,400,NA,NA,NA,NA,NA,18,18,NA,18,NA,24,24,NA,24,NA,20,NA,20,20,NA,240,NA,240,195,45
M5 [Complicated Pregnancies],5.1,"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",TOTAL,254,250,4,4,250,171,171,NA,NA,171,NA,NA,NA,NA,NA,71,71,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,NA,8,0,NA,0,0,NA,4,NA,4,4,NA
M5 [Complicated Pregnancies],5.2,Number of Complicated pregnancies treated with Blood Transfusion,TOTAL,15,15,0,0,15,4,4,NA,NA,4,NA,NA,NA,NA,NA,11,11,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,NA
M6 [Post Natal Care (PNC)],6.1,Women receiving 1st post partum checkup within 48 hours of home delivery,TOTAL,47,47,0,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,NA,15,NA,NA,NA,NA,NA,NA,18,18,NA,18,NA,14,14,NA,14,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA
M6 [Post Natal Care (PNC)],6.2,Women receiving 1st post partum checkup between 48 hours and 14 days,TOTAL,476,281,195,198,278,200,200,NA,NA,200,NA,NA,NA,NA,NA,78,78,NA,0,78,NA,NA,NA,NA,NA,0,0,NA,0,NA,3,3,NA,3,NA,20,NA,20,20,NA,175,NA,175,175,NA
M6 [Post Natal Care (PNC)],6.3,Number of mothers provided full course of 180 IFA tablets after delivery,TOTAL,356,147,209,356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,NA,8,NA,0,0,NA,0,NA,22,22,NA,22,NA,117,117,NA,117,NA,20,NA,20,20,NA,189,NA,189,189,NA
M6 [Post Natal Care (PNC)],6.4,Number of mothers provided 360 Calcium tablets after delivery,TOTAL,351,139,212,351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,22,22,NA,22,NA,117,117,NA,117,NA,20,NA,20,20,NA,192,NA,192,192,NA
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.1,New RTI/STI cases identified - Male,TOTAL,101,100,1,46,55,0,0,NA,NA,0,8,8,NA,8,NA,11,11,NA,11,NA,NA,NA,NA,NA,NA,3,3,NA,3,NA,78,78,NA,23,55,0,NA,0,0,NA,1,NA,1,1,NA
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.2,New RTI/STI cases identified - Female,TOTAL,269,266,3,170,99,11,11,NA,NA,11,8,8,NA,8,NA,51,51,NA,51,NA,NA,NA,NA,NA,NA,11,11,NA,11,NA,185,185,NA,97,88,0,NA,0,0,NA,3,NA,3,3,NA
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.1,RTI/STI for which treatment initiated - Male,TOTAL,76,75,1,21,55,0,0,NA,NA,0,NA,NA,NA,NA,NA,11,11,NA,11,NA,NA,NA,NA,NA,NA,3,3,NA,3,NA,61,61,NA,6,55,0,NA,0,0,NA,1,NA,1,1,NA
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.2,RTI/STI for which treatment initiated -Female,TOTAL,244,241,3,145,99,11,11,NA,NA,11,NA,NA,NA,NA,NA,51,51,NA,51,NA,NA,NA,NA,NA,NA,11,11,NA,11,NA,168,168,NA,80,88,0,NA,0,0,NA,3,NA,3,3,NA
M8 [Family Planning],8.1.1,Number of Non Scalpel Vasectomy (NSV) / Conventional Vasectomy conducted,TOTAL,1,1,0,0,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,NA
M8 [Family Planning],8.2.1,Number of Laparoscopic sterilizations (excluding post abortion) conducted,TOTAL,21,21,0,0,21,21,21,NA,NA,21,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,NA
M8 [Family Planning],8.2.2,Number of Interval Mini-lap (other than post-partum and post abortion) sterilizations conducted,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,NA
M8 [Family Planning],8.2.3,Number of Postpartum sterilizations (within 7 days of delivery by minilap or concurrent with caesarean section) conducted,TOTAL,15,12,3,1,14,9,9,NA,NA,9,NA,NA,NA,NA,NA,3,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,3,NA,3,1,2
M8 [Family Planning],8.2.4,Number of Post Abortion sterilizations (within 7 days of spontaneous or surgical abortion) conducted,TOTAL,7,7,0,0,7,5,5,NA,NA,5,NA,NA,NA,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,NA
M8 [Family Planning],8.3,Number of Interval IUCD Insertions (excluding PPIUCD and PAIUCD),TOTAL,171,155,16,73,98,28,28,NA,NA,28,NA,NA,NA,NA,NA,63,63,NA,45,18,0,0,NA,0,NA,NA,NA,NA,NA,NA,64,64,NA,20,44,0,NA,0,0,NA,16,NA,16,8,8
M8 [Family Planning],8.4,Number of Postpartum (within 48 hours of delivery) IUCD insertions,TOTAL,84,84,0,0,84,63,63,NA,NA,63,NA,NA,NA,NA,NA,21,21,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,NA,0,NA,0,0,NA
M8 [Family Planning],8.5,Number of Post Abortion (within 12 days of spontaneous or surgical abortion) IUCD insertions,TOTAL,16,16,0,0,16,12,12,NA,NA,12,NA,NA,NA,NA,NA,4,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,NA,0,NA,0,0,NA
M8 [Family Planning],8.6,Number of IUCD Removals,TOTAL,80,68,12,30,50,20,20,NA,NA,20,NA,NA,NA,NA,NA,27,27,NA,15,12,0,0,NA,0,NA,NA,NA,NA,NA,NA,21,21,NA,5,16,0,NA,0,0,NA,12,NA,12,10,2
M8 [Family Planning],8.7,Number of complications following IUCD Insertion,TOTAL,9,8,1,9,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,8,8,NA,8,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,0,NA,1,NA,1,1,NA
M8 [Family Planning],8.8,Injectable Contraceptive-Antara Program- First Dose,TOTAL,71,69,2,41,30,8,8,NA,NA,8,3,3,NA,3,NA,38,38,NA,29,9,0,0,NA,0,NA,0,0,NA,0,NA,20,20,NA,7,13,NA,NA,NA,NA,NA,2,NA,2,2,NA
M8 [Family Planning],8.9,Injectable Contraceptive-Antara Program- Second Dose,TOTAL,42,42,0,29,13,3,3,NA,NA,3,1,1,NA,1,NA,24,24,NA,23,1,0,0,NA,0,NA,1,1,NA,1,NA,13,13,NA,4,9,NA,NA,NA,NA,NA,0,NA,0,0,NA
M8 [Family Planning],8.1,Injectable Contraceptive-Antara Program- Third Dose,TOTAL,14,14,0,9,5,0,0,NA,NA,0,NA,NA,NA,NA,NA,8,8,NA,8,0,0,0,NA,0,NA,1,1,NA,1,NA,5,5,NA,0,5,NA,NA,NA,NA,NA,0,NA,0,0,NA
